--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
CJ Abrams,21,139,.268,77,.276,.088,1.4%,19.4%,2.9%,83.7,28.7%,16.7%,48.0%,24.5%,1.00,25.5%,60.8%,13.7%,-0.9,-0.6%,-8.5,36%,33%,63%,abramcj01
Sergio Alcántara,25,38,.105,-25,.167,.000,0.0%,31.6%,5.3%,83.5,25.0%,25.0%,37.5%,37.5%,0.60,37.5%,41.7%,20.8%,-0.8,-0.6%,-8.1,33%,0%,67%,alcanse01
Jorge Alfaro,29,274,.291,89,.364,.137,2.6%,35.8%,4.0%,89.4,39.0%,26.7%,47.2%,23.0%,0.89,26.1%,48.4%,25.5%,0.4,0.2%,-0.2,25%,100%,47%,alfarjo01
José Azocar,26,216,.273,83,.327,.074,0.0%,20.4%,5.6%,86.1,31.0%,21.3%,49.4%,24.4%,1.05,13.8%,58.8%,27.5%,-0.8,-0.3%,-14.5,32%,45%,54%,azocajo01
Matthew Batten,27,22,.194,20,.154,.053,0.0%,27.3%,9.1%,86.4,30.8%,15.4%,61.5%,15.4%,1.60,7.7%,61.5%,30.8%,-0.2,-0.1%,-2.9,0%,,0%,battema01
Matt Beaty,29,47,.157,-6,.114,.070,0.0%,17.0%,4.3%,83.6,31.4%,20.0%,45.7%,22.9%,0.84,34.3%,40.0%,25.7%,-0.9,-0.5%,-9.9,75%,,33%,beatyma01
Josh Bell,29,210,.289,88,.233,.079,1.4%,19.5%,15.2%,87.5,41.2%,19.1%,58.1%,17.6%,1.39,28.7%,48.5%,22.8%,-0.7,-0.3%,-6.8,37%,,25%,belljo02
Luis Campusano,23,50,.254,63,.297,.083,2.0%,22.0%,2.0%,87.7,36.8%,15.8%,44.7%,28.9%,0.81,21.1%,57.9%,21.1%,-0.3,-0.1%,-3.5,25%,,25%,campulu01
Robinson Canó,39,34,.100,-47,.130,.000,0.0%,29.4%,2.9%,89.5,39.1%,21.7%,52.2%,26.1%,1.09,30.4%,47.8%,21.7%,-0.3,-0.2%,-3.0,25%,,50%,canoro01
Jake Cronenworth,28,684,.326,115,.275,.152,2.5%,19.2%,10.2%,87.3,34.1%,21.1%,35.8%,34.1%,0.56,28.2%,52.8%,19.0%,1.5,1.1%,26.1,34%,100%,43%,croneja01
Brandon Dixon,30,14,.218,38,.333,.071,0.0%,35.7%,0.0%,88.4,33.3%,33.3%,33.3%,11.1%,0.50,22.2%,33.3%,44.4%,-0.2,0.0%,-2.6,25%,,100%,dixonbr01
Brandon Drury,29,183,.314,109,.267,.196,4.4%,23.0%,4.9%,89.2,42.1%,26.6%,36.7%,32.0%,0.58,24.2%,58.6%,17.2%,0.4,0.2%,1.5,38%,0%,50%,drurybr01
Trent Grisham,25,524,.284,83,.231,.157,3.2%,28.6%,10.9%,84.5,35.6%,14.5%,40.0%,30.0%,0.75,36.8%,47.1%,16.1%,-1.0,-0.4%,-8.1,31%,88%,58%,grishtr01
Eric Hosmer,32,369,.328,117,.304,.119,2.2%,14.9%,8.9%,88.2,39.7%,21.7%,58.7%,12.8%,1.42,33.8%,50.2%,16.0%,0.9,0.6%,4.8,21%,,24%,hosmeer01
Ha-Seong Kim,26,582,.322,110,.290,.132,1.9%,17.2%,8.8%,86.1,32.5%,25.9%,39.9%,22.9%,0.67,32.3%,54.2%,13.4%,-1.3,-0.6%,3.7,26%,86%,45%,kimha01
Luis Liberato,26,5,.000,-119,.000,.000,0.0%,60.0%,0.0%,92.1,50.0%,0.0%,0.0%,100.0%,0.00,0.0%,50.0%,50.0%,0.0,0.0%,-1.5,0%,,,liberlu01
Manny Machado,29,644,.392,162,.337,.234,5.0%,20.7%,9.8%,91.5,49.0%,29.1%,37.6%,23.7%,0.60,30.0%,50.1%,19.9%,4.5,2.8%,44.6,33%,90%,56%,machama01
Nomar Mazara,27,171,.304,99,.342,.088,1.2%,23.4%,5.9%,86.1,32.8%,26.9%,36.1%,29.4%,0.57,28.6%,52.9%,18.5%,-0.1,0.0%,-1.6,26%,,40%,mazarno01
Wil Myers,31,286,.309,103,.357,.138,2.5%,30.1%,7.3%,88.2,38.1%,26.4%,40.4%,26.4%,0.69,26.4%,46.6%,27.0%,-0.2,0.0%,0.4,27%,67%,48%,myerswi01
Austin Nola,32,397,.302,98,.284,.078,1.0%,15.1%,8.6%,89.2,39.9%,27.3%,42.1%,24.2%,0.73,31.0%,50.5%,18.5%,-0.4,-0.3%,-1.5,29%,67%,36%,nolaau01
Jurickson Profar,29,658,.326,115,.272,.148,2.3%,15.7%,11.1%,87.0,34.5%,25.7%,43.9%,22.8%,0.80,33.9%,47.3%,18.8%,-1.0,-0.7%,-3.7,33%,83%,56%,profaju01
Brent Rooker,27,7,.000,-119,.000,.000,0.0%,57.1%,0.0%,94.8,33.3%,0.0%,33.3%,66.7%,0.50,33.3%,66.7%,0.0%,-0.1,-0.1%,-2.1,,,,rookebr01
Eguy Rosario,22,6,.249,60,.333,.000,0.0%,33.3%,16.7%,79.3,0.0%,0.0%,33.3%,33.3%,0.50,33.3%,33.3%,33.3%,0.0,0.0%,-0.1,0%,,,rosareg01
Esteury Ruiz,23,27,.207,50,.273,.111,0.0%,18.5%,0.0%,68.3,9.1%,13.6%,45.5%,22.7%,0.91,36.4%,40.9%,22.7%,-0.4,-0.2%,-3.0,17%,33%,,ruizes01
Juan Soto,23,228,.355,136,.261,.154,2.6%,14.9%,19.3%,92.1,50.0%,18.9%,48.0%,26.4%,0.92,33.8%,51.4%,14.9%,0.3,0.2%,8.3,31%,,36%,sotoju01
