--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Alexei Ramírez,34,444,.267,62,.265,.090,1.1%,12.6%,3.8%,84.9,27.5%,24.5%,50.7%,16.3%,1.04,29.1%,51.8%,19.1%,-1.6,-0.4%,-16.3,24%,40%,37%,ramiral03
Colin Rea,25,38,.143,-44,.235,.000,0.0%,42.1%,5.3%,82.6,13.3%,10.0%,40.0%,20.0%,1.00,10.0%,70.0%,20.0%,-0.7,-0.2%,-6.7,50%,,33%,reaco01
Hunter Renfroe,24,36,.492,223,.346,.429,11.1%,13.9%,2.8%,90.1,46.4%,26.7%,43.3%,16.7%,0.76,36.7%,46.7%,16.7%,0.3,0.0%,6.9,40%,,67%,renfrhu01
Clayton Richard,32,20,.094,-98,.143,.000,0.0%,45.0%,5.0%,76.1,11.1%,20.0%,30.0%,20.0%,0.75,40.0%,60.0%,0.0%,-0.4,0.0%,-5.3,0%,,0%,richacl01
Jose Rondon,22,26,.165,-16,.143,.000,0.0%,15.4%,3.9%,81.4,15.0%,14.3%,61.9%,9.5%,1.63,9.5%,61.9%,28.6%,-0.4,0.0%,-2.7,25%,,100%,rondojo02
Adam Rosales,33,248,.345,111,.308,.266,5.2%,35.5%,11.7%,90.3,42.5%,23.1%,38.5%,30.8%,0.63,31.5%,49.2%,19.2%,0.6,-0.4%,8.0,32%,100%,50%,rosalad01
Tyson Ross,29,1,.000,-136,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,rossty01
Hector Sanchez,26,46,.376,136,.290,.238,6.5%,17.4%,6.5%,89.6,34.5%,29.4%,38.2%,20.6%,0.62,45.5%,42.4%,12.1%,-0.5,-0.1%,0.4,0%,,,sanchhe01
Luis Sardinas,23,120,.338,107,.349,.130,1.7%,19.2%,9.2%,86.1,25.0%,22.1%,51.2%,22.1%,1.07,39.5%,44.2%,16.3%,0.8,0.0%,6.2,28%,75%,33%,sardilu01
Ryan Schimpf,28,330,.369,132,.260,.315,6.1%,31.8%,12.7%,91.6,48.0%,21.8%,20.1%,42.0%,0.25,37.9%,46.0%,16.1%,2.1,0.0%,21.2,31%,50%,68%,schimry01
James Shields,34,19,.153,-40,.500,.000,0.0%,57.9%,0.0%,89.6,40.0%,0.0%,50.0%,0.0%,4.00,25.0%,75.0%,0.0%,-0.3,-0.1%,-2.7,33%,,,shielja02
Yangervis Solarte,28,443,.350,117,.306,.180,3.4%,14.2%,6.8%,89.2,38.5%,25.2%,42.0%,22.9%,0.74,40.4%,45.9%,13.7%,0.3,0.1%,22.9,29%,50%,43%,solarya01
Cory Spangenberg,25,53,.308,83,.294,.125,1.9%,24.5%,7.6%,84.2,27.6%,14.3%,65.7%,5.7%,2.56,25.7%,62.9%,11.4%,0.6,0.3%,4.1,33%,100%,80%,spangco01
B.J. Upton,31,374,.334,101,.320,.183,4.3%,28.3%,6.2%,88.4,41.8%,24.8%,46.3%,22.3%,0.88,22.7%,52.5%,24.8%,1.1,0.2%,3.5,31%,80%,57%,uptonbj01
Cesar Vargas,24,9,.000,-165,.000,.000,0.0%,55.6%,0.0%,66.8,0.0%,0.0%,50.0%,25.0%,2.00,0.0%,25.0%,75.0%,-0.2,-0.1%,-1.7,,,,vargace01
Carlos Villanueva,32,5,.000,-195,,.000,0.0%,80.0%,0.0%,34.3,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,0.0%,-0.9,,,,villaca01
Brett Wallace,29,256,.290,73,.271,.129,2.3%,32.4%,11.3%,88.4,38.1%,24.4%,51.9%,18.5%,1.08,36.4%,46.2%,17.4%,-1.0,0.1%,-6.6,18%,,40%,wallabr01
Jemile Weeks,29,57,.191,-7,.194,.060,0.0%,24.6%,5.3%,86.7,37.5%,23.1%,43.6%,23.1%,0.89,30.6%,41.7%,27.8%,-0.6,-0.3%,-4.8,46%,100%,60%,weeksje01
League Average,,,.326,94,.301,.158,2.9%,21.5%,8.3%,88.6,38.5%,26.4%,45.0%,20.2%,0.85,27.9%,52.2%,19.9%,,,,30%,71%,40%,-9999
Team Total,,6001,.308,85,.291,.155,3.0%,25.0%,7.5%,87.5,36.0%,25.6%,44.8%,20.3%,0.84,29.4%,51.3%,19.3%,-8.6,-3.7%,-18.5,31%,74%,50%,-9999
