--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Carlos Asuaje,25,343,.311,88,.346,.091,1.2%,22.2%,8.2%,84.6,21.4%,28.7%,40.1%,19.4%,0.70,37.1%,48.1%,14.8%,0.1,0.0%,-4.6,22%,0%,40%,asuajca01
Erick Aybar,33,370,.294,73,.262,.114,1.9%,15.4%,7.6%,82.2,18.1%,19.9%,51.2%,20.6%,1.12,35.9%,42.3%,21.7%,-2.0,-0.6%,-18.0,29%,73%,46%,aybarer01
Christian Bethancourt,25,7,.114,-54,.250,.000,0.0%,42.9%,0.0%,96.0,75.0%,0.0%,25.0%,75.0%,0.33,0.0%,50.0%,50.0%,-0.1,0.0%,-1.3,0%,,,bethach01
Jabari Blash,27,195,.308,88,.319,.128,2.6%,33.9%,14.4%,87.3,39.1%,27.3%,37.4%,26.3%,0.60,29.3%,55.6%,15.2%,-1.2,-0.3%,-8.8,32%,33%,53%,blashja01
Trevor Cahill,29,17,.330,101,.400,.077,0.0%,17.7%,5.9%,80.7,0.0%,23.1%,38.5%,15.4%,1.00,0.0%,53.8%,46.2%,0.0,0.0%,-0.3,20%,,0%,cahiltr01
Jhoulys Chacin,29,61,.231,17,.279,.037,0.0%,18.0%,0.0%,79.9,20.0%,18.0%,46.0%,14.0%,1.15,28.0%,48.0%,24.0%,-0.6,0.1%,-7.0,0%,100%,20%,chacijh01
Dusty Coleman,30,71,.307,81,.367,.227,5.6%,46.5%,2.8%,87.0,41.2%,32.4%,29.4%,29.4%,0.43,26.5%,67.6%,5.9%,-0.3,0.0%,-0.2,13%,100%,100%,colemdu01
Franchy Cordero,22,99,.294,76,.400,.196,3.0%,44.4%,6.1%,91.8,43.9%,24.5%,46.9%,22.4%,0.92,32.7%,51.0%,16.3%,-0.4,0.0%,-2.6,50%,50%,78%,cordefr02
Allen Cordoba,21,227,.256,49,.259,.089,1.8%,23.8%,7.9%,81.9,24.2%,20.5%,51.7%,17.2%,1.15,23.8%,58.3%,17.9%,-1.4,-0.1%,-13.5,20%,50%,44%,cordoal01
Jarred Cosart,27,6,.000,-255,.000,.000,0.0%,33.3%,0.0%,,,0.0%,25.0%,0.0%,,0.0%,100.0%,0.0%,-0.2,-0.1%,-1.7,,,0%,cosarja01
Chase d'Arnaud,30,51,.188,-13,.194,.102,2.0%,33.3%,3.9%,81.0,18.5%,21.9%,53.1%,12.5%,1.21,21.9%,62.5%,15.6%,-0.4,0.0%,-6.3,44%,83%,33%,darnach01
Miguel Diaz,22,4,.000,-215,.000,.000,0.0%,0.0%,0.0%,70.5,0.0%,0.0%,75.0%,0.0%,,25.0%,75.0%,0.0%,-0.1,0.0%,-0.8,,,,diazmi02
Rocky Gale,29,10,.198,6,.000,.300,10.0%,20.0%,0.0%,83.1,12.5%,0.0%,37.5%,62.5%,0.60,12.5%,75.0%,12.5%,0.0,0.0%,-0.1,,,,galero01
Brad Hand,27,2,.898,918,.000,.000,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,,50.0%,50.0%,0.0%,0.1,0.0%,0.2,,,,handbr01
Austin Hedges,24,417,.281,65,.260,.183,4.3%,29.3%,5.5%,88.4,38.9%,22.7%,36.8%,23.8%,0.60,25.3%,55.4%,19.3%,0.1,-0.1%,-14.9,20%,80%,36%,hedgeau01
Travis Jankowski,26,87,.248,32,.298,.027,0.0%,32.2%,10.3%,87.7,28.1%,20.4%,53.1%,10.2%,1.63,28.6%,49.0%,22.4%,-0.5,-0.2%,-8.2,42%,100%,57%,jankotr01
Dinelson Lamet,24,38,.077,-97,.231,.000,0.0%,57.9%,0.0%,71.1,0.0%,12.5%,31.3%,12.5%,1.00,12.5%,37.5%,50.0%,-0.6,0.0%,-7.3,0%,,0%,lametdi01
Zach Lee,25,3,.000,-137,.000,.000,0.0%,0.0%,0.0%,67.4,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.7,,,,leeza01
Kyle Lloyd,26,1,.000,-137,.000,.000,0.0%,0.0%,0.0%,89.7,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,lloydky01
Jordan Lyles,26,9,.277,62,.400,.000,0.0%,33.3%,11.1%,75.8,0.0%,20.0%,60.0%,20.0%,1.50,20.0%,40.0%,40.0%,0.1,0.0%,0.5,33%,,,lylesjo01
Manuel Margot,22,529,.322,94,.309,.146,2.5%,20.0%,6.6%,85.6,33.3%,28.8%,41.2%,18.1%,0.72,16.3%,59.3%,24.4%,-0.5,-0.2%,-12.3,26%,71%,39%,margoma01
Wil Myers,26,649,.349,112,.297,.220,4.6%,27.7%,10.8%,90.1,50.9%,26.4%,38.3%,25.4%,0.63,29.4%,55.6%,15.0%,0.7,0.3%,5.6,27%,77%,45%,myerswi01
Dillon Overton,25,1,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,overtdi01
Luis Perdomo,24,53,.173,-26,.192,.196,0.0%,37.7%,1.9%,79.7,20.8%,21.9%,43.8%,3.1%,1.27,15.6%,59.4%,25.0%,-0.7,-0.1%,-8.1,50%,,100%,perdolu02
Jose Pirela,27,344,.360,124,.343,.202,2.9%,20.6%,7.9%,89.4,43.0%,27.9%,46.3%,18.4%,0.89,31.1%,51.2%,17.6%,1.1,0.0%,7.4,30%,57%,58%,pireljo01
Kevin Quackenbush,28,1,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,quackke01
Hunter Renfroe,25,479,.327,98,.275,.236,5.4%,29.2%,5.6%,88.7,39.7%,24.2%,37.9%,26.5%,0.61,35.9%,47.4%,16.7%,-0.7,-0.4%,-2.8,23%,100%,26%,renfrhu01
Clayton Richard,33,68,.164,-35,.240,.070,1.5%,45.6%,1.5%,80.8,20.0%,17.6%,38.2%,14.7%,1.08,44.1%,44.1%,11.8%,-0.5,-0.1%,-7.1,11%,,0%,richacl01
Hector Sanchez,27,143,.279,63,.247,.204,5.6%,28.7%,3.5%,86.8,31.0%,24.7%,35.1%,26.8%,0.54,40.2%,46.4%,13.4%,0.1,-0.1%,-2.2,22%,,22%,sanchhe01
Luis Sardinas,24,53,.202,6,.211,.000,0.0%,20.8%,7.6%,80.7,8.6%,26.3%,57.9%,10.5%,1.47,34.2%,47.4%,18.4%,-0.2,-0.1%,-5.1,25%,100%,0%,sardilu01
Ryan Schimpf,29,197,.308,85,.145,.267,7.1%,35.5%,13.7%,85.8,36.1%,18.6%,20.6%,41.2%,0.26,42.3%,40.2%,17.5%,0.1,0.1%,0.3,24%,,33%,schimry01
Yangervis Solarte,29,512,.321,93,.258,.161,3.5%,11.9%,7.2%,85.6,31.8%,22.7%,42.1%,23.5%,0.73,31.5%,52.8%,15.6%,0.6,0.3%,-4.0,22%,100%,40%,solarya01
Cory Spangenberg,26,486,.322,93,.342,.137,2.7%,26.3%,7.0%,86.2,33.6%,25.7%,46.4%,17.6%,0.96,35.7%,46.4%,17.9%,0.2,-0.1%,1.2,31%,79%,47%,spangco01
Craig Stammen,33,8,.541,252,.750,.167,0.0%,25.0%,25.0%,81.6,25.0%,50.0%,25.0%,0.0%,0.33,0.0%,50.0%,50.0%,0.2,0.0%,1.3,40%,,67%,stammcr01
Matt Szczur,27,214,.323,99,.278,.136,1.4%,18.7%,15.0%,83.2,22.5%,25.4%,37.0%,17.4%,0.61,21.0%,59.4%,19.6%,0.5,0.0%,1.4,31%,0%,60%,szczuma01
Luis Torrens,21,139,.205,7,.215,.041,0.0%,21.6%,8.6%,85.8,31.8%,21.9%,57.3%,15.6%,1.45,10.4%,62.5%,27.1%,-0.8,-0.1%,-13.9,21%,,43%,torrelu01
