--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Andy Parrino,26,138,.269,60,.284,.069,0.7%,25.4%,12.3%,22.6%,34.5%,28.6%,0.55,27.4%,54.8%,17.9%,0.0,-0.1%,-2.4,18%,100%,50%,parrian01
Carlos Quentin,29,340,.383,150,.252,.243,4.7%,12.1%,10.6%,16.7%,34.6%,36.2%,0.53,25.2%,58.1%,16.7%,1.7,0.0%,13.1,25%,0%,46%,quentca01
Clayton Richard,28,79,.111,-69,.172,.072,1.3%,50.6%,1.3%,10.5%,44.7%,21.1%,1.42,26.3%,65.8%,7.9%,-1.0,-0.2%,-13.4,50%,,100%,richacl01
Eddy Rodriguez,26,7,.492,229,.000,.600,14.3%,42.9%,28.6%,0.0%,50.0%,50.0%,1.00,0.0%,100.0%,0.0%,0.0,0.0%,0.3,0%,,,rodried04
Ali Solis,24,4,.000,-134,.000,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.7,,,,solisal01
Tim Stauffer,30,2,.000,-367,.000,.000,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,staufti01
Eric Stults,32,34,.251,41,.389,.071,0.0%,29.4%,0.0%,29.2%,16.7%,12.5%,0.33,16.7%,66.7%,16.7%,0.0,0.0%,-1.0,43%,,0%,stulter01
Jeff Suppan,37,14,.145,-61,.111,.000,0.0%,7.1%,7.1%,0.0%,58.3%,16.7%,3.50,16.7%,58.3%,25.0%,-0.2,0.0%,-1.8,0%,,,suppaje01
Blake Tekotte,25,15,.130,-50,.182,.000,0.0%,26.7%,0.0%,18.2%,36.4%,36.4%,0.57,27.3%,63.6%,9.1%,-0.2,0.0%,-1.5,0%,100%,,tekotbl01
Will Venable,29,470,.346,117,.320,.165,1.9%,20.0%,8.7%,16.7%,46.7%,24.8%,0.97,28.8%,55.8%,15.5%,1.8,-0.1%,19.3,36%,80%,51%,venabwi01
Nick Vincent,25,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,0.0%,-0.4,,,,vinceni01
Edinson Volquez,28,62,.080,-90,.148,.018,0.0%,46.8%,1.6%,9.4%,56.3%,12.5%,2.57,15.6%,75.0%,9.4%,-1.3,-0.1%,-13.5,40%,,0%,volqued01
Kip Wells,35,14,.125,-52,.143,.000,0.0%,35.7%,0.0%,12.5%,50.0%,12.5%,2.00,0.0%,100.0%,0.0%,-0.3,0.0%,-3.4,33%,,33%,wellski01
Andrew Werner,25,14,.151,-43,.125,.000,0.0%,28.6%,0.0%,0.0%,60.0%,0.0%,,0.0%,90.0%,10.0%,-0.2,0.0%,-3.1,0%,,0%,wernean01
Joe Wieland,22,8,.258,56,.333,.125,0.0%,25.0%,0.0%,16.7%,50.0%,16.7%,1.00,33.3%,33.3%,33.3%,0.2,0.0%,1.2,0%,,0%,wielajo01
League Average,,,.323,93,.299,.146,2.5%,20.1%,7.9%,19.1%,44.8%,26.6%,0.86,26.9%,55.4%,17.7%,,,,29%,73%,41%,-9999
Team Total,,6112,.319,99,.297,.133,2.0%,20.3%,8.8%,18.0%,47.1%,25.7%,0.95,25.8%,56.8%,17.4%,-0.3,-1.9%,-2.7,29%,77%,43%,-9999
