--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
John Andreoli,31,7,.277,72,.333,.167,0.0%,42.9%,14.3%,88.7,33.3%,66.7%,33.3%,0.0%,0.50,66.7%,33.3%,0.0%,0.0,0.0%,-0.6,100%,,50%,andrejo03
Jake Arrieta,35,4,.449,287,.500,.000,0.0%,0.0%,0.0%,57.0,25.0%,0.0%,25.0%,0.0%,1.00,25.0%,50.0%,25.0%,0.0,0.0%,-0.1,100%,,100%,arrieja01
Pedro Avila,24,1,.000,-124,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,avilape01
Daniel Camarena,28,3,.670,350,,1.000,33.3%,66.7%,0.0%,107.2,100.0%,0.0%,0.0%,100.0%,0.00,100.0%,0.0%,0.0%,0.1,0.1%,3.0,,,,camarda01
Luis Campusano,22,38,.168,-6,.130,.000,0.0%,29.0%,10.5%,94.6,52.2%,26.1%,39.1%,21.7%,0.64,13.0%,56.5%,30.4%,-0.8,-0.5%,-7.9,0%,,0%,campulu01
Victor Caratini,27,356,.283,75,.281,.096,2.0%,23.0%,9.8%,90.0,44.4%,22.6%,50.6%,21.7%,1.03,25.5%,57.0%,17.4%,-0.4,-0.3%,-9.8,25%,100%,22%,caratvi01
Ivan Castillo,26,4,.399,158,.333,.000,0.0%,0.0%,25.0%,90.9,33.3%,0.0%,100.0%,0.0%,,33.3%,33.3%,33.3%,0.1,0.1%,0.7,0%,,0%,castiiv01
Nabil Crismatt,26,11,.000,-147,.000,.000,0.0%,54.6%,0.0%,64.2,0.0%,0.0%,80.0%,0.0%,,0.0%,40.0%,60.0%,-0.1,-0.1%,-2.6,,,,crismna01
Jake Cronenworth,27,643,.350,124,.283,.194,3.3%,14.0%,8.6%,88.1,35.3%,26.1%,42.2%,23.6%,0.74,26.9%,54.5%,18.6%,0.7,0.3%,16.2,37%,57%,42%,croneja01
Yu Darvish,34,55,.109,-50,.179,.038,0.0%,45.5%,0.0%,83.4,37.9%,24.1%,69.0%,3.4%,2.50,20.7%,65.5%,13.8%,-1.1,-0.7%,-11.7,33%,,50%,darviyu01
Miguel Diaz,26,3,.000,-124,.000,.000,0.0%,33.3%,0.0%,74.5,0.0%,0.0%,100.0%,0.0%,,0.0%,50.0%,50.0%,-0.2,-0.1%,-1.2,,,,diazmi02
Adam Frazier,29,211,.297,84,.299,.068,0.5%,10.9%,6.2%,84.2,23.4%,28.1%,50.3%,15.8%,1.05,27.5%,52.6%,19.9%,-0.2,-0.2%,-6.0,36%,83%,59%,fraziad01
Trent Grisham,24,527,.329,107,.292,.171,2.9%,22.6%,10.3%,87.5,36.8%,26.4%,39.9%,23.3%,0.70,30.2%,53.7%,16.1%,0.6,0.3%,5.4,29%,72%,59%,grishtr01
Eric Hosmer,31,565,.325,107,.313,.126,2.1%,17.5%,8.5%,90.3,47.3%,23.2%,55.7%,14.8%,1.27,19.9%,61.3%,18.9%,0.8,0.6%,6.0,23%,56%,28%,hosmeer01
