--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jesus Aguilar,29,262,.307,79,.264,.149,3.1%,22.5%,11.8%,91.0,45.1%,24.6%,41.3%,26.9%,0.70,27.5%,52.1%,20.4%,-0.4,-0.3%,-0.1,24%,,22%,aguilje01
Chase Anderson,31,44,.144,-44,.250,.025,0.0%,54.6%,4.6%,75.7,6.3%,16.7%,44.4%,11.1%,1.60,22.2%,50.0%,27.8%,-0.5,-0.4%,-6.8,14%,,0%,anderch01
Orlando Arcia,24,546,.276,57,.253,.128,2.8%,20.0%,7.9%,88.3,34.6%,22.4%,51.1%,20.6%,1.07,22.6%,57.0%,20.4%,-1.8,-1.6%,-19.8,26%,62%,47%,arciaor01
Tyler Austin,27,27,.379,125,.231,.250,3.7%,25.9%,22.2%,94.3,63.6%,14.3%,35.7%,42.9%,0.56,14.3%,71.4%,14.3%,0.2,-0.1%,0.4,44%,100%,75%,austity01
Ryan Braun,35,508,.364,117,.325,.220,4.3%,20.7%,6.7%,92.2,49.4%,25.5%,49.3%,19.3%,0.98,26.3%,53.8%,19.9%,1.5,1.5%,13.6,32%,92%,47%,braunry02
Corbin Burnes,24,8,.254,32,.400,.000,0.0%,25.0%,0.0%,84.8,33.3%,0.0%,83.3%,0.0%,,16.7%,83.3%,0.0%,-0.1,0.0%,-0.7,0%,,,burneco01
Lorenzo Cain,33,623,.313,83,.301,.112,1.8%,17.0%,8.0%,89.8,44.1%,27.2%,51.1%,16.7%,1.04,18.7%,53.3%,28.0%,-3.4,-3.0%,-21.7,34%,69%,62%,cainlo01
Jhoulys Chacin,31,25,.177,-15,.154,.125,4.0%,40.0%,4.0%,89.6,33.3%,7.1%,42.9%,21.4%,0.75,35.7%,42.9%,21.4%,-0.4,-0.4%,-3.9,33%,,0%,chacijh01
Zach Davies,26,55,.156,-34,.296,.038,0.0%,45.5%,1.8%,80.3,9.1%,31.0%,31.0%,10.3%,0.64,20.7%,41.4%,37.9%,-0.7,-0.5%,-9.8,25%,,,davieza02
Mauricio Dubon,24,2,.000,-142,.000,.000,0.0%,50.0%,0.0%,63.3,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.5,,,,dubonma01
David Freitas,30,16,.185,-8,.125,.000,0.0%,31.3%,18.8%,79.6,33.3%,37.5%,50.0%,0.0%,1.00,25.0%,50.0%,25.0%,-0.1,-0.2%,-2.4,25%,,,freitda01
Ben Gamel,27,356,.315,86,.347,.125,2.0%,29.2%,11.2%,88.5,39.8%,29.2%,44.0%,23.9%,0.79,27.4%,49.5%,23.1%,0.7,0.4%,6.1,35%,50%,42%,gamelbe01
Gio Gonzalez,33,28,.061,-113,.125,.000,0.0%,60.7%,3.6%,69.4,0.0%,0.0%,40.0%,40.0%,1.00,0.0%,80.0%,20.0%,-0.6,-0.6%,-6.6,50%,,0%,gonzagi01
Yasmani Grandal,30,632,.370,123,.279,.222,4.4%,22.0%,17.3%,91.1,45.0%,24.8%,40.1%,27.2%,0.68,29.3%,54.6%,16.1%,1.6,0.7%,18.3,24%,83%,21%,grandya01
