--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Chase Anderson,28,52,.107,-84,.222,.000,0.0%,51.9%,1.9%,84.4,35.3%,13.0%,52.2%,4.3%,3.00,4.8%,57.1%,38.1%,-0.9,-0.2%,-9.9,50%,,25%,anderch01
Orlando Arcia,21,216,.287,58,.267,.139,1.9%,21.8%,6.9%,88.2,35.7%,23.4%,55.2%,11.7%,1.31,21.6%,49.3%,29.1%,-0.7,0.0%,-6.6,31%,100%,22%,arciaor01
Blaine Boyer,34,1,.000,-143,.000,.000,0.0%,0.0%,0.0%,78.7,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,boyerbl01
Ryan Braun,32,564,.393,140,.326,.233,5.3%,17.4%,8.2%,91.2,47.1%,22.6%,56.5%,16.3%,1.31,20.9%,54.2%,24.9%,0.9,0.5%,25.3,28%,76%,51%,braunry02
Keon Broxton,26,244,.358,105,.373,.188,3.7%,36.1%,14.8%,94.5,57.7%,27.5%,43.3%,23.3%,0.81,24.6%,53.4%,22.0%,1.0,-0.1%,3.1,24%,85%,40%,broxtke01
Chris Capuano,37,1,.697,361,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.1,0%,,,capuach01
Chris Carter,29,644,.354,112,.260,.277,6.4%,32.0%,11.8%,92.5,50.9%,29.2%,31.7%,31.2%,0.46,25.4%,55.7%,19.0%,0.0,-0.1%,1.9,26%,75%,18%,cartech02
Tyler Cravy,26,5,.504,251,.000,.750,20.0%,20.0%,0.0%,98.2,66.7%,0.0%,25.0%,50.0%,0.50,50.0%,25.0%,25.0%,0.0,0.0%,-0.4,,,,cravyty01
Zach Davies,23,61,.128,-70,.161,.000,0.0%,36.1%,1.6%,74.5,8.3%,5.3%,50.0%,5.3%,1.90,18.4%,44.7%,36.8%,-1.1,-0.2%,-11.5,33%,,100%,davieza02
Jake Elmore,29,99,.287,71,.279,.026,0.0%,17.2%,17.2%,80.7,13.5%,19.0%,55.6%,17.5%,1.46,22.0%,50.8%,27.1%,-0.5,0.0%,-2.9,19%,40%,17%,elmorja01
Ramon Flores,24,289,.266,46,.254,.056,0.7%,20.1%,10.7%,84.4,23.1%,22.7%,54.5%,13.1%,1.26,34.6%,46.1%,19.4%,-2.3,-0.5%,-18.4,20%,100%,45%,florera02
Matt Garza,32,33,.077,-107,.091,.000,0.0%,51.5%,6.1%,71.2,11.1%,0.0%,64.3%,0.0%,9.00,21.4%,42.9%,35.7%,-0.7,0.0%,-7.9,33%,,0%,garzama01
Scooter Gennett,26,542,.329,93,.315,.149,2.6%,21.0%,7.0%,87.2,29.2%,25.8%,44.7%,20.9%,0.82,31.8%,48.7%,19.5%,-0.7,0.0%,-5.3,28%,89%,36%,gennesc01
Junior Guerra,31,43,.226,1,.364,.057,0.0%,30.2%,0.0%,83.8,25.0%,20.0%,43.3%,3.3%,1.44,16.7%,50.0%,33.3%,-0.5,-0.1%,-6.7,25%,,0%,guerrju02
Aaron Hill,34,292,.343,105,.309,.138,2.7%,14.7%,10.3%,86.5,30.1%,31.2%,35.3%,25.1%,0.55,21.8%,55.0%,23.2%,-0.2,-0.2%,3.1,27%,67%,36%,hillaa01
Taylor Jungmann,26,8,.113,-62,.250,.000,0.0%,50.0%,0.0%,70.0,0.0%,25.0%,75.0%,0.0%,3.00,25.0%,50.0%,25.0%,-0.1,-0.1%,-1.4,100%,,100%,jungmta01
Jonathan Lucroy,30,376,.365,119,.340,.183,3.5%,18.6%,8.8%,88.8,40.7%,31.6%,40.4%,22.4%,0.68,15.2%,63.1%,21.7%,1.1,0.3%,5.7,29%,100%,44%,lucrojo01
Martin Maldonado,29,253,.300,72,.234,.149,3.2%,22.1%,13.8%,87.6,33.8%,25.6%,43.6%,21.2%,0.82,21.1%,53.9%,25.0%,-1.5,-0.2%,-14.2,17%,100%,44%,maldoma01
