--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Drew Rasmussen,25,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,rasmudr01
Corey Ray,26,3,.232,32,.000,.000,0.0%,33.3%,33.3%,86.5,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,-0.1%,-0.5,100%,,,rayco01
Colin Rea,30,2,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,reaco01
Pablo Reyes,27,87,.347,106,.306,.103,1.2%,17.2%,10.3%,87.1,36.5%,25.4%,36.5%,28.6%,0.58,36.5%,44.4%,19.0%,-0.6,-0.4%,-0.6,33%,100%,60%,reyespa01
Trevor Richards,28,1,.696,361,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.2,100%,,,richatr01
Daniel Robertson,27,90,.267,56,.227,.110,2.2%,31.1%,13.3%,81.6,23.4%,17.0%,42.6%,36.2%,0.77,17.0%,61.7%,21.3%,-0.2,-0.1%,-3.7,31%,,25%,roberda10
Miguel Sanchez,27,1,.000,-132,.000,.000,0.0%,0.0%,0.0%,66.9,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.4,,,,sanchmi01
Travis Shaw,31,202,.278,64,.230,.146,3.0%,25.3%,9.4%,87.0,38.8%,21.7%,35.7%,30.2%,0.57,27.1%,58.9%,14.0%,0.2,0.1%,-2.2,16%,,17%,shawtr01
Hunter Strickland,32,2,.000,-132,.000,.000,0.0%,50.0%,0.0%,97.6,100.0%,0.0%,0.0%,100.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,,strichu01
Brent Suter,31,4,.000,-132,.000,.000,0.0%,75.0%,0.0%,26.2,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,,,,suterbr01
Tyrone Taylor,27,271,.345,110,.277,.210,4.4%,21.8%,7.4%,88.6,37.3%,22.2%,41.6%,27.0%,0.71,31.4%,49.7%,18.9%,0.8,0.8%,11.1,28%,86%,54%,tayloty01
Rowdy Tellez,26,174,.347,114,.300,.209,4.0%,18.4%,8.1%,91.8,47.2%,25.2%,43.3%,20.5%,0.76,26.8%,52.8%,20.5%,0.2,0.1%,7.8,29%,,29%,tellero01
Justin Topa,30,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,topaju01
Luis Urias,24,570,.348,114,.280,.196,4.0%,20.4%,11.1%,87.8,40.5%,21.2%,41.5%,26.2%,0.71,31.0%,55.3%,13.8%,1.6,0.7%,20.3,31%,83%,43%,uriaslu01
Daniel Vogelbach,28,258,.334,104,.255,.163,3.5%,22.1%,16.7%,91.4,48.7%,23.4%,45.6%,25.3%,0.84,25.9%,57.6%,16.5%,1.3,0.4%,2.5,26%,,29%,vogelda01
Kolten Wong,30,492,.346,113,.305,.175,2.9%,16.9%,6.3%,87.4,34.8%,26.6%,42.2%,23.0%,0.75,29.6%,53.2%,17.3%,0.2,-0.4%,11.6,37%,71%,44%,wongko01
Brandon Woodruff,28,58,.136,-43,.250,.000,0.0%,48.3%,5.2%,73.2,11.1%,25.9%,44.4%,7.4%,1.20,22.2%,63.0%,14.8%,-1.1,-0.8%,-12.3,0%,,0%,woodrbr01
Christian Yelich,29,475,.332,102,.321,.125,1.9%,23.8%,14.7%,90.6,48.8%,23.9%,55.0%,17.0%,1.24,28.4%,50.9%,20.8%,0.7,0.8%,12.6,37%,75%,41%,yelicch01
Jordan Zimmermann,35,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,zimmejo02
League Average,,,.322,94,.292,.165,3.2%,23.5%,8.9%,87.6,38.1%,23.4%,42.8%,25.6%,0.77,28.5%,54.0%,17.6%,,,,31%,75%,40%,-9999
Team Total,,6099,.319,92,.283,.163,3.2%,24.0%,9.6%,87.8,38.4%,23.0%,43.3%,25.8%,0.78,29.1%,53.4%,17.5%,-2.4,-1.3%,-9.3,31%,80%,42%,-9999
