--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Aramis Ramirez,34,630,.395,141,.310,.240,4.3%,13.0%,7.0%,20.7%,38.8%,31.7%,0.63,26.6%,56.1%,17.3%,4.6,1.1%,37.7,33%,82%,28%,ramirar01
Cody Ransom,36,195,.288,65,.325,.149,3.1%,40.5%,11.8%,13.0%,37.0%,30.4%,0.65,31.5%,58.7%,9.8%,-0.6,-0.2%,-6.9,24%,0%,33%,ransoco01
Mark Rogers,26,16,.237,16,.333,.143,0.0%,31.3%,0.0%,27.3%,54.5%,0.0%,2.00,18.2%,54.5%,27.3%,-0.2,0.0%,-2.4,33%,,,rogerma01
Logan Schafer,25,25,.330,109,.333,.217,0.0%,12.0%,4.0%,23.8%,28.6%,23.8%,0.40,19.0%,71.4%,9.5%,0.2,0.1%,2.4,38%,0%,100%,schaflo01
Jean Segura,22,163,.301,67,.305,.068,0.0%,12.9%,8.0%,17.1%,62.8%,12.4%,1.88,18.6%,65.9%,15.5%,0.4,0.2%,0.0,37%,88%,47%,segurje01
Josh Stinson,24,1,.000,-148,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,stinsjo01
Tyler Thornburg,23,5,.252,37,.333,.200,0.0%,40.0%,0.0%,33.3%,0.0%,0.0%,0.00,33.3%,66.7%,0.0%,0.0,0.0%,-0.4,100%,,,thornty01
Yorvit Torrealba,33,6,.116,-63,.000,.000,0.0%,33.3%,16.7%,33.3%,66.7%,0.0%,2.00,33.3%,66.7%,0.0%,0.0,0.0%,-1.1,0%,,,torreyo01
Rickie Weeks,29,677,.343,101,.285,.170,3.1%,25.0%,10.9%,18.3%,45.4%,27.1%,0.83,24.7%,61.0%,14.3%,0.2,-0.2%,0.0,32%,84%,37%,weeksri01
Randy Wolf,35,46,.120,-69,.200,.000,0.0%,23.9%,0.0%,17.1%,42.9%,14.3%,1.25,28.6%,60.0%,11.4%,-0.6,-0.2%,-7.5,43%,0%,0%,wolfra02
League Average,,,.323,93,.299,.146,2.5%,20.1%,7.9%,19.1%,44.8%,26.6%,0.86,26.9%,55.4%,17.7%,,,,29%,73%,41%,-9999
Team Total,,6225,.342,101,.299,.177,3.2%,19.9%,7.5%,17.8%,43.5%,27.5%,0.82,26.0%,55.8%,18.2%,6.6,-0.2%,71.5,32%,80%,38%,-9999
