--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Chris Archer,28,8,.211,19,.400,.000,0.0%,37.5%,0.0%,69.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.2,50%,,,archech01
Tim Beckham,27,345,.315,95,.357,.148,3.5%,31.9%,7.0%,88.7,42.1%,27.3%,47.4%,19.1%,0.93,29.2%,58.9%,12.0%,-0.5,-0.7%,-8.6,20%,56%,56%,beckhti01
Peter Bourjos,30,203,.283,73,.282,.160,2.5%,26.1%,5.9%,86.3,30.8%,19.7%,47.4%,19.7%,0.94,23.4%,52.6%,24.1%,-0.5,-0.4%,-11.1,34%,56%,41%,bourjpe01
Curt Casali,28,13,.442,184,.333,.333,7.7%,23.1%,23.1%,83.0,28.6%,14.3%,28.6%,42.9%,0.40,28.6%,14.3%,57.1%,0.3,0.0%,1.8,20%,,100%,casalcu01
Alex Cobb,29,6,.000,-133,.000,.000,0.0%,66.7%,0.0%,90.9,0.0%,0.0%,0.0%,50.0%,0.00,0.0%,50.0%,50.0%,-0.1,-0.1%,-1.5,,,,cobbal01
Corey Dickerson,28,629,.346,117,.338,.207,4.3%,24.2%,5.6%,87.5,35.5%,25.8%,42.2%,25.6%,0.73,26.5%,53.9%,19.6%,0.5,0.3%,11.2,32%,57%,35%,dickeco01
Lucas Duda,31,200,.305,86,.173,.269,6.5%,31.0%,11.5%,88.1,40.6%,19.8%,29.7%,36.9%,0.42,38.7%,47.7%,13.5%,-0.3,0.1%,-4.7,16%,,17%,dudalu01
Danny Espinosa,30,24,.278,67,.545,.000,0.0%,45.8%,4.2%,90.1,55.6%,27.3%,54.5%,9.1%,1.20,18.2%,63.6%,18.2%,-0.2,0.0%,-3.0,13%,,25%,espinda01
Taylor Featherston,27,47,.297,77,.208,.179,4.3%,31.9%,10.6%,90.2,50.0%,15.4%,34.6%,50.0%,0.53,23.1%,57.7%,19.2%,0.0,-0.1%,-1.4,36%,100%,50%,feathta01
Adeiny Hechavarria,28,281,.304,84,.302,.155,2.5%,20.6%,4.3%,88.1,39.8%,23.8%,48.6%,19.5%,0.99,27.6%,51.9%,20.5%,-0.6,-0.9%,-6.8,29%,80%,36%,hechaad01
Kevin Kiermaier,27,421,.339,110,.337,.174,3.6%,23.5%,7.4%,87.0,37.7%,21.3%,48.3%,20.6%,0.98,31.5%,54.5%,14.0%,0.8,0.1%,6.4,33%,70%,52%,kiermke01
Evan Longoria,31,677,.318,95,.282,.163,3.0%,16.1%,6.8%,87.2,35.8%,24.2%,43.8%,21.5%,0.78,28.9%,51.4%,19.8%,-0.4,-0.1%,-6.1,27%,86%,46%,longoev01
Michael Martinez,34,29,.130,-39,.125,.000,0.0%,34.5%,10.3%,88.1,16.7%,31.3%,37.5%,25.0%,0.60,25.0%,62.5%,12.5%,-0.6,-0.3%,-4.9,20%,,50%,martimi02
Brad Miller,27,407,.300,83,.265,.136,2.2%,27.0%,15.5%,89.8,44.5%,20.7%,47.4%,24.6%,0.92,31.0%,47.4%,21.6%,-0.4,0.3%,-6.1,27%,63%,25%,millebr02
Logan Morrison,29,601,.365,129,.268,.270,6.3%,24.8%,13.5%,89.0,46.7%,25.7%,33.9%,30.3%,0.51,36.3%,51.6%,12.0%,0.2,0.4%,11.9,21%,100%,33%,morrilo01
Derek Norris,28,198,.277,65,.214,.179,4.6%,24.2%,6.1%,88.4,38.3%,31.9%,27.4%,30.4%,0.38,26.7%,57.8%,15.6%,-1.3,-0.8%,-12.5,29%,100%,33%,norride01
Jake Odorizzi,27,4,.266,44,.333,.000,0.0%,0.0%,0.0%,91.5,33.3%,25.0%,50.0%,0.0%,2.00,0.0%,100.0%,0.0%,0.0,0.0%,0.2,0%,,,odorija01
Shane Peterson,29,88,.307,83,.316,.139,2.3%,23.9%,5.7%,86.4,35.8%,20.3%,45.8%,25.4%,0.84,33.9%,50.8%,15.3%,0.4,0.3%,1.9,27%,100%,50%,petersh01
Trevor Plouffe,31,114,.244,45,.217,.079,1.8%,26.3%,10.5%,87.2,37.1%,19.7%,40.8%,21.1%,0.69,38.0%,46.5%,15.5%,-1.3,-0.8%,-12.4,25%,0%,33%,plouftr01
César Puello,26,35,.251,47,.316,.000,0.0%,31.4%,11.4%,82.4,29.4%,10.5%,73.7%,5.3%,2.80,21.1%,57.9%,21.1%,-0.1,-0.1%,-3.2,50%,,40%,puellce01
Wilson Ramos,29,224,.314,93,.262,.188,4.9%,16.1%,4.5%,86.1,38.6%,22.3%,52.6%,18.3%,1.11,30.3%,54.9%,14.9%,-0.7,-0.9%,-1.8,15%,,32%,ramoswi01
Colby Rasmus,30,129,.367,130,.368,.298,7.0%,34.9%,5.4%,89.8,52.3%,29.9%,31.2%,31.2%,0.47,41.6%,46.8%,11.7%,0.0,0.0%,3.8,25%,100%,50%,rasmuco01
Daniel Robertson,23,254,.290,76,.282,.119,2.0%,28.7%,11.4%,85.9,35.2%,22.3%,45.3%,23.0%,0.85,23.0%,57.4%,19.6%,-0.7,-0.4%,-10.2,23%,50%,42%,roberda10
Mallex Smith,24,282,.322,95,.347,.086,0.7%,22.0%,8.2%,80.4,20.8%,22.3%,46.2%,16.2%,1.06,31.5%,44.7%,23.9%,-0.6,-0.4%,-6.0,33%,76%,52%,smithma05
Blake Snell,24,7,.116,-75,.000,.000,0.0%,14.3%,14.3%,78.7,20.0%,0.0%,80.0%,0.0%,,20.0%,40.0%,40.0%,-0.1,0.0%,-1.4,0%,,,snellbl01
Steven Souza Jr.,28,617,.356,121,.302,.220,4.9%,29.0%,13.6%,89.2,43.0%,24.8%,43.8%,23.6%,0.80,32.0%,51.6%,16.4%,2.2,1.8%,18.1,26%,80%,36%,souzast01
Jesús Sucre,29,192,.300,80,.275,.153,3.7%,18.2%,3.7%,86.4,34.3%,25.9%,39.5%,23.1%,0.67,19.0%,53.7%,27.2%,-0.7,-0.5%,-5.8,27%,100%,39%,sucreje01
Rickie Weeks,34,112,.316,92,.413,.124,1.8%,43.8%,10.7%,91.0,51.3%,27.1%,39.6%,22.9%,0.66,31.3%,45.8%,22.9%,-0.4,-0.2%,-1.6,32%,100%,44%,weeksri01
League Average,,,.330,100,.297,.173,3.4%,21.5%,8.5%,87.9,38.1%,25.2%,43.4%,22.8%,0.78,29.1%,52.7%,18.2%,,,,31%,73%,39%,-9999
Team Total,,6147,.321,98,.296,.178,3.7%,25.0%,8.9%,87.5,38.5%,23.9%,43.1%,23.5%,0.78,29.7%,52.3%,17.9%,-5.3,-3.5%,-53.9,27%,72%,40%,-9999
