--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jim Adduci,29,114,.224,23,.213,.059,0.9%,23.7%,8.8%,18.2%,49.4%,14.3%,1.09,20.8%,55.8%,23.4%,-0.9,0.1%,-7.3,43%,75%,57%,adducji02
Elvis Andrus,25,685,.299,81,.305,.069,0.3%,14.0%,6.7%,23.7%,56.6%,12.4%,1.41,21.4%,61.8%,16.8%,-1.7,-0.2%,-13.9,33%,64%,73%,andruel01
J.P. Arencibia,28,222,.277,64,.195,.192,4.5%,27.9%,4.5%,18.9%,33.6%,37.1%,0.51,34.3%,49.0%,16.8%,-0.8,-0.7%,-7.4,23%,,10%,arencjp01
Scott Baker,32,1,.000,-141,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,bakersc02
Adrián Beltré,35,614,.391,150,.345,.168,3.1%,12.1%,9.3%,27.5%,43.1%,23.5%,0.76,25.9%,57.5%,16.5%,2.4,0.6%,31.9,27%,50%,30%,beltrad01
Mike Carp,28,46,.174,-12,.185,.000,0.0%,30.4%,10.9%,33.3%,48.1%,14.8%,0.93,14.8%,70.4%,14.8%,-0.3,0.0%,-3.6,20%,,33%,carpmi01
Robinson Chirinos,30,338,.319,96,.265,.176,3.9%,21.0%,5.0%,25.5%,41.6%,21.4%,0.76,27.0%,54.8%,18.3%,-0.3,0.0%,-1.1,27%,0%,29%,chiriro01
Michael Choice,24,280,.271,59,.208,.138,3.2%,24.6%,7.5%,19.8%,49.7%,20.9%,0.99,24.6%,58.8%,16.6%,-1.3,-0.1%,-9.0,18%,100%,28%,choicmi01
Shin-Soo Choo,31,529,.326,102,.308,.132,2.5%,24.8%,11.0%,22.6%,51.2%,23.2%,1.06,27.5%,58.1%,14.4%,-0.2,0.5%,3.2,27%,43%,50%,choosh01
Yu Darvish,27,5,.255,47,.333,.200,0.0%,40.0%,0.0%,33.3%,33.3%,33.3%,0.50,33.3%,66.7%,0.0%,-0.1,0.0%,-0.7,0%,,,darviyu01
Prince Fielder,30,178,.304,83,.274,.113,1.7%,13.5%,14.0%,21.3%,51.2%,18.1%,1.05,23.8%,57.9%,18.3%,-0.4,-0.2%,2.2,26%,,24%,fieldpr01
