--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Hanser Alberto,23,58,.131,-59,.205,.018,0.0%,29.3%,0.0%,79.6,14.7%,17.1%,46.3%,12.2%,0.95,31.7%,48.8%,19.5%,-0.3,-0.1%,-6.7,11%,100%,20%,alberha01
Elvis Andrus,27,568,.362,117,.333,.136,1.4%,12.3%,8.3%,87.5,34.5%,27.5%,47.7%,17.2%,0.93,28.5%,52.0%,19.5%,2.9,0.9%,18.2,34%,75%,58%,andruel01
Carlos Beltrán,39,206,.336,99,.303,.171,3.4%,15.1%,6.3%,89.7,39.6%,29.6%,46.3%,17.9%,0.86,42.5%,42.5%,15.0%,0.3,0.3%,4.9,27%,100%,17%,beltrca01
Adrián Beltré,37,640,.380,133,.293,.221,5.0%,10.3%,7.5%,90.8,44.5%,25.2%,41.2%,24.0%,0.70,27.5%,51.5%,21.1%,4.0,1.9%,29.9,29%,50%,45%,beltrad01
Robinson Chirinos,32,170,.333,100,.250,.259,5.3%,25.9%,8.8%,86.7,41.6%,23.6%,40.6%,22.6%,0.70,37.7%,50.0%,12.3%,0.2,-0.1%,-1.4,26%,0%,44%,chiriro01
Shin-Soo Choo,33,210,.343,106,.288,.157,3.3%,21.9%,11.9%,92.2,50.4%,29.5%,45.5%,22.7%,0.86,34.8%,47.0%,18.2%,0.9,0.7%,6.9,29%,67%,40%,choosh01
Yu Darvish,29,3,.664,340,.000,1.000,33.3%,33.3%,0.0%,101.1,100.0%,50.0%,50.0%,0.0%,1.00,50.0%,50.0%,0.0%,0.1,0.0%,0.3,,,,darviyu01
Delino DeShields,23,203,.274,53,.272,.104,2.0%,26.6%,7.4%,85.8,35.7%,17.4%,52.3%,18.9%,1.28,30.3%,50.0%,19.7%,-0.2,0.0%,-7.1,48%,73%,54%,deshide02
Ian Desmond,30,677,.342,102,.350,.162,3.3%,23.6%,6.5%,91.4,48.7%,23.5%,53.2%,17.7%,1.15,18.3%,54.7%,26.9%,2.6,2.1%,9.7,42%,78%,53%,desmoia01
Prince Fielder,32,370,.289,65,.235,.123,2.2%,17.0%,8.7%,89.4,35.6%,25.7%,43.7%,22.4%,0.77,37.5%,47.3%,15.2%,-0.2,0.0%,-8.9,21%,,26%,fieldpr01
Joey Gallo,22,30,.190,-13,.000,.120,3.3%,63.3%,16.7%,87.0,20.0%,16.7%,16.7%,33.3%,0.20,50.0%,16.7%,33.3%,-0.6,-0.3%,-5.0,13%,100%,67%,gallojo01
Carlos Gómez,30,130,.392,142,.347,.259,6.2%,27.7%,10.0%,89.5,42.7%,26.3%,33.8%,25.0%,0.55,29.1%,46.8%,24.1%,0.7,0.2%,7.4,25%,63%,56%,gomezca01
A.J. Griffin,28,2,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.5,,,,griffaj01
Cole Hamels,32,8,.112,-64,.143,.000,0.0%,12.5%,0.0%,78.4,0.0%,14.3%,28.6%,14.3%,0.67,28.6%,57.1%,14.3%,-0.2,-0.1%,-2.0,0%,,,hamelco01
Bryan Holaday,28,94,.291,71,.265,.167,2.1%,17.0%,5.3%,86.3,26.7%,16.9%,29.6%,39.4%,0.43,42.0%,44.9%,13.0%,0.0,0.1%,-1.0,46%,0%,42%,holadbr01
Derek Holland,29,2,.446,180,1.000,.000,0.0%,50.0%,0.0%,80.0,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,0.0,0%,,,hollade01
Jared Hoying,27,49,.278,54,.263,.043,0.0%,16.3%,6.1%,87.1,33.3%,21.1%,34.2%,23.7%,0.52,21.1%,52.6%,26.3%,-0.3,-0.2%,-3.0,36%,100%,50%,hoyinja01
Jonathan Lucroy,30,168,.386,137,.279,.263,6.6%,17.9%,8.3%,86.7,36.8%,31.1%,34.4%,19.7%,0.53,27.9%,47.5%,24.6%,1.7,0.6%,7.3,17%,,38%,lucrojo01
Nick Martinez,25,2,.000,-146,.000,.000,0.0%,50.0%,0.0%,71.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,,martini01
Nomar Mazara,21,568,.327,95,.299,.153,3.5%,19.7%,6.9%,88.5,38.3%,23.6%,49.6%,20.4%,0.99,31.4%,49.4%,19.2%,-0.5,-0.2%,0.0,24%,0%,28%,mazarno01
Mitch Moreland,30,503,.310,80,.266,.189,4.4%,23.5%,7.0%,91.4,43.7%,24.6%,43.0%,21.9%,0.75,38.0%,47.5%,14.5%,-0.2,0.4%,-10.6,21%,100%,28%,morelmi01
Brett Nicholas,27,45,.378,131,.310,.275,4.4%,20.0%,8.9%,86.7,24.1%,25.8%,32.3%,38.7%,0.48,22.6%,61.3%,16.1%,-0.3,-0.1%,0.0,21%,,25%,nichobr01
Rougned Odor,22,632,.342,104,.297,.231,5.2%,21.4%,3.0%,90.0,42.2%,23.4%,39.7%,26.6%,0.69,43.1%,46.1%,10.9%,0.6,0.4%,9.1,36%,67%,60%,odorro01
Martín Pérez,25,4,.266,31,.500,.000,0.0%,25.0%,0.0%,94.4,0.0%,0.0%,66.7%,0.0%,,33.3%,33.3%,33.3%,0.0,0.0%,-0.2,0%,,,perezma02
Jurickson Profar,23,307,.293,69,.291,.099,1.6%,19.9%,9.8%,87.0,33.2%,21.1%,53.5%,16.4%,1.18,37.1%,45.5%,17.4%,-1.0,-0.8%,-11.9,32%,67%,29%,profaju01
Ryan Rua,26,269,.334,92,.342,.142,3.0%,28.3%,7.8%,91.6,46.2%,23.5%,51.8%,18.7%,1.09,30.4%,49.1%,20.5%,-0.6,-0.2%,-10.0,37%,100%,58%,ruary01
Justin Ruggiano,34,4,.308,80,.333,.250,0.0%,25.0%,0.0%,84.0,50.0%,33.3%,33.3%,0.0%,0.50,33.3%,33.3%,33.3%,0.0,0.0%,0.3,0%,,,ruggiju01
Drew Stubbs,31,25,.444,151,.333,.300,8.0%,28.0%,16.0%,89.4,33.3%,28.6%,35.7%,28.6%,0.63,0.0%,69.2%,30.8%,0.2,0.2%,0.4,29%,100%,0%,stubbdr01
Shawn Tolleson,28,1,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,tollesh01
Bobby Wilson,33,141,.279,57,.305,.102,2.1%,23.4%,3.6%,84.9,33.3%,30.4%,34.3%,21.6%,0.56,30.0%,55.0%,15.0%,-0.4,-0.3%,-2.3,23%,,33%,wilsobo02
League Average,,,.326,99,.298,.165,3.2%,20.7%,8.0%,89.0,39.5%,24.9%,43.9%,22.3%,0.80,30.2%,50.3%,19.4%,,,,30%,72%,40%,-9999
Team Total,,6089,.332,96,.298,.172,3.5%,20.0%,7.2%,89.3,40.2%,24.7%,44.9%,21.3%,0.83,32.1%,49.4%,18.5%,9.4,5.2%,23.2,31%,73%,43%,-9999
