--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Kolby Allard,21,2,.000,-141,.000,.000,0.0%,0.0%,0.0%,77.1,0.0%,0.0%,0.0%,50.0%,0.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.3,,,,allarko01
Elvis Andrus,30,648,.322,81,.305,.118,1.9%,14.8%,5.3%,88.8,37.4%,24.3%,51.9%,18.7%,1.09,18.6%,60.9%,20.5%,-1.3,-0.3%,-12.3,36%,79%,52%,andruel01
Asdrúbal Cabrera,33,368,.317,80,.278,.158,3.3%,23.1%,10.3%,88.8,35.1%,27.3%,37.6%,26.4%,0.60,38.4%,44.6%,16.9%,-0.4,-0.4%,-0.5,31%,100%,18%,cabreas01
Willie Calhoun,24,337,.358,110,.262,.256,6.2%,15.7%,6.8%,90.7,46.5%,26.4%,36.4%,22.1%,0.57,40.3%,49.6%,10.1%,0.3,-0.2%,3.3,34%,,42%,calhowi01
Jesse Chavez,35,2,.443,170,1.000,.000,0.0%,50.0%,0.0%,80.1,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,0.0,0%,,,chaveje01
Shin-Soo Choo,36,660,.371,116,.333,.190,3.6%,25.0%,11.8%,91.9,51.1%,23.6%,49.6%,22.3%,1.01,33.4%,50.8%,15.8%,3.0,1.4%,25.0,31%,94%,32%,choosh01
Delino DeShields,26,408,.314,75,.333,.098,1.0%,24.5%,9.3%,85.6,27.1%,24.7%,39.3%,21.0%,0.76,16.5%,57.3%,26.2%,-0.2,0.3%,-7.7,29%,80%,46%,deshide02
Tim Federowicz,31,83,.250,30,.200,.187,4.8%,37.4%,6.0%,90.9,47.6%,29.8%,29.8%,27.7%,0.47,31.9%,57.4%,10.6%,-0.9,-0.5%,-9.0,15%,100%,0%,federti01
Logan Forsythe,32,367,.310,76,.307,.126,1.9%,27.3%,12.0%,89.6,42.6%,28.3%,42.0%,26.5%,0.72,28.6%,53.5%,18.0%,-2.0,-0.5%,-4.9,27%,100%,31%,forsylo01
Joey Gallo,25,297,.398,139,.368,.344,7.4%,38.4%,17.5%,95.2,59.6%,24.8%,26.4%,36.4%,0.37,41.4%,47.7%,10.9%,0.6,0.4%,11.8,34%,67%,71%,gallojo01
Ronald Guzmán,24,295,.306,76,.282,.195,3.4%,29.5%,10.9%,85.8,39.2%,30.1%,38.7%,23.7%,0.64,35.3%,42.2%,22.5%,-0.2,0.0%,-4.5,30%,33%,33%,guzmaro01
Scott Heineman,26,85,.294,72,.264,.160,2.4%,23.5%,10.6%,88.2,42.6%,23.6%,47.3%,18.2%,0.90,23.6%,54.5%,21.8%,-0.9,0.0%,-5.6,25%,33%,33%,heinesc01
Ariel Jurado,23,1,.000,-141,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,juradar01
Isiah Kiner-Falefa,24,222,.276,50,.307,.084,0.5%,22.1%,6.3%,87.0,34.2%,25.2%,50.3%,20.0%,1.03,22.6%,48.4%,29.0%,-0.5,-0.3%,-16.2,33%,100%,55%,kineris01
Lance Lynn,32,2,.000,-141,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.6,,,,lynnla01
Jeff Mathis,36,244,.194,-6,.243,.066,0.8%,35.7%,6.2%,86.7,31.1%,23.9%,40.1%,23.2%,0.69,20.4%,59.2%,20.4%,-2.3,-0.8%,-25.2,31%,100%,15%,mathije01
Nomar Mazara,24,469,.338,96,.312,.200,4.1%,23.0%,6.0%,89.6,42.6%,24.8%,47.1%,21.7%,0.89,27.8%,52.9%,19.3%,0.1,-0.2%,1.7,39%,80%,31%,mazarno01
Shelby Miller,28,3,.464,185,,.000,0.0%,33.3%,66.7%,,,,,,,,,,0.0,0.0%,0.2,0%,,,millesh01
Mike Minor,31,10,.000,-168,.000,.000,0.0%,60.0%,0.0%,87.5,0.0%,25.0%,50.0%,0.0%,2.00,0.0%,75.0%,25.0%,-0.2,-0.1%,-2.5,,,,minormi01
Rougned Odor,25,581,.303,74,.244,.234,5.2%,30.6%,9.0%,91.2,51.5%,21.7%,35.3%,28.9%,0.57,34.7%,53.8%,11.6%,-1.9,-0.9%,-2.3,35%,55%,44%,odorro01
Pedro Payano,24,1,.000,-141,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,payanpe01
Hunter Pence,36,316,.386,128,.333,.255,5.7%,21.8%,8.2%,92.2,46.0%,26.0%,44.7%,22.8%,0.81,22.9%,51.4%,25.7%,1.4,0.6%,18.7,37%,86%,65%,pencehu01
Adrian Sampson,27,2,.444,171,.000,.000,0.0%,50.0%,0.0%,50.4,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.1,,,,sampsad01
Danny Santana,28,511,.360,109,.353,.251,5.5%,29.6%,4.9%,92.2,47.2%,29.3%,40.9%,23.8%,0.69,29.4%,52.0%,18.7%,1.1,0.6%,11.8,38%,78%,62%,santada01
Drew Smyly,30,1,.000,-141,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.5,,,,smylydr01
Nick Solak,24,135,.397,136,.354,.198,3.7%,21.5%,11.1%,88.6,34.6%,26.4%,52.9%,13.8%,1.12,29.9%,54.0%,16.1%,1.4,0.0%,7.3,29%,100%,27%,solakni01
Jose Trevino,26,126,.302,71,.312,.125,1.6%,21.4%,2.4%,87.0,38.2%,25.0%,45.8%,21.9%,0.86,27.1%,47.9%,25.0%,-0.6,0.0%,-5.7,50%,,39%,trevijo01
Patrick Wisdom,27,28,.202,-3,.364,.038,0.0%,53.6%,3.6%,94.3,54.5%,50.0%,16.7%,25.0%,0.22,41.7%,50.0%,8.3%,-0.2,-0.1%,-3.0,20%,,0%,wisdopa01
League Average,,,.328,99,.297,.185,3.7%,23.0%,8.5%,89.2,40.3%,25.2%,42.2%,24.0%,0.74,29.5%,52.5%,17.9%,,,,31%,72%,40%,-9999
Team Total,,6204,.328,88,.304,.183,3.6%,25.4%,8.6%,89.7,42.3%,25.6%,42.9%,23.1%,0.77,28.7%,52.7%,18.7%,-3.8,-1.1%,-21.4,33%,78%,41%,-9999
