--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Nick Punto,35,335,.294,82,.322,.071,0.6%,20.0%,9.9%,28.1%,38.7%,23.0%,0.70,16.2%,62.1%,21.7%,-0.3,-0.2%,-2.9,29%,50%,52%,puntoni01
Hanley Ramirez,29,336,.452,196,.363,.293,6.0%,15.5%,8.0%,29.5%,40.9%,19.7%,0.69,29.1%,57.4%,13.5%,3.7,1.9%,37.8,37%,83%,38%,ramirha01
Paco Rodriguez,22,1,.000,-141,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.4,,,,rodrist02
Hyun Jin Ryu,26,66,.235,29,.343,.086,0.0%,34.9%,3.0%,36.6%,31.7%,12.2%,0.65,7.3%,58.5%,34.1%,-0.4,-0.3%,-5.0,36%,,25%,ryuhy01
Skip Schumaker,33,356,.312,94,.312,.069,0.6%,15.2%,7.9%,27.6%,54.5%,15.3%,1.23,18.7%,55.8%,25.5%,-1.1,-0.2%,-5.4,25%,50%,36%,schumsk01
Justin Sellers,27,77,.238,37,.250,.058,1.3%,26.0%,6.5%,14.0%,38.0%,34.0%,0.66,20.0%,54.0%,26.0%,-0.8,-0.5%,-7.2,25%,,33%,selleju01
Dee Strange-Gordon,25,106,.286,62,.292,.064,0.9%,19.8%,9.4%,17.6%,43.2%,17.6%,1.03,17.6%,62.2%,20.3%,0.4,0.2%,0.2,22%,83%,71%,gordode01
Juan Uribe,34,426,.349,119,.322,.160,2.8%,19.0%,7.0%,21.4%,43.1%,25.6%,0.78,24.0%,59.0%,17.0%,1.5,0.2%,8.4,27%,100%,34%,uribeju01
Scott Van Slyke,26,152,.360,131,.276,.225,4.6%,24.3%,13.2%,20.2%,36.2%,37.2%,0.57,39.4%,44.7%,16.0%,-0.9,-0.3%,-2.4,13%,50%,14%,vanslsc01
Edinson Volquez,29,9,.214,10,.200,.000,0.0%,33.3%,0.0%,16.7%,33.3%,16.7%,1.00,0.0%,66.7%,33.3%,0.0,0.0%,-0.2,100%,,0%,volqued01
Chris Withrow,24,2,.000,-381,,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.4,,,,withrch01
Michael Young,36,53,.306,89,.340,.078,0.0%,9.4%,1.9%,27.7%,55.3%,17.0%,1.24,27.7%,57.4%,14.9%,0.1,0.0%,-0.4,18%,,0%,youngmi02
League Average,,,.319,93,.297,.138,2.4%,20.1%,7.7%,23.5%,45.1%,22.3%,0.86,26.5%,55.5%,18.0%,,,,28%,72%,40%,-9999
Team Total,,6145,.328,104,.308,.133,2.3%,18.7%,7.8%,24.1%,43.3%,23.5%,0.80,25.3%,56.5%,18.2%,3.0,2.5%,19.2,28%,74%,38%,-9999
