--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Brett Anderson,28,3,.000,-138,.000,.000,0.0%,66.7%,0.0%,87.8,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,0.0%,-0.7,,,,anderbr04
Pedro Baez,28,1,.000,-138,.000,.000,0.0%,0.0%,0.0%,103.7,100.0%,0.0%,0.0%,100.0%,0.00,100.0%,0.0%,0.0%,0.0,0.0%,-0.2,,,,baezpe01
Austin Barnes,26,37,.220,21,.217,.031,0.0%,24.3%,13.5%,89.7,25.0%,17.4%,30.4%,30.4%,0.47,39.1%,39.1%,21.7%,-0.2,-0.2%,-1.9,27%,,60%,barneau01
Mike Bolsinger,28,9,.000,-138,.000,.000,0.0%,77.8%,0.0%,88.6,0.0%,0.0%,50.0%,0.0%,,0.0%,50.0%,50.0%,-0.2,-0.2%,-2.0,,,,bolsimi01
Carl Crawford,34,87,.213,20,.211,.049,0.0%,12.6%,4.6%,86.9,28.6%,26.8%,62.0%,9.9%,1.63,30.0%,48.6%,21.4%,-1.2,-0.8%,-8.1,40%,0%,36%,crawfca02
Charlie Culberson,27,68,.316,88,.358,.090,1.5%,19.1%,1.5%,86.1,36.2%,22.2%,44.4%,24.1%,0.86,20.4%,44.4%,35.2%,0.3,-0.1%,-1.5,24%,100%,100%,culbech01
Grant Dayton,28,1,.000,-138,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,daytogr01
Jose De Leon,23,4,.000,-138,.000,.000,0.0%,25.0%,0.0%,92.2,0.0%,0.0%,100.0%,0.0%,,0.0%,66.7%,33.3%,-0.1,-0.1%,-1.1,,,,deleojo03
A.J. Ellis,35,161,.255,45,.226,.058,0.6%,14.9%,9.9%,87.2,34.9%,24.4%,39.5%,26.1%,0.69,11.9%,61.0%,27.1%,-1.0,-0.8%,-12.3,16%,50%,50%,ellisaj01
Andre Ethier,34,26,.266,53,.235,.167,3.9%,23.1%,7.7%,88.8,28.6%,27.8%,38.9%,22.2%,0.64,44.4%,38.9%,16.7%,-0.5,-0.2%,-2.6,17%,,,ethiean01
Josh Fields,30,1,.000,-138,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,fieldjo03
Carlos Frias,26,1,.000,-138,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,friasca01
Adrian Gonzalez,34,633,.343,111,.328,.150,2.8%,18.5%,8.7%,88.4,36.9%,30.4%,47.9%,18.2%,0.93,33.6%,49.3%,17.1%,1.7,1.5%,17.5,25%,0%,25%,gonzaad01
Yasmani Grandal,27,457,.355,121,.250,.249,5.9%,25.4%,14.0%,92.1,50.6%,22.2%,44.7%,24.7%,0.82,36.9%,50.2%,12.9%,1.3,0.9%,12.5,17%,25%,27%,grandya01
Chris Hatcher,31,3,.300,79,.333,.000,0.0%,0.0%,0.0%,81.9,50.0%,33.3%,66.7%,0.0%,2.00,0.0%,100.0%,0.0%,-0.1,-0.1%,0.0,0%,,100%,hatchch02
Enrique Hernandez,24,244,.289,69,.234,.134,2.9%,26.2%,11.5%,88.8,37.8%,24.3%,40.8%,26.3%,0.69,31.3%,50.7%,18.0%,-0.6,-0.2%,-9.6,29%,100%,37%,hernaen02
Rich Hill,36,12,.000,-138,.000,.000,0.0%,66.7%,0.0%,53.9,0.0%,0.0%,75.0%,0.0%,,50.0%,50.0%,0.0%,-0.3,-0.1%,-3.0,,,,hillri01
J.P. Howell,33,2,.000,-138,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.5,,,,howeljp01
Micah Johnson,25,6,.150,-30,.200,.000,0.0%,16.7%,0.0%,85.3,60.0%,20.0%,40.0%,20.0%,1.00,0.0%,40.0%,60.0%,-0.1,-0.1%,-1.1,50%,,100%,johnsmi04
Scott Kazmir,32,50,.116,-75,.263,.000,0.0%,48.0%,2.0%,70.5,0.0%,4.0%,40.0%,12.0%,2.50,16.0%,64.0%,20.0%,-0.7,-0.6%,-8.4,50%,,33%,kazmisc01
