--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Nolan Arenado,30,653,.344,116,.249,.239,5.2%,14.7%,7.7%,89.0,37.5%,24.8%,31.3%,32.7%,0.46,35.5%,51.0%,13.5%,1.8,1.0%,19.1,28%,100%,44%,arenano01
Harrison Bader,27,401,.334,110,.306,.193,4.0%,21.2%,6.7%,86.2,31.7%,18.0%,44.0%,28.2%,0.79,28.2%,52.1%,19.7%,0.0,0.0%,2.9,25%,69%,36%,baderha01
Dylan Carlson,22,619,.343,116,.332,.172,2.9%,24.6%,9.2%,87.8,31.3%,24.3%,39.3%,31.1%,0.66,32.9%,50.5%,16.6%,-0.1,-0.4%,12.0,31%,67%,48%,carlsdy01
Matt Carpenter,35,249,.279,69,.250,.106,1.2%,30.9%,14.1%,89.0,42.0%,22.1%,28.2%,43.5%,0.41,33.6%,52.7%,13.7%,-0.3,0.1%,-8.7,21%,100%,24%,carpema01
Austin Dean,27,38,.320,100,.300,.167,2.6%,29.0%,15.8%,87.4,33.3%,23.8%,47.6%,23.8%,0.91,23.8%,42.9%,33.3%,0.0,0.0%,0.7,33%,,100%,deanau01
Paul DeJong,27,402,.298,83,.216,.194,4.7%,25.6%,8.7%,86.3,35.3%,19.6%,38.4%,34.5%,0.62,30.6%,54.1%,15.3%,-0.9,-0.6%,-7.9,26%,80%,21%,dejonpa01
Tommy Edman,26,691,.317,93,.291,.125,1.6%,13.8%,5.5%,87.0,35.3%,24.5%,46.0%,23.7%,0.87,31.3%,54.7%,13.9%,1.4,0.5%,6.2,40%,86%,58%,edmanto01
Seth Elledge,25,2,.000,-127,.000,.000,0.0%,0.0%,0.0%,74.8,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,-0.9,,,,elledse01
Junior Fernandez,24,1,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,fernaju01
Jack Flaherty,25,26,.278,66,.100,.176,3.9%,26.9%,19.2%,69.3,28.6%,35.7%,21.4%,7.1%,0.43,7.1%,50.0%,42.9%,-0.2,-0.1%,-0.7,17%,,25%,flaheja01
John Gant,28,18,.000,-214,.000,.000,0.0%,44.4%,0.0%,53.9,10.0%,20.0%,20.0%,0.0%,0.67,0.0%,70.0%,30.0%,-0.4,-0.3%,-4.4,,,,gantjo01
Paul Goldschmidt,33,679,.389,146,.331,.221,4.6%,20.0%,9.9%,92.6,50.7%,24.6%,37.3%,31.1%,0.59,26.9%,53.6%,19.5%,3.0,1.0%,32.9,33%,100%,51%,goldspa01
