--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Matt Adams,24,319,.370,133,.337,.220,5.3%,25.1%,7.2%,22.7%,45.4%,28.2%,0.83,27.8%,56.9%,15.3%,1.9,1.7%,17.6,32%,0%,32%,adamsma01
Carlos Beltran,36,600,.363,127,.314,.195,4.0%,15.0%,6.3%,29.1%,36.3%,24.0%,0.57,34.8%,52.7%,12.5%,1.1,0.7%,27.4,31%,67%,41%,beltrca01
Matt Carpenter,27,717,.387,146,.359,.163,1.5%,13.7%,10.0%,30.7%,39.4%,25.5%,0.66,26.6%,57.4%,16.0%,4.4,3.7%,52.1,43%,50%,51%,carpema01
Adron Chambers,26,29,.189,3,.267,.038,0.0%,37.9%,10.3%,40.0%,46.7%,13.3%,0.88,26.7%,53.3%,20.0%,0.1,0.2%,-3.6,39%,0%,25%,chambad01
Maikel Cleto,24,1,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,cletoma01
Allen Craig,28,563,.372,133,.368,.142,2.3%,17.8%,7.1%,27.8%,46.0%,19.9%,0.85,26.6%,57.4%,16.0%,3.0,2.3%,47.0,29%,100%,36%,craigal01
Tony Cruz,26,129,.235,30,.247,.089,0.8%,19.4%,3.1%,23.5%,56.1%,12.2%,1.28,28.6%,51.0%,20.4%,-0.8,-0.7%,-4.8,40%,,50%,cruzto03
Jermaine Curtis,25,5,.283,67,.000,.000,0.0%,20.0%,20.0%,50.0%,50.0%,0.0%,1.00,0.0%,100.0%,0.0%,0.0,0.0%,0.5,0%,,0%,curtije01
Daniel Descalso,26,358,.299,78,.271,.128,1.4%,15.6%,6.2%,22.4%,47.3%,20.9%,0.92,37.9%,49.1%,13.0%,0.4,0.1%,10.4,39%,67%,54%,descada01
David Freese,30,521,.325,99,.320,.119,1.7%,20.4%,9.0%,23.7%,56.5%,17.0%,1.30,24.0%,57.7%,18.4%,-0.4,-0.3%,-2.3,26%,33%,36%,freesda01
Jaime Garcia,26,21,.000,-146,.000,.000,0.0%,47.6%,0.0%,9.1%,90.9%,0.0%,10.00,9.1%,90.9%,0.0%,-0.3,-0.2%,-4.3,,,,garcija02
John Gast,24,6,.115,-59,.000,.000,0.0%,50.0%,16.7%,0.0%,50.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.0,100%,,,gastjo01
Matt Holliday,33,602,.391,147,.322,.190,3.7%,14.3%,11.5%,24.4%,45.9%,22.8%,0.85,19.4%,61.6%,18.9%,3.9,3.2%,49.0,38%,86%,51%,hollima01
Ryan Jackson,25,7,.000,-146,.000,.000,0.0%,28.6%,0.0%,20.0%,20.0%,40.0%,0.25,0.0%,60.0%,40.0%,-0.1,-0.1%,-1.6,0%,,,jacksry02
Jon Jay,28,628,.331,103,.325,.095,1.1%,16.4%,8.3%,26.6%,49.9%,17.0%,1.08,21.1%,57.3%,21.6%,1.1,1.1%,7.7,32%,67%,53%,jayjo02
Rob Johnson,30,38,.250,42,.207,.086,0.0%,15.8%,7.9%,24.1%,51.7%,10.3%,1.15,31.0%,51.7%,17.2%,-0.2,-0.2%,-2.3,22%,,0%,johnsro07
Joe Kelly,25,40,.155,-48,.192,.030,0.0%,20.0%,0.0%,16.1%,38.7%,22.6%,1.00,29.0%,41.9%,29.0%,-0.4,-0.4%,-4.6,50%,,0%,kellyjo05
Pete Kozma,25,448,.246,37,.274,.056,0.2%,20.3%,7.6%,24.1%,40.6%,21.4%,0.71,23.2%,55.7%,21.1%,-2.7,-2.2%,-24.7,33%,75%,45%,kozmape01
Lance Lynn,26,69,.124,-82,.167,.000,0.0%,43.5%,5.8%,17.1%,34.3%,5.7%,1.50,8.6%,60.0%,31.4%,-1.0,-0.8%,-11.5,13%,,0%,lynnla01
Tyler Lyons,25,13,.143,-50,.250,.000,0.0%,30.8%,0.0%,11.1%,66.7%,11.1%,3.00,0.0%,55.6%,44.4%,-0.2,-0.2%,-2.2,0%,,0%,lyonsty01
Seth Maness,24,5,.181,-10,.500,.000,0.0%,60.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.5,-0.5%,-1.9,0%,,,manesse01
Carlos Martinez,21,2,.000,-146,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,,,,martica04
Shelby Miller,22,63,.137,-64,.130,.075,1.6%,46.0%,1.6%,6.3%,34.4%,21.9%,1.00,12.5%,71.9%,15.6%,-1.0,-0.8%,-11.4,40%,,100%,millesh01
Yadier Molina,30,541,.373,135,.338,.158,2.2%,10.2%,5.6%,29.6%,41.9%,22.3%,0.72,23.6%,53.0%,23.4%,2.9,1.8%,31.8,31%,60%,34%,molinya01
Edward Mujica,29,2,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-1.1,,,,mujiced01
Audry Perez,24,1,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,perezau01
Brock Peterson,29,28,.208,10,.133,.000,0.0%,39.3%,7.1%,13.3%,60.0%,20.0%,1.50,26.7%,60.0%,13.3%,-0.3,-0.3%,-3.1,0%,,0%,peterbr02
Shane Robinson,28,171,.314,87,.264,.069,1.2%,9.9%,13.5%,25.2%,47.3%,20.6%,0.90,17.6%,62.6%,19.8%,0.4,0.3%,4.9,29%,83%,50%,robinsh01
Trevor Rosenthal,23,1,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.7,,,,rosentr01
Marc Rzepczynski,27,1,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,rzepcma01
Fernando Salas,28,2,.000,-146,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.3,,,,salasfe01
Kevin Siegrist,23,1,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,siegrke01
Michael Wacha,21,22,.125,-59,.273,.000,0.0%,45.5%,0.0%,16.7%,75.0%,0.0%,4.50,8.3%,75.0%,16.7%,-0.2,-0.2%,-1.0,0%,,0%,wachami01
Adam Wainwright,31,81,.207,-2,.306,.056,0.0%,28.4%,0.0%,19.0%,46.6%,10.3%,1.35,24.1%,70.7%,5.2%,-0.8,-0.4%,-9.5,27%,,0%,wainwad01
Jake Westbrook,35,42,.242,24,.273,.059,0.0%,28.6%,9.5%,7.7%,53.8%,3.8%,2.33,23.1%,65.4%,11.5%,-0.5,-0.3%,-5.1,50%,100%,33%,westbja01
Ty Wigginton,35,63,.192,3,.237,.035,0.0%,30.2%,7.9%,28.9%,39.5%,21.1%,0.65,21.1%,55.3%,23.7%,-0.6,-0.5%,-4.6,60%,0%,63%,wiggity01
Kolten Wong,22,62,.192,-11,.191,.017,0.0%,19.4%,4.8%,19.1%,59.6%,12.8%,1.56,19.1%,57.4%,23.4%,-0.6,-0.5%,-8.6,46%,100%,75%,wongko01
League Average,,,.319,93,.297,.138,2.4%,20.1%,7.7%,23.5%,45.1%,22.3%,0.86,26.5%,55.5%,18.0%,,,,28%,72%,40%,-9999
Team Total,,6202,.330,101,.314,.133,2.0%,17.9%,7.8%,25.9%,45.2%,20.8%,0.86,25.4%,56.6%,18.0%,8.6,6.8%,137.0,34%,67%,43%,-9999
