--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Matt Adams,29,60,.240,36,.167,.175,5.0%,30.0%,5.0%,90.0,42.9%,23.1%,41.0%,25.6%,0.70,38.5%,33.3%,28.2%,0.1,0.0%,-2.7,22%,,33%,adamsma01
Harrison Bader,24,427,.338,105,.358,.158,2.8%,29.3%,7.3%,87.4,34.6%,26.2%,41.2%,21.9%,0.73,29.2%,50.8%,20.0%,1.0,1.0%,7.8,36%,83%,59%,baderha01
Steven Baron,27,5,.180,-7,.333,.000,0.0%,40.0%,0.0%,75.5,0.0%,33.3%,0.0%,33.3%,0.00,33.3%,33.3%,33.3%,-0.1,-0.1%,-0.8,0%,,,baronst01
Matt Bowman,27,1,.000,-138,.000,.000,0.0%,0.0%,0.0%,92.3,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,bowmama01
John Brebbia,28,2,.000,-138,.000,.000,0.0%,50.0%,0.0%,73.0,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,,brebbjo01
Matt Carpenter,32,677,.379,140,.291,.266,5.3%,23.3%,15.1%,90.5,47.7%,28.5%,26.1%,37.8%,0.36,40.2%,44.4%,15.4%,3.5,1.7%,38.3,35%,80%,37%,carpema01
Paul DeJong,24,490,.331,104,.288,.193,3.9%,25.1%,7.4%,90.1,44.6%,28.3%,32.1%,28.6%,0.47,28.6%,50.3%,21.1%,0.9,0.6%,8.8,37%,50%,45%,dejonpa01
Jack Flaherty,22,52,.158,-33,.269,.000,0.0%,38.5%,3.9%,85.3,27.3%,20.0%,60.0%,3.3%,2.57,20.0%,43.3%,36.7%,-0.9,-0.7%,-10.0,17%,,33%,flaheja01
Dexter Fowler,32,334,.271,59,.210,.118,2.4%,22.5%,11.4%,85.4,29.2%,23.4%,42.7%,28.0%,0.74,35.3%,45.9%,18.8%,0.3,0.2%,-6.1,38%,71%,44%,fowlede01
John Gant,25,34,.132,-55,.000,.194,5.9%,41.2%,0.0%,75.5,35.7%,5.0%,55.0%,15.0%,2.20,10.0%,65.0%,25.0%,-0.5,-0.3%,-5.4,0%,,0%,gantjo01
Adolis García,25,17,.127,-46,.200,.059,0.0%,41.2%,0.0%,85.2,14.3%,10.0%,50.0%,30.0%,1.00,40.0%,50.0%,10.0%,-0.1,-0.1%,-1.8,38%,,0%,garciad02
Greg Garcia,28,208,.282,66,.259,.083,1.4%,17.8%,9.6%,82.8,27.2%,21.1%,44.2%,22.4%,0.88,23.8%,57.8%,18.4%,-0.9,-0.6%,-9.1,19%,75%,50%,garcigr01
Austin Gomber,24,21,.198,-4,.250,.053,0.0%,14.3%,0.0%,86.3,30.8%,16.7%,61.1%,0.0%,3.67,16.7%,83.3%,0.0%,0.0,0.0%,-1.2,25%,,0%,gombeau01
Jedd Gyorko,29,402,.335,106,.303,.154,2.7%,19.2%,11.0%,87.4,33.1%,24.5%,39.9%,29.5%,0.66,29.1%,54.3%,16.5%,0.4,0.1%,7.7,30%,100%,22%,gyorkje01
Jordan Hicks,21,1,.000,-138,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.8,,,,hicksjo03
Dakota Hudson,23,1,.000,-138,.000,.000,0.0%,0.0%,0.0%,79.4,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,hudsoda02
Carson Kelly,23,42,.162,-29,.143,.000,0.0%,16.7%,7.1%,85.1,28.6%,12.9%,51.6%,16.1%,1.33,6.5%,77.4%,16.1%,-0.3,-0.2%,-3.8,13%,,0%,kellyca02
Carlos Martinez,26,36,.261,49,.318,.152,2.8%,30.6%,0.0%,85.1,39.1%,24.0%,56.0%,8.0%,1.56,12.0%,72.0%,16.0%,0.0,0.0%,-1.8,0%,,0%,martica04
Jose Martinez,29,590,.365,131,.351,.152,2.9%,17.6%,8.3%,91.2,47.7%,30.8%,46.4%,19.3%,0.87,17.2%,55.4%,27.4%,3.0,2.0%,29.0,24%,0%,32%,martijo08
Mike Mayers,26,2,.346,115,,.000,0.0%,50.0%,50.0%,,,,,,,,,,0.0,0.0%,-0.2,0%,,,mayermi01
Miles Mikolas,29,71,.182,-13,.241,.111,2.8%,46.5%,2.8%,79.3,20.7%,11.1%,41.7%,19.4%,1.15,19.4%,55.6%,25.0%,-0.5,-0.3%,-7.4,22%,,33%,mikolmi01
Yadier Molina,35,503,.333,106,.264,.174,4.0%,13.1%,5.8%,88.4,36.1%,27.1%,40.1%,25.8%,0.67,32.1%,51.1%,16.8%,-0.2,-0.6%,9.6,25%,57%,32%,molinya01
Yairo Munoz,23,329,.330,107,.338,.137,2.4%,21.6%,9.1%,87.7,32.7%,26.3%,54.0%,17.0%,1.19,25.0%,54.0%,21.0%,1.7,1.0%,18.8,28%,45%,46%,munozya01
