--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Travis Snider,26,359,.354,125,.298,.174,3.6%,18.7%,9.5%,26.2%,49.2%,16.8%,0.99,25.4%,60.5%,14.1%,-0.1,0.3%,9.5,22%,50%,37%,snidetr01
Chris Stewart,32,154,.315,97,.364,.037,0.0%,17.5%,7.8%,30.4%,37.5%,17.9%,0.65,25.0%,55.4%,19.6%,0.0,0.2%,-0.7,16%,0%,27%,stewach01
Jose Tabata,25,186,.287,76,.327,.052,0.0%,14.0%,3.8%,27.2%,55.6%,13.9%,1.33,21.9%,53.6%,24.5%,-0.6,-0.6%,-3.9,23%,33%,61%,tabatjo01
Edinson Volquez,30,64,.069,-116,.077,.000,0.0%,42.2%,4.7%,8.8%,50.0%,8.8%,2.13,17.6%,61.8%,20.6%,-1.3,-1.1%,-13.2,60%,,0%,volqued01
Neil Walker,28,571,.360,129,.288,.195,4.0%,15.4%,7.9%,25.8%,39.3%,26.9%,0.66,27.4%,58.3%,14.3%,3.3,1.9%,22.4,30%,50%,46%,walkene01
Tony Watson,29,3,.303,86,1.000,.000,0.0%,66.7%,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2,0%,,,watsoto01
Justin Wilson,26,1,.000,-141,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,wilsoju10
Vance Worley,26,38,.087,-102,.133,.031,0.0%,44.7%,2.6%,20.0%,35.0%,5.0%,1.00,10.0%,80.0%,10.0%,-0.6,-0.5%,-7.0,33%,,,worleva01
League Average,,,.315,92,.299,.132,2.2%,20.9%,7.5%,25.4%,45.1%,20.7%,0.86,26.4%,55.9%,17.7%,,,,29%,71%,40%,-9999
Team Total,,6224,.333,107,.307,.145,2.5%,20.0%,8.4%,25.4%,43.9%,21.7%,0.82,26.9%,57.1%,16.0%,4.8,2.3%,44.1,28%,69%,40%,-9999
