--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Johnny Barbato,24,1,.000,-139,.000,.000,0.0%,0.0%,0.0%,94.9,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,barbajo01
Antonio Bastardo,31,1,.698,363,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.2,0%,,,bastaan01
Josh Bell,24,620,.347,113,.278,.211,4.2%,18.9%,10.7%,88.0,37.7%,22.5%,52.3%,19.3%,1.10,31.4%,48.2%,20.4%,0.8,0.5%,15.5,27%,33%,25%,belljo02
John Bormann,24,1,.000,-139,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,bormajo01
Christopher Bostick,24,32,.330,110,.444,.074,0.0%,28.1%,12.5%,86.5,23.5%,33.3%,50.0%,16.7%,1.00,11.1%,72.2%,16.7%,0.2,0.0%,0.9,40%,0%,33%,bostich01
Steven Brault,25,13,.233,28,.231,.077,0.0%,0.0%,0.0%,85.6,16.7%,15.4%,69.2%,15.4%,2.25,23.1%,38.5%,38.5%,-0.1,0.0%,-0.2,67%,,,braulst01
Francisco Cervelli,31,304,.325,97,.311,.121,1.6%,21.4%,10.5%,87.5,35.2%,27.4%,50.7%,18.9%,1.05,28.9%,50.7%,20.4%,-0.6,-0.3%,-4.0,26%,0%,43%,cervefr01
Gerrit Cole,26,68,.180,-33,.242,.073,1.5%,30.9%,1.5%,78.6,17.2%,10.9%,43.5%,8.7%,1.82,10.9%,52.2%,37.0%,-0.8,-0.4%,-9.1,22%,,0%,colege01
Elias Diaz,26,200,.255,44,.273,.090,0.5%,19.0%,5.5%,86.8,39.9%,27.8%,53.0%,14.6%,1.13,19.2%,60.3%,20.5%,-1.3,-0.1%,-14.5,33%,100%,50%,diazel01
Adam Frazier,25,454,.333,101,.306,.123,1.3%,12.6%,7.9%,85.7,26.0%,30.3%,47.9%,17.3%,0.93,23.8%,52.4%,23.8%,2.4,0.9%,12.7,33%,64%,47%,fraziad01
David Freese,34,503,.333,102,.336,.108,2.0%,23.1%,11.5%,89.3,45.9%,22.9%,58.0%,16.9%,1.38,14.6%,61.5%,23.9%,-0.2,-0.1%,7.0,19%,0%,25%,freesda01
Tyler Glasnow,23,23,.355,117,.500,.000,0.0%,30.4%,17.4%,73.8,11.1%,0.0%,72.7%,9.1%,8.00,18.2%,81.8%,0.0%,0.0,0.0%,0.5,8%,,0%,glasnty01
