--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Pedro Alvarez,24,262,.261,53,.272,.098,1.5%,30.5%,9.2%,16.0%,56.4%,21.8%,1.33,36.5%,55.8%,7.7%,-1.8,-1.0%,-15.7,21%,100%,20%,alvarpe01
Joe Beimel,34,1,.000,-139,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,beimejo01
John Bowker,27,19,.284,92,.308,.059,0.0%,21.1%,10.5%,23.1%,30.8%,30.8%,0.44,7.7%,92.3%,0.0%,0.2,0.1%,-0.2,0%,0%,,bowkejo01
Dusty Brown,29,30,.123,-59,.167,.000,0.0%,33.3%,3.3%,15.8%,63.2%,10.5%,2.40,21.1%,47.4%,31.6%,-0.6,-0.3%,-4.4,50%,100%,67%,browndu01
Brian Burres,30,3,.000,-139,.000,.000,0.0%,33.3%,0.0%,0.0%,50.0%,50.0%,1.00,0.0%,100.0%,0.0%,-0.1,0.0%,-0.8,,,,burrebr01
Ronny Cedeno,28,454,.280,71,.313,.090,0.4%,20.5%,6.6%,20.2%,42.3%,26.0%,0.79,19.4%,59.4%,21.2%,-2.1,-0.9%,-19.9,31%,29%,47%,cedenro02
Pedro Ciriaco,25,34,.349,119,.370,.121,0.0%,17.7%,2.9%,25.9%,55.6%,3.7%,1.50,29.6%,51.9%,18.5%,0.0,0.0%,2.2,27%,67%,67%,ciriape01
Kevin Correia,30,55,.127,-70,.148,.043,0.0%,34.6%,1.8%,8.6%,34.3%,22.9%,0.80,37.1%,42.9%,20.0%,-0.4,-0.1%,-6.0,0%,,,correke01
Chase d'Arnaud,24,151,.257,41,.287,.070,0.0%,23.8%,2.7%,20.9%,42.7%,28.2%,0.78,31.8%,56.4%,11.8%,-0.9,-0.5%,-13.5,41%,86%,57%,darnach01
