--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Pedro Alvarez,25,586,.343,114,.308,.223,5.1%,30.7%,9.7%,16.4%,47.7%,31.9%,0.92,27.3%,57.2%,15.5%,0.0,0.7%,12.7,22%,100%,41%,alvarpe01
Rod Barajas,36,361,.290,75,.224,.137,3.1%,19.1%,8.0%,14.1%,24.2%,46.5%,0.32,29.9%,52.4%,17.7%,0.0,-0.7%,-7.7,20%,,17%,barajro01
Clint Barmes,33,493,.267,59,.280,.092,1.6%,21.5%,4.1%,17.8%,35.4%,27.3%,0.58,28.1%,53.5%,18.4%,-0.6,-0.6%,-19.2,21%,0%,35%,barmecl01
Erik Bedard,33,44,.146,-51,.174,.027,0.0%,31.8%,2.3%,17.2%,41.4%,13.8%,1.09,0.0%,55.2%,44.8%,-0.7,-0.5%,-6.9,40%,,33%,bedarer01
A.J. Burnett,35,71,.114,-66,.148,.000,0.0%,50.7%,4.2%,12.5%,59.4%,0.0%,3.80,16.1%,51.6%,32.3%,-1.0,-0.6%,-11.5,14%,,0%,burnea.01
Jeff Clement,28,24,.223,26,.200,.045,0.0%,29.2%,8.3%,6.7%,46.7%,40.0%,0.88,33.3%,40.0%,26.7%,-0.3,-0.2%,-3.2,20%,,0%,clemeje01
Kevin Correia,31,55,.103,-81,.192,.000,0.0%,38.2%,0.0%,5.9%,38.2%,20.6%,1.08,20.6%,58.8%,20.6%,-1.1,-0.5%,-12.1,20%,0%,100%,correke01
Chase d'Arnaud,25,6,.042,-138,.000,.000,0.0%,33.3%,0.0%,25.0%,25.0%,50.0%,0.33,0.0%,100.0%,0.0%,-0.2,-0.1%,-1.5,33%,100%,,darnach01
Eric Fryer,26,5,.319,97,.333,.000,0.0%,20.0%,20.0%,33.3%,0.0%,33.3%,0.00,0.0%,100.0%,0.0%,0.0,-0.1%,0.0,0%,,0%,fryerer01
Matt Hague,26,74,.243,39,.286,.029,0.0%,18.9%,4.1%,17.9%,51.8%,25.0%,1.07,17.9%,60.7%,21.4%,0.4,0.1%,-2.0,25%,100%,50%,haguema01
Josh Harrison,24,276,.291,75,.259,.112,1.1%,13.4%,3.6%,18.0%,36.0%,34.2%,0.62,29.3%,53.6%,17.1%,-1.1,-0.8%,-11.6,40%,70%,60%,harrijo05
Gorkys Hernandez,24,26,.174,-24,.105,.000,0.0%,19.2%,3.9%,10.5%,63.2%,26.3%,1.71,15.8%,68.4%,15.8%,-0.4,-0.4%,-2.9,29%,100%,0%,hernago01
Brock Holt,24,72,.312,91,.365,.062,0.0%,19.4%,5.6%,16.7%,61.1%,14.8%,1.74,25.9%,51.9%,22.2%,0.1,0.2%,-0.7,26%,,60%,holtbr01
Jared Hughes,26,1,.000,-138,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,hugheja02
Garrett Jones,31,515,.363,128,.293,.242,5.2%,20.0%,6.4%,16.4%,40.1%,37.7%,0.67,34.8%,50.1%,15.0%,3.7,3.4%,33.9,30%,100%,28%,jonesga02
Jeff Karstens,29,29,.129,-48,.231,.000,0.0%,51.7%,0.0%,7.1%,85.7%,0.0%,12.00,14.3%,57.1%,28.6%,-0.2,-0.1%,-2.5,100%,,50%,karstje01
Chris Leroux,28,1,.000,-138,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,lerouch01
Brad Lincoln,27,10,.181,-5,.500,.000,0.0%,60.0%,0.0%,25.0%,75.0%,0.0%,3.00,0.0%,50.0%,50.0%,-0.1,0.0%,0.5,100%,,100%,lincobr01
Jeff Locke,24,11,.082,-78,.250,.000,0.0%,63.6%,0.0%,0.0%,100.0%,0.0%,,0.0%,75.0%,25.0%,-0.2,0.0%,-2.6,0%,,0%,lockeje01
Starling Marte,23,182,.338,109,.333,.180,2.8%,27.5%,4.4%,17.4%,53.7%,18.2%,1.33,26.4%,59.5%,14.0%,-0.1,0.0%,-2.1,27%,71%,42%,martest01
Andrew McCutchen,25,673,.407,164,.375,.226,4.6%,19.6%,10.4%,20.6%,44.0%,29.2%,0.79,27.7%,59.9%,12.4%,4.6,3.0%,48.0,32%,63%,62%,mccutan01
James McDonald,27,63,.222,18,.269,.000,0.0%,36.5%,12.7%,18.8%,37.5%,15.6%,1.09,18.8%,53.1%,28.1%,-0.4,-0.2%,-5.4,50%,,25%,mcdonja03
Casey McGehee,29,293,.313,93,.266,.147,2.7%,20.5%,8.2%,15.5%,51.2%,27.5%,1.05,23.7%,55.6%,20.8%,0.0,0.0%,-0.7,24%,50%,44%,mcgehca01
Michael McKenry,27,275,.344,115,.278,.208,4.4%,26.6%,10.6%,13.5%,35.9%,38.2%,0.56,30.6%,54.7%,14.7%,-0.2,0.3%,5.5,17%,,56%,mckenmi01
Nate McLouth,30,62,.182,-4,.205,.035,0.0%,29.0%,8.1%,23.1%,41.0%,20.5%,0.70,25.6%,56.4%,17.9%,-0.9,-0.5%,-7.1,29%,,67%,mclouna01
Kyle McPherson,24,6,.116,-53,.000,.000,0.0%,50.0%,16.7%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.1,0%,,,mcpheky01
Jordy Mercer,25,68,.267,64,.250,.161,1.5%,20.6%,5.9%,18.4%,46.9%,28.6%,0.88,34.7%,51.0%,14.3%,0.1,0.2%,-1.1,26%,0%,0%,mercejo03
Charlie Morton,28,15,.000,-175,.000,.000,0.0%,53.3%,0.0%,0.0%,14.3%,28.6%,0.25,0.0%,57.1%,42.9%,-0.3,-0.2%,-3.1,,,,mortoch02
Yamaico Navarro,24,56,.205,26,.189,.060,1.8%,23.2%,8.9%,0.0%,42.1%,39.5%,0.76,21.1%,63.2%,15.8%,-0.4,-0.2%,-5.6,25%,0%,25%,navarya01
Alex Presley,26,370,.303,87,.273,.168,2.7%,19.5%,4.9%,14.0%,56.8%,20.9%,1.48,28.1%,54.7%,17.3%,-0.6,-0.4%,-10.5,39%,56%,50%,preslal01
Chris Resop,29,5,.174,-38,.000,.000,0.0%,40.0%,20.0%,0.0%,50.0%,0.0%,,0.0%,50.0%,50.0%,-0.1,-0.1%,-0.3,0%,,0%,resopch01
Wandy Rodriguez,33,27,.184,-16,.211,.000,0.0%,18.5%,0.0%,9.1%,68.2%,0.0%,5.00,18.2%,45.5%,36.4%,-0.2,-0.1%,-3.6,25%,,0%,rodriwa01
Gaby Sanchez,28,130,.318,96,.261,.155,3.1%,15.4%,10.0%,22.9%,42.7%,24.0%,0.75,26.3%,50.5%,23.2%,-0.9,-0.6%,-0.7,37%,,42%,sanchga01
Travis Snider,24,145,.297,78,.326,.078,0.7%,23.5%,9.7%,16.7%,59.4%,16.7%,1.50,32.3%,56.3%,11.5%,-0.7,-0.2%,0.1,35%,100%,35%,snidetr01
Drew Sutton,29,79,.300,88,.354,.176,1.3%,32.9%,5.1%,16.3%,36.7%,40.8%,0.60,14.3%,61.2%,24.5%,0.9,0.8%,3.0,43%,0%,29%,suttodr01
Jose Tabata,23,374,.295,87,.287,.105,0.8%,15.5%,7.8%,16.0%,59.1%,17.8%,1.60,21.7%,56.2%,22.1%,-2.6,-2.0%,-12.8,35%,40%,37%,tabatjo01
Neil Walker,26,530,.344,116,.326,.146,2.6%,19.6%,8.9%,21.0%,42.2%,30.8%,0.75,28.5%,56.1%,15.4%,1.0,0.9%,15.5,29%,58%,44%,walkene01
Tony Watson,27,1,.000,-138,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,watsoto01
League Average,,,.323,93,.299,.146,2.5%,20.1%,7.9%,19.1%,44.8%,26.6%,0.86,26.9%,55.4%,17.7%,,,,29%,73%,41%,-9999
Team Total,,6014,.313,93,.291,.152,2.8%,22.5%,7.4%,16.9%,44.5%,28.8%,0.84,27.2%,55.4%,17.4%,-2.5,0.7%,-19.8,29%,58%,42%,-9999
