--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
R.J. Alaniz,28,1,.887,491,1.000,.000,0.0%,0.0%,0.0%,83.7,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.1,0.0%,0.9,0%,,,alanirj01
Aristides Aquino,25,225,.368,113,.266,.317,8.4%,26.7%,7.1%,88.7,45.1%,19.7%,34.7%,31.3%,0.53,35.4%,47.6%,17.0%,0.0,0.3%,7.4,23%,100%,42%,aquinar01
Tucker Barnhart,28,364,.309,75,.278,.149,3.0%,22.8%,12.1%,86.9,31.7%,25.1%,46.0%,21.7%,0.86,33.0%,47.2%,19.7%,-1.3,-0.3%,-1.7,19%,100%,19%,barnhtu01
Trevor Bauer,28,16,.198,-4,.400,.000,0.0%,56.3%,12.5%,86.6,0.0%,20.0%,80.0%,0.0%,4.00,20.0%,40.0%,40.0%,-0.2,0.0%,-2.3,25%,,100%,bauertr01
Alex Blandino,26,50,.355,109,.348,.111,2.0%,28.0%,20.0%,90.4,34.8%,33.3%,41.7%,20.8%,0.71,20.8%,58.3%,20.8%,0.1,0.0%,-0.3,24%,,50%,blandal01
Matt Bowman,28,1,.000,-146,.000,.000,0.0%,0.0%,0.0%,102.1,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,,bowmama01
Curt Casali,30,236,.325,87,.308,.159,3.4%,25.0%,10.6%,87.7,33.8%,32.5%,29.1%,31.8%,0.41,31.8%,48.3%,19.9%,-0.5,-0.1%,2.9,23%,,29%,casalcu01
Luis Castillo,26,66,.090,-93,.200,.016,0.0%,48.5%,0.0%,79.1,9.5%,17.6%,29.4%,17.6%,0.67,11.8%,61.8%,26.5%,-1.4,-0.4%,-17.8,50%,,25%,castilu02
Christian Colon,30,8,.502,214,.500,.000,0.0%,0.0%,0.0%,81.3,0.0%,0.0%,83.3%,16.7%,5.00,16.7%,66.7%,16.7%,0.4,0.0%,0.5,20%,,0%,colonch01
