--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Emilio Bonifacio,27,274,.318,72,.325,.057,0.4%,19.0%,9.1%,13.3%,52.6%,17.9%,1.39,19.4%,59.7%,20.9%,-0.2,0.1%,-2.5,33%,91%,57%,bonifem01
Rob Brantly,22,113,.358,120,.321,.170,2.7%,14.2%,11.5%,25.0%,44.0%,19.0%,0.80,25.0%,48.8%,26.2%,-0.3,0.0%,-0.8,28%,50%,50%,brantro01
John Buck,31,398,.292,69,.235,.155,3.0%,25.9%,12.3%,13.6%,42.8%,35.0%,0.76,20.6%,56.4%,23.0%,-1.9,-0.8%,-11.2,16%,,19%,buckjo01
Mark Buehrle,33,71,.046,-124,.079,.015,0.0%,40.9%,0.0%,11.9%,47.6%,19.0%,1.43,28.6%,59.5%,11.9%,-1.5,-0.6%,-17.9,67%,,33%,buehrma01
Steve Cishek,26,1,.000,-145,.000,.000,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.4,,,,cishest01
Chris Coghlan,27,105,.177,-10,.146,.043,1.0%,11.4%,8.6%,9.5%,63.1%,22.6%,1.83,15.5%,66.7%,17.9%,-0.6,-0.3%,-8.8,39%,0%,20%,coghlch01
Scott Cousins,27,92,.192,-7,.213,.105,1.1%,26.1%,4.4%,18.8%,48.4%,21.9%,1.07,32.8%,46.9%,20.3%,-0.7,-0.1%,-10.0,32%,50%,50%,cousisc01
Greg Dobbs,33,342,.308,81,.321,.100,1.5%,15.5%,4.1%,24.2%,44.3%,27.5%,0.80,24.9%,52.4%,22.7%,-0.9,0.0%,-4.0,21%,67%,32%,dobbsgr01
Mike Dunn,27,1,.000,-145,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.2,,,,dunnmi01
Nathan Eovaldi,22,22,.130,-64,.375,.000,0.0%,54.6%,0.0%,0.0%,60.0%,10.0%,3.00,0.0%,60.0%,40.0%,-0.4,0.0%,-4.8,67%,,0%,eovalna01
Chad Gaudin,29,8,.000,-145,.000,.000,0.0%,50.0%,0.0%,0.0%,75.0%,0.0%,3.00,25.0%,25.0%,50.0%,-0.2,-0.1%,-2.1,,,,gaudich01
Nick Green,33,24,.225,20,.235,.130,0.0%,25.0%,0.0%,5.9%,35.3%,41.2%,0.55,23.5%,58.8%,17.6%,0.0,0.0%,-1.6,20%,,,greenni01
Adam Greenberg,31,1,.000,-145,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,greenad01
Brad Hand,22,1,.000,-145,.000,.000,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,,,,handbr01
Chris Hatcher,27,1,.000,-145,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,hatchch02
Brett Hayes,28,118,.205,1,.354,.053,0.0%,41.5%,3.4%,20.0%,36.9%,29.2%,0.60,46.2%,43.1%,10.8%,-1.5,-0.6%,-14.6,23%,100%,13%,hayesbr01
Gorkys Hernandez,24,147,.279,59,.272,.129,2.0%,25.2%,8.2%,15.6%,54.2%,20.8%,1.41,20.8%,61.5%,17.7%,-0.3,0.0%,-2.2,33%,71%,40%,hernago01
Omar Infante,30,347,.336,97,.307,.155,2.3%,12.1%,3.5%,17.8%,39.0%,33.2%,0.67,32.9%,57.5%,9.6%,-0.4,-0.3%,-4.4,34%,91%,60%,infanom01
Dan Jennings,25,1,.000,-145,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,jennida01
Josh Johnson,28,60,.140,-55,.263,.000,0.0%,56.7%,3.3%,12.5%,41.7%,16.7%,1.43,16.7%,58.3%,25.0%,-0.5,0.0%,-6.5,29%,,25%,johnsjo09
Austin Kearns,32,175,.334,100,.323,.122,2.3%,25.1%,12.6%,26.2%,55.3%,16.5%,1.24,34.0%,54.4%,11.7%,0.0,0.2%,-0.9,28%,67%,39%,kearnau01
Tom Koehler,26,1,.000,-145,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,koehlto01
Wade LeBlanc,27,16,.222,-1,.091,.083,0.0%,6.3%,0.0%,7.1%,50.0%,7.1%,3.50,14.3%,57.1%,28.6%,-0.2,0.0%,-1.8,0%,,,leblawa01
Carlos Lee,36,338,.309,80,.256,.082,1.2%,9.5%,11.5%,19.2%,42.5%,28.2%,0.74,25.9%,56.4%,17.7%,-0.1,0.1%,1.7,23%,100%,39%,leeca01
Kevin Mattison,26,5,.000,-145,.000,.000,0.0%,40.0%,0.0%,0.0%,33.3%,33.3%,0.50,33.3%,66.7%,0.0%,0.0,0.0%,-1.0,,,,mattike01
Logan Morrison,24,334,.312,84,.248,.169,3.3%,17.4%,9.3%,17.4%,41.1%,34.4%,0.71,31.1%,52.7%,16.2%,0.1,-0.1%,-7.5,21%,100%,20%,morrilo01
Donnie Murphy,29,129,.291,70,.278,.164,2.3%,27.1%,7.0%,18.1%,39.8%,33.7%,0.67,32.5%,48.2%,19.3%,-0.4,-0.2%,-2.8,26%,50%,22%,murphdo01
Ricky Nolasco,29,70,.215,-2,.310,.054,0.0%,38.6%,5.7%,10.3%,20.5%,33.3%,0.44,10.3%,56.4%,33.3%,-0.3,-0.1%,-3.6,31%,,0%,nolasri01
Bryan Petersen,26,273,.255,38,.255,.062,0.0%,21.3%,9.2%,22.8%,46.6%,20.1%,0.92,28.6%,56.6%,14.8%,-1.0,0.1%,-9.0,38%,80%,53%,peterbr01
Hanley Ramirez,28,395,.339,101,.271,.181,3.5%,18.2%,9.4%,18.4%,42.0%,30.0%,0.73,27.9%,57.2%,14.8%,0.0,-0.1%,-3.2,31%,78%,82%,ramirha01
Jose Reyes,29,716,.358,114,.298,.146,1.5%,7.8%,8.8%,21.3%,44.2%,24.0%,0.85,26.5%,56.1%,17.4%,3.4,0.4%,18.5,32%,78%,50%,reyesjo01
Justin Ruggiano,30,320,.396,147,.401,.222,4.1%,26.3%,9.1%,20.9%,41.7%,30.1%,0.73,27.2%,56.8%,16.0%,0.2,0.2%,11.2,23%,64%,32%,ruggiju01
Anibal Sanchez,28,35,.132,-67,.250,.067,0.0%,51.4%,2.9%,6.3%,31.3%,18.8%,1.25,25.0%,56.3%,18.8%,-0.5,-0.3%,-5.2,25%,,0%,sanchan01
Gaby Sanchez,28,196,.256,41,.234,.104,1.5%,18.4%,6.1%,14.9%,39.2%,29.1%,0.64,30.4%,52.0%,17.6%,-1.3,-0.7%,-13.1,19%,100%,20%,sanchga01
Donovan Solano,24,316,.328,92,.357,.081,0.6%,18.4%,6.7%,26.0%,44.7%,23.4%,0.84,21.7%,58.7%,19.6%,-0.2,0.0%,1.0,26%,100%,44%,solando01
Giancarlo Stanton,22,501,.413,159,.344,.318,7.4%,28.5%,9.2%,21.8%,36.2%,33.6%,0.57,35.8%,50.2%,14.0%,3.4,1.5%,37.4,26%,75%,38%,stantmi03
Jacob Turner,21,16,.000,-181,.000,.000,0.0%,50.0%,0.0%,0.0%,50.0%,12.5%,4.00,0.0%,62.5%,37.5%,-0.3,0.0%,-4.2,,,,turneja01
Gil Velazquez,32,57,.224,20,.289,.018,0.0%,19.3%,1.8%,22.2%,46.7%,26.7%,0.88,13.3%,77.8%,8.9%,-0.5,0.0%,-3.8,14%,,0%,velazgi01
Ryan Webb,26,1,.000,-145,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.8,,,,webbry01
Carlos Zambrano,31,36,.190,-12,.200,.088,2.8%,22.2%,0.0%,0.0%,57.1%,28.6%,2.00,10.7%,67.9%,21.4%,-0.4,-0.2%,-3.5,40%,,0%,zambrca01
League Average,,,.323,93,.299,.146,2.5%,20.1%,7.9%,19.1%,44.8%,26.6%,0.86,26.9%,55.4%,17.7%,,,,29%,73%,41%,-9999
Team Total,,6057,.311,81,.289,.138,2.3%,20.3%,8.0%,19.1%,43.7%,27.2%,0.82,26.9%,55.7%,17.4%,-7.8,-2.1%,-84.6,27%,78%,40%,-9999
