--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Brian Anderson,24,95,.321,100,.386,.107,0.0%,29.5%,10.5%,87.8,39.3%,29.8%,50.9%,12.3%,1.04,26.3%,59.6%,14.0%,-0.6,0.0%,-0.8,34%,,44%,anderbr06
Mike Aviles,36,97,.268,60,.271,.058,1.0%,15.5%,6.2%,81.6,17.2%,20.3%,47.3%,17.6%,0.97,17.6%,51.4%,31.1%,-0.6,-0.1%,-5.2,15%,,14%,avilemi01
Kyle Barraclough,27,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,barraky01
Justin Bour,29,429,.382,145,.322,.247,5.8%,22.1%,11.0%,89.9,46.2%,29.0%,44.4%,18.2%,0.80,33.9%,54.5%,11.5%,2.6,0.5%,26.4,20%,100%,23%,bourju01
Wei-Yin Chen,31,8,.100,-59,.200,.000,0.0%,37.5%,0.0%,68.5,0.0%,40.0%,40.0%,0.0%,0.67,40.0%,40.0%,20.0%,-0.1,-0.1%,-1.3,0%,,,chenwe02
Christian Colon,28,38,.212,17,.192,.030,0.0%,18.4%,10.5%,81.1,28.6%,14.8%,63.0%,11.1%,1.89,11.1%,63.0%,25.9%,-0.4,-0.1%,-3.6,30%,,67%,colonch01
Adam Conley,27,32,.157,-45,.300,.000,0.0%,43.8%,6.3%,78.2,10.0%,12.5%,43.8%,6.3%,2.33,25.0%,43.8%,31.3%,-0.5,-0.1%,-6.0,60%,,0%,conlead01
Odrisamer Despaigne,30,20,.094,-72,.143,.000,0.0%,25.0%,0.0%,75.5,11.1%,0.0%,80.0%,0.0%,,6.7%,80.0%,13.3%,-0.3,0.0%,-4.4,0%,,,despaod01
Derek Dietrich,27,464,.329,107,.294,.175,2.8%,21.1%,7.8%,86.3,37.8%,26.9%,36.5%,27.9%,0.58,34.0%,53.8%,12.2%,-0.2,-0.1%,1.1,30%,0%,43%,dietrde01
Brian Ellington,26,1,.000,-131,.000,.000,0.0%,0.0%,0.0%,100.2,100.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.1,,,,ellinbr02
A.J. Ellis,36,163,.299,84,.222,.161,3.7%,17.8%,7.4%,86.5,37.1%,18.1%,47.4%,23.3%,0.98,23.3%,52.6%,24.1%,-1.1,-0.3%,-8.1,26%,,13%,ellisaj01
Javy Guerra,31,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,guerrja01
Adeiny Hechavarria,28,67,.298,83,.309,.108,1.5%,13.4%,1.5%,88.2,37.5%,35.1%,43.9%,10.5%,0.81,19.3%,50.9%,29.8%,0.1,0.0%,1.1,39%,,43%,hechaad01
Tom Koehler,31,21,.043,-100,.167,.000,0.0%,71.4%,0.0%,73.4,0.0%,16.7%,83.3%,0.0%,5.00,16.7%,83.3%,0.0%,-0.5,-0.2%,-5.0,0%,,,koehlto01
Jeff Locke,29,11,.063,-85,.000,.000,0.0%,81.8%,9.1%,80.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.2,-0.1%,-1.8,0%,,,lockeje01
Steve Lombardozzi,28,8,.000,-131,.000,.000,0.0%,25.0%,0.0%,85.7,20.0%,16.7%,83.3%,0.0%,5.00,33.3%,66.7%,0.0%,-0.3,-0.1%,-2.2,,,,lombast02
Dustin McGowan,35,7,.000,-169,,.000,0.0%,85.7%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.6,,,,mcgowdu01
Tyler Moore,30,203,.292,79,.287,.171,3.0%,27.6%,4.9%,88.6,37.2%,22.1%,36.0%,30.9%,0.57,30.9%,49.3%,19.9%,-0.7,0.0%,-4.4,22%,,31%,moorety01
Justin Nicolino,25,13,.000,-173,.000,.000,0.0%,15.4%,0.0%,81.4,12.5%,0.0%,54.5%,18.2%,3.00,18.2%,54.5%,27.3%,-0.3,0.0%,-2.9,,,,nicolju01
Chris O'Grady,27,9,.000,-160,.000,.000,0.0%,55.6%,0.0%,59.6,0.0%,0.0%,75.0%,0.0%,,0.0%,50.0%,50.0%,-0.2,0.0%,-2.3,,,,ogradch01
Marcell Ozuna,26,679,.389,151,.355,.237,5.5%,21.2%,9.4%,91.3,49.7%,25.3%,46.9%,21.2%,0.89,26.3%,54.8%,18.9%,2.9,0.8%,47.1,26%,25%,31%,ozunama01
Dillon Peters,24,11,.100,-94,.000,.000,0.0%,72.7%,0.0%,66.8,0.0%,0.0%,33.3%,0.0%,,0.0%,66.7%,33.3%,-0.1,0.0%,-1.6,,,,peterdi01
David Phelps,30,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,phelpda01
Martin Prado,33,147,.276,68,.282,.107,1.4%,15.0%,4.1%,87.2,37.4%,22.7%,50.4%,20.2%,1.02,23.5%,56.3%,20.2%,-0.9,-0.2%,-8.6,28%,,50%,pradoma01
J.T. Realmuto,26,579,.343,115,.318,.173,2.9%,18.3%,6.2%,88.7,38.8%,24.5%,48.5%,21.7%,0.94,32.2%,54.8%,13.1%,0.2,0.0%,5.4,29%,80%,43%,realmjt01
JT Riddle,25,247,.273,68,.300,.105,1.2%,20.2%,4.9%,85.5,32.5%,24.3%,50.8%,18.9%,1.11,33.5%,45.4%,21.1%,-0.3,-0.1%,-4.2,25%,0%,32%,riddljt01
Miguel Rojas,28,306,.331,107,.324,.085,0.3%,10.5%,8.8%,83.4,24.3%,27.6%,48.1%,14.0%,0.98,19.3%,56.4%,24.3%,0.1,-0.1%,3.3,33%,67%,53%,rojasmi02
Giancarlo Stanton,27,692,.417,171,.288,.350,8.5%,23.6%,12.3%,93.2,51.8%,22.2%,44.6%,22.4%,0.81,27.9%,56.3%,15.8%,4.8,1.0%,52.3,32%,50%,28%,stantmi03
Dan Straily,28,64,.081,-97,.182,.018,0.0%,51.6%,1.6%,77.8,5.6%,6.7%,56.7%,6.7%,4.25,3.3%,53.3%,43.3%,-0.9,-0.2%,-13.6,40%,,33%,straida01
Dee Strange-Gordon,29,695,.324,96,.354,.067,0.3%,13.4%,3.6%,81.3,13.0%,24.0%,54.8%,12.5%,1.38,21.6%,55.8%,22.6%,0.5,-0.1%,-0.8,48%,79%,60%,gordode01
