--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Robert Andino,32,24,.259,53,.350,.000,0.0%,16.7%,0.0%,83.8,20.0%,20.0%,50.0%,20.0%,1.00,10.5%,47.4%,42.1%,0.0,0.0%,-1.7,25%,,0%,andinro01
Oswaldo Arcia,25,2,.000,-134,.000,.000,0.0%,50.0%,0.0%,52.5,0.0%,0.0%,100.0%,0.0%,,,,,-0.1,-0.1%,-0.6,,,,arciaos01
Kyle Barraclough,26,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,barraky01
Justin Bour,28,321,.353,122,.278,.211,4.7%,17.5%,11.8%,92.5,52.0%,27.8%,44.5%,20.7%,0.81,40.4%,43.0%,16.6%,0.4,0.4%,8.1,21%,,20%,bourju01
Andrew Cashner,29,18,.189,-3,.333,.000,0.0%,38.9%,5.6%,76.9,25.0%,10.0%,50.0%,10.0%,2.50,11.1%,44.4%,44.4%,-0.2,-0.2%,-2.3,25%,,0%,cashnan01
Wei-Yin Chen,30,49,.021,-144,.000,.000,0.0%,36.7%,0.0%,69.4,0.0%,0.0%,58.1%,6.5%,6.00,16.1%,45.2%,38.7%,-1.1,-0.6%,-12.6,,,,chenwe02
Paul Clemens,28,2,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,clemepa02
Adam Conley,26,47,.119,-62,.250,.000,0.0%,46.8%,2.1%,79.6,7.7%,12.5%,58.3%,4.2%,3.50,25.0%,50.0%,25.0%,-0.8,-0.5%,-8.8,67%,,0%,conlead01
Jarred Cosart,26,7,.150,-46,.200,.000,0.0%,14.3%,0.0%,83.6,25.0%,33.3%,33.3%,0.0%,1.00,0.0%,40.0%,60.0%,-0.1,0.0%,-1.2,0%,,100%,cosarja01
