--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Ronald Acuna Jr.,24,533,.346,117,.331,.148,2.8%,23.6%,9.9%,91.2,50.1%,21.2%,47.7%,24.7%,0.91,29.9%,53.8%,16.3%,1.3,0.6%,10.4,33%,73%,76%,acunaro01
Ehire Adrianza,32,16,.265,60,.200,.077,0.0%,18.8%,18.8%,92.2,40.0%,20.0%,50.0%,30.0%,1.00,70.0%,0.0%,30.0%,-0.2,-0.3%,-1.2,60%,,50%,adriaeh01
Ozzie Albies,25,269,.300,90,.270,.162,3.0%,17.5%,6.0%,87.1,26.5%,21.1%,38.7%,31.9%,0.63,33.8%,53.9%,12.3%,-0.5,-0.3%,-0.3,39%,38%,53%,albieoz01
Orlando Arcia,27,234,.327,105,.278,.172,3.9%,21.8%,9.0%,90.3,42.8%,18.8%,46.9%,28.1%,0.89,26.9%,56.9%,16.3%,-0.7,-0.7%,-3.2,25%,,50%,arciaor01
Robinson Canó,39,27,.202,15,.182,.038,0.0%,14.8%,3.7%,90.6,45.5%,22.7%,50.0%,13.6%,1.00,40.9%,31.8%,27.3%,-0.3,-0.2%,-3.5,20%,,0%,canoro01
William Contreras,24,376,.376,139,.344,.228,5.3%,27.7%,10.4%,90.4,46.8%,18.5%,53.4%,24.6%,1.15,26.7%,56.9%,16.4%,1.3,0.9%,11.0,27%,100%,36%,contrwi02
Travis d'Arnaud,33,426,.347,119,.306,.205,4.2%,21.1%,4.5%,88.5,39.3%,22.9%,45.4%,25.2%,0.83,28.8%,53.9%,17.3%,0.7,0.3%,18.8,36%,,38%,darnatr01
Travis Demeritte,27,96,.263,59,.291,.124,3.1%,33.3%,6.3%,88.8,37.9%,22.4%,50.0%,22.4%,1.00,34.5%,46.6%,19.0%,-0.5,-0.2%,-5.5,27%,,40%,demertr01
Alex Dickerson,32,36,.190,6,.130,.091,2.8%,25.0%,8.3%,90.1,41.7%,29.2%,37.5%,25.0%,0.60,37.5%,54.2%,8.3%,-0.3,-0.1%,-4.2,33%,,100%,dickeal01
Adam Duvall,33,315,.291,81,.278,.188,3.8%,32.1%,6.7%,88.3,41.0%,20.7%,29.3%,38.8%,0.41,33.5%,52.7%,13.8%,-0.2,-0.1%,1.2,36%,0%,50%,duvalad01
Mike Ford,29,8,.087,-67,.000,.000,0.0%,25.0%,12.5%,91.4,20.0%,40.0%,60.0%,0.0%,1.50,60.0%,40.0%,0.0%,-0.1,-0.1%,-1.0,0%,,,fordmi01
Phil Gosselin,33,24,.250,50,.353,.000,0.0%,25.0%,4.2%,87.0,41.2%,29.4%,47.1%,23.5%,0.89,17.6%,35.3%,47.1%,-0.3,-0.2%,-2.6,40%,,50%,gosseph01
