--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Cristhian Adames,25,14,.050,-121,.000,.000,0.0%,42.9%,7.1%,82.0,0.0%,28.6%,14.3%,42.9%,0.17,14.3%,57.1%,28.6%,-0.2,-0.1%,-3.1,100%,,,adamecr01
Alexi Amarista,28,176,.271,37,.291,.113,1.7%,21.6%,4.0%,84.0,18.6%,32.1%,46.6%,19.8%,0.88,26.7%,55.0%,18.3%,-1.6,-0.7%,-13.0,40%,100%,40%,amarial01
Tyler Anderson,27,33,.059,-162,.111,.000,0.0%,51.5%,3.0%,79.8,14.3%,6.7%,20.0%,13.3%,0.75,26.7%,73.3%,0.0%,-0.6,-0.5%,-9.3,50%,,,anderty01
Nolan Arenado,26,680,.403,134,.320,.277,5.4%,15.6%,9.1%,89.6,42.0%,28.0%,34.7%,28.0%,0.53,25.2%,54.2%,20.5%,4.8,3.1%,53.4,29%,60%,55%,arenano01
Chad Bettis,28,15,.133,-101,.200,.000,0.0%,40.0%,6.7%,71.5,0.0%,0.0%,37.5%,12.5%,3.00,0.0%,50.0%,50.0%,-0.1,-0.1%,-1.7,50%,,50%,bettich01
Charlie Blackmon,30,725,.425,152,.371,.270,5.1%,18.6%,9.0%,87.4,39.7%,27.0%,40.6%,26.0%,0.69,34.2%,49.7%,16.1%,4.2,2.4%,56.8,40%,58%,41%,blackch02
Stephen Cardullo,29,32,.253,26,.190,.000,0.0%,21.9%,9.4%,83.5,15.8%,23.8%,38.1%,38.1%,0.62,14.3%,61.9%,23.8%,0.0,0.0%,0.2,25%,,33%,cardust01
Tyler Chatwood,27,47,.160,-66,.200,.026,0.0%,19.2%,2.1%,80.2,12.0%,16.2%,43.2%,8.1%,1.23,18.9%,48.6%,32.4%,-0.7,-0.5%,-6.8,56%,,50%,chatwty01
Ian Desmond,31,373,.310,63,.345,.100,1.9%,23.3%,6.4%,88.1,36.0%,19.4%,62.4%,13.6%,1.71,24.0%,55.8%,20.2%,-0.9,-0.4%,-7.0,35%,79%,55%,desmoia01
Kyle Freeland,24,56,.189,-28,.333,.077,1.8%,53.6%,1.8%,77.7,17.6%,12.0%,56.0%,4.0%,2.80,36.0%,44.0%,20.0%,-0.6,-0.3%,-7.1,25%,,0%,freelky01
Dustin Garneau,29,74,.279,44,.302,.147,1.4%,32.4%,5.4%,85.0,23.7%,24.4%,33.3%,31.1%,0.52,42.2%,33.3%,24.4%,-0.7,-0.6%,-6.9,22%,,75%,garnedu01
Carlos González,31,534,.334,82,.318,.162,2.6%,22.3%,10.5%,87.8,41.6%,26.6%,48.2%,17.1%,0.94,31.4%,54.9%,13.7%,-0.2,-0.1%,-7.4,35%,100%,38%,gonzaca01
Jon Gray,25,43,.115,-92,.200,.079,2.3%,62.8%,2.3%,80.9,33.3%,6.7%,40.0%,13.3%,1.20,20.0%,46.7%,33.3%,-0.5,-0.3%,-6.9,67%,,50%,grayjo02
Ryan Hanigan,36,112,.292,52,.338,.079,1.8%,23.2%,7.1%,83.3,19.4%,19.5%,61.0%,16.9%,1.62,20.8%,53.2%,26.0%,-0.3,0.0%,-6.8,21%,,14%,hanigry01
Jeff Hoffman,24,36,.119,-87,.188,.030,0.0%,47.2%,0.0%,80.8,0.0%,15.8%,57.9%,5.3%,2.75,10.5%,63.2%,26.3%,-0.7,-0.4%,-9.4,33%,,100%,hoffmje02
DJ LeMahieu,28,682,.350,96,.351,.099,1.2%,13.2%,8.7%,89.4,44.7%,28.8%,56.2%,11.8%,1.31,12.9%,57.5%,29.6%,-0.3,-0.2%,1.5,35%,55%,42%,lemahdj01
Jonathan Lucroy,31,175,.378,116,.341,.127,1.1%,10.9%,15.4%,84.4,24.2%,23.2%,51.2%,19.2%,1.05,22.4%,53.6%,24.0%,0.1,0.1%,0.3,22%,,29%,lucrojo01
Jordan Lyles,26,5,.179,-28,.500,.000,0.0%,60.0%,0.0%,94.3,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,-0.7,0%,,,lylesjo01
Germán Márquez,22,53,.190,-41,.296,.044,0.0%,34.0%,0.0%,75.9,25.9%,11.4%,62.9%,2.9%,4.40,17.1%,68.6%,14.3%,-0.7,-0.5%,-7.3,50%,,0%,marquge01
Ryan McMahon,22,24,.271,39,.214,.053,0.0%,20.8%,20.8%,80.4,25.0%,0.0%,85.7%,14.3%,6.00,28.6%,57.1%,14.3%,-0.2,-0.1%,-1.5,20%,,50%,mcmahry01
Tom Murphy,26,26,.113,-82,.067,.042,0.0%,34.6%,7.7%,79.6,21.4%,20.0%,40.0%,26.7%,0.67,40.0%,40.0%,20.0%,-0.3,-0.1%,-3.0,33%,,100%,murphto04
Gerardo Parra,30,425,.340,91,.343,.143,2.4%,15.8%,4.7%,85.5,31.9%,28.7%,46.1%,21.3%,0.89,24.0%,55.1%,21.0%,-0.4,-0.4%,7.6,34%,29%,51%,parrage01
Mark Reynolds,33,593,.366,107,.343,.219,5.1%,29.5%,11.6%,87.4,38.7%,26.4%,42.5%,23.9%,0.74,31.6%,52.9%,15.5%,-0.1,0.0%,15.5,29%,67%,28%,reynoma01
Chris Rusin,30,10,.288,45,.500,.000,0.0%,30.0%,0.0%,74.6,0.0%,42.9%,42.9%,0.0%,1.00,42.9%,57.1%,0.0%,0.0,0.0%,-0.8,33%,,100%,rusinch01
Antonio Senzatela,22,39,.148,-83,.333,.031,0.0%,51.3%,0.0%,74.9,20.0%,10.5%,36.8%,5.3%,1.75,0.0%,68.4%,31.6%,-0.3,-0.2%,-3.5,25%,,33%,senzaan01
Trevor Story,24,555,.336,85,.332,.219,4.3%,34.4%,8.8%,89.8,41.1%,25.6%,33.9%,30.4%,0.52,25.6%,58.8%,15.7%,-0.6,-0.1%,5.3,30%,78%,57%,storytr01
Raimel Tapia,23,171,.328,79,.361,.138,1.2%,21.1%,4.7%,80.3,13.9%,31.2%,41.6%,17.6%,0.73,33.6%,48.8%,17.6%,-0.4,-0.1%,-1.9,43%,71%,53%,tapiara01
Mike Tauchman,26,32,.268,53,.353,.074,0.0%,31.3%,15.6%,81.4,26.7%,17.6%,64.7%,5.9%,1.83,17.6%,52.9%,29.4%,-0.1,-0.1%,-2.1,12%,33%,50%,tauchmi01
Pat Valaika,24,195,.344,91,.291,.275,6.7%,27.2%,3.6%,85.5,34.8%,23.7%,30.4%,28.9%,0.48,24.4%,53.3%,22.2%,-0.7,-0.2%,4.9,37%,,67%,valaipa01
Tony Wolters,25,266,.280,44,.316,.044,0.0%,20.7%,12.4%,83.8,20.9%,24.4%,55.1%,17.6%,1.29,28.4%,55.7%,15.9%,-0.7,-0.5%,-9.3,33%,0%,38%,wolteto01
League Average,,,.329,94,.301,.169,3.2%,22.0%,8.7%,87.2,36.2%,25.1%,44.4%,21.9%,0.83,28.2%,53.2%,18.6%,,,,30%,72%,40%,-9999
Team Total,,6201,.341,88,.332,.171,3.1%,22.7%,8.4%,86.9,35.4%,25.8%,45.5%,20.9%,0.87,25.8%,54.3%,19.9%,-2.5,-0.9%,30.2,33%,63%,44%,-9999
