--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Matt Adams,32,40,.221,10,.222,.028,0.0%,22.5%,10.0%,82.2,29.6%,11.1%,51.9%,29.6%,1.08,29.6%,59.3%,11.1%,-0.3,-0.1%,-5.8,30%,,0%,adamsma01
Yency Almonte,27,3,.000,-145,.000,.000,0.0%,66.7%,0.0%,95.5,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.6,,,,almonye01
Daniel Bard,36,1,.899,492,1.000,.000,0.0%,0.0%,0.0%,99.9,100.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.4,100%,,,bardda01
Charlie Blackmon,34,582,.340,95,.305,.140,2.2%,15.6%,9.3%,87.6,38.5%,24.4%,47.4%,22.3%,0.90,28.2%,57.5%,14.3%,1.6,0.1%,10.9,33%,100%,32%,blackch02
Ryan Castellani,25,1,.000,-145,.000,.000,0.0%,0.0%,0.0%,89.4,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.3,,,,castery01
Jhoulys Chacín,33,7,.000,-185,.000,.000,0.0%,28.6%,0.0%,71.7,20.0%,20.0%,60.0%,0.0%,3.00,20.0%,60.0%,20.0%,-0.1,0.0%,-1.7,,,,chacijh01
C.J. Cron,31,547,.393,133,.316,.249,5.1%,21.4%,11.0%,88.8,42.0%,21.3%,38.7%,32.5%,0.63,29.7%,53.5%,16.8%,1.7,0.1%,35.4,24%,100%,44%,croncj01
Yonathan Daza,27,331,.310,74,.346,.073,0.6%,18.1%,6.3%,83.4,27.1%,21.8%,52.8%,21.4%,1.19,20.6%,58.1%,21.4%,-1.3,-0.1%,-7.4,22%,67%,43%,dazayo01
Elias Díaz,30,371,.332,90,.249,.219,4.9%,16.2%,8.1%,87.1,37.6%,24.0%,40.9%,25.4%,0.69,27.6%,54.5%,17.9%,-0.7,-0.5%,-11.0,35%,,31%,diazel01
Ryan Feltner,24,1,.000,-145,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,feltnry01
Kyle Freeland,28,40,.218,-1,.353,.030,0.0%,42.5%,5.0%,61.1,14.3%,9.5%,19.0%,28.6%,0.50,28.6%,42.9%,28.6%,-0.3,0.0%,-3.2,38%,,33%,freelky01
Joshua Fuentes,28,284,.271,47,.270,.125,2.5%,22.9%,4.2%,85.2,27.5%,18.4%,39.1%,33.3%,0.64,24.8%,53.4%,21.8%,-1.4,-0.2%,-14.6,35%,,67%,fuentjo01
Austin Gomber,27,42,.127,-97,.158,.000,0.0%,31.0%,2.4%,60.4,12.0%,7.1%,35.7%,10.7%,1.43,28.6%,57.1%,14.3%,-0.8,-0.1%,-9.4,0%,,0%,gombeau01
Chi Chi González,29,34,.173,-30,.333,.032,0.0%,47.1%,2.9%,70.8,29.4%,17.6%,47.1%,11.8%,1.60,0.0%,82.4%,17.6%,-0.4,-0.1%,-5.4,50%,,0%,gonzach01
Ashton Goudeau,28,6,.150,-39,.500,.000,0.0%,66.7%,0.0%,86.9,0.0%,50.0%,50.0%,0.0%,1.00,100.0%,0.0%,0.0%,-0.1,0.0%,-1.7,0%,,,goudeas01
Jon Gray,29,50,.096,-88,.333,.000,0.0%,64.0%,0.0%,73.6,27.8%,27.8%,27.8%,11.1%,0.56,11.1%,72.2%,16.7%,-0.8,0.0%,-9.5,29%,,17%,grayjo02
Garrett Hampson,26,494,.294,62,.291,.146,2.2%,23.9%,6.7%,83.7,31.4%,23.8%,37.4%,28.5%,0.66,22.6%,58.2%,19.1%,-1.8,-0.1%,-18.9,43%,71%,68%,hampsga01
Sam Hilliard,27,238,.331,86,.283,.248,5.9%,36.6%,9.7%,89.4,38.6%,18.1%,43.3%,29.1%,0.77,32.3%,53.5%,14.2%,0.2,-0.1%,6.7,32%,100%,40%,hillisa01
Connor Joe,28,211,.378,123,.323,.184,3.8%,19.4%,12.3%,88.2,39.0%,29.8%,33.3%,27.7%,0.50,29.1%,48.9%,22.0%,1.3,0.1%,16.2,21%,,44%,joeco01
Peter Lambert,24,2,.000,-145,.000,.000,0.0%,50.0%,0.0%,95.1,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,,,,lambepe01
Germán Márquez,26,60,.308,70,.333,.151,1.7%,21.7%,0.0%,73.3,23.4%,29.8%,31.9%,12.8%,0.68,19.1%,68.1%,12.8%,-0.2,-0.1%,-2.7,31%,,0%,marquge01
Ryan McMahon,26,596,.338,94,.306,.195,3.9%,24.7%,9.9%,90.2,43.8%,27.7%,39.1%,28.2%,0.65,21.0%,56.0%,23.1%,1.7,0.2%,4.2,32%,75%,55%,mcmahry01
Taylor Motter,31,22,.186,-13,.214,.000,0.0%,27.3%,9.1%,87.9,42.9%,21.4%,28.6%,28.6%,0.40,28.6%,64.3%,7.1%,-0.2,0.0%,-3.7,40%,,0%,motteta01
Dom Nuñez,26,263,.297,65,.258,.211,3.8%,34.6%,12.9%,85.6,31.2%,19.6%,31.9%,36.2%,0.47,37.2%,48.9%,13.9%,-0.7,-0.2%,-6.4,31%,,57%,nunezdo01
Chris Owings,29,50,.448,175,.481,.302,2.0%,30.0%,14.0%,90.7,42.9%,25.0%,39.3%,32.1%,0.65,32.1%,57.1%,10.7%,0.5,0.2%,2.6,40%,67%,80%,owingch01
Brendan Rodgers,24,415,.347,101,.328,.186,3.6%,20.2%,4.6%,88.8,40.6%,24.3%,50.8%,21.0%,1.03,22.3%,58.0%,19.7%,0.6,0.0%,4.3,28%,,36%,rodgebr02
Rio Ruiz,27,40,.193,-8,.214,.029,0.0%,22.5%,7.5%,87.1,32.1%,10.7%,67.9%,21.4%,2.11,32.1%,53.6%,14.3%,-0.1,0.0%,-2.7,11%,,67%,ruizri01
Antonio Senzatela,26,51,.046,-177,.100,.000,0.0%,37.3%,0.0%,55.8,9.4%,15.6%,28.1%,6.3%,1.13,6.3%,68.8%,25.0%,-1.0,-0.1%,-11.4,50%,,0%,senzaan01
Trevor Story,28,595,.354,104,.293,.221,4.0%,23.4%,8.9%,90.6,42.6%,24.2%,36.5%,30.9%,0.57,25.3%,53.6%,21.2%,0.6,0.0%,13.7,37%,77%,54%,storytr01
Raimel Tapia,27,533,.316,77,.306,.099,1.1%,13.1%,7.5%,85.5,31.7%,16.8%,67.5%,12.3%,2.11,21.1%,58.1%,20.9%,-0.6,0.1%,0.7,38%,77%,44%,tapiara01
Alan Trejo,25,50,.265,42,.290,.109,2.0%,30.0%,6.0%,87.7,40.6%,28.1%,50.0%,18.8%,1.00,28.1%,56.3%,15.6%,-0.2,0.0%,-4.7,46%,,50%,trejoal01
Ryan Vilade,22,7,.099,-74,.000,.000,0.0%,14.3%,14.3%,87.6,40.0%,0.0%,60.0%,40.0%,1.50,0.0%,80.0%,20.0%,-0.1,0.0%,-2.3,0%,,,viladry01
Colton Welker,23,40,.218,10,.269,.027,0.0%,27.5%,7.5%,88.1,38.5%,46.2%,19.2%,26.9%,0.24,19.2%,53.8%,26.9%,-0.2,0.0%,-2.1,70%,,0%,welkeco01
League Average,,,.322,94,.292,.165,3.2%,23.5%,8.9%,87.6,38.1%,23.4%,42.8%,25.6%,0.77,28.5%,54.0%,17.6%,,,,31%,75%,40%,-9999
Team Total,,6007,.323,82,.299,.165,3.0%,22.6%,8.2%,86.5,36.2%,22.7%,44.0%,25.3%,0.82,25.0%,56.0%,19.0%,-3.5,-1.2%,-30.8,32%,77%,45%,-9999
