--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Cristhian Adames,24,256,.277,48,.267,.084,0.8%,18.4%,9.4%,83.7,27.2%,18.2%,61.9%,14.4%,1.75,31.1%,51.7%,17.2%,-1.2,-0.5%,-15.1,30%,40%,33%,adamecr01
Tyler Anderson,26,42,.192,-25,.130,.086,2.4%,26.2%,9.5%,78.6,9.1%,18.5%,51.9%,11.1%,1.40,44.4%,48.1%,7.4%,-0.6,-0.2%,-6.3,0%,,0%,anderty01
Nolan Arenado,25,696,.393,130,.293,.275,5.9%,14.8%,9.8%,90.3,44.5%,27.9%,35.4%,25.8%,0.55,28.6%,53.7%,17.8%,3.8,1.4%,41.7,36%,40%,45%,arenano01
Brandon Barnes,30,109,.256,32,.314,.100,0.0%,27.5%,2.8%,85.1,31.3%,22.7%,36.0%,22.7%,0.69,18.9%,68.9%,12.2%,-0.8,-0.3%,-5.5,37%,33%,60%,barnebr02
Christian Bergman,28,3,.268,39,.333,.000,0.0%,0.0%,0.0%,47.6,0.0%,0.0%,100.0%,0.0%,,33.3%,33.3%,33.3%,0.1,0.0%,0.4,100%,,0%,bergmch01
Chad Bettis,27,58,.104,-97,.071,.000,0.0%,36.2%,6.9%,76.1,8.7%,9.1%,60.6%,3.0%,5.00,9.1%,48.5%,42.4%,-0.9,-0.3%,-10.9,33%,,0%,bettich01
Charlie Blackmon,29,641,.400,135,.350,.228,4.5%,15.9%,6.7%,88.1,37.3%,35.2%,34.0%,21.9%,0.53,39.6%,44.4%,16.0%,2.8,0.6%,27.9,38%,65%,53%,blackch02
Eddie Butler,25,19,.060,-168,.077,.000,0.0%,10.5%,0.0%,69.3,27.3%,5.9%,52.9%,0.0%,9.00,6.7%,53.3%,40.0%,-0.4,-0.2%,-5.0,0%,,0%,butleed01
Stephen Cardullo,28,59,.285,51,.238,.196,3.4%,20.3%,5.1%,85.7,35.0%,34.1%,31.8%,27.3%,0.47,15.9%,65.9%,18.2%,-0.6,0.0%,-3.1,23%,,40%,cardust01
Tyler Chatwood,26,58,.198,-18,.256,.038,0.0%,24.1%,3.5%,81.9,16.1%,19.0%,54.8%,9.5%,1.77,7.1%,57.1%,35.7%,-0.3,-0.2%,-4.9,25%,,100%,chatwty01
David Dahl,22,237,.379,115,.404,.185,3.0%,24.9%,6.3%,88.3,36.1%,31.3%,46.0%,16.0%,0.85,27.2%,53.1%,19.8%,1.7,0.4%,10.8,45%,100%,56%,dahlda01
Jorge De La Rosa,35,42,.203,-11,.292,.000,0.0%,33.3%,4.8%,79.5,10.0%,12.0%,64.0%,12.0%,2.67,16.0%,64.0%,20.0%,-0.2,0.0%,-3.3,40%,,0%,rosajo01
Daniel Descalso,29,289,.343,91,.305,.160,2.8%,19.4%,11.8%,88.0,39.5%,32.8%,43.9%,18.2%,0.80,32.3%,53.8%,13.8%,0.8,0.4%,10.1,32%,100%,45%,descada01
Yohan Flande,30,1,,,,,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.2,,,,flandyo01
Dustin Garneau,28,75,.301,63,.326,.132,1.3%,29.3%,8.0%,85.0,25.6%,29.8%,29.8%,27.7%,0.44,21.3%,61.7%,17.0%,-0.1,-0.1%,-2.6,29%,,50%,garnedu01
Gonzalez Germen,28,3,.000,-155,.000,.000,0.0%,33.3%,0.0%,92.7,50.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-1.0,,,,germego01
Carlos González,30,632,.363,108,.346,.207,4.0%,20.4%,7.3%,90.8,45.9%,29.2%,46.1%,17.8%,0.86,28.4%,56.4%,15.1%,1.0,0.6%,25.3,32%,50%,40%,gonzaca01
Jon Gray,24,55,.190,-32,.412,.043,0.0%,54.6%,3.6%,87.4,47.1%,30.4%,43.5%,0.0%,1.43,4.3%,56.5%,39.1%,-0.6,-0.2%,-6.4,22%,,33%,grayjo02
Jeff Hoffman,23,9,.000,-187,.000,.000,0.0%,22.2%,0.0%,85.5,50.0%,0.0%,85.7%,0.0%,,0.0%,57.1%,42.9%,-0.2,0.0%,-2.2,,,,hoffmje02
Nick Hundley,32,317,.337,88,.302,.180,3.2%,20.5%,7.9%,90.7,42.1%,27.0%,45.6%,20.4%,0.84,24.8%,55.3%,19.9%,0.1,-0.2%,7.7,22%,,38%,hundlni01
DJ LeMahieu,27,635,.404,138,.388,.147,1.7%,12.6%,10.4%,92.2,53.3%,33.7%,50.2%,10.1%,1.07,12.3%,54.8%,32.8%,1.8,0.3%,28.1,37%,61%,43%,lemahdj01
Jordan Lyles,25,8,.000,-155,.000,.000,0.0%,50.0%,0.0%,83.4,25.0%,25.0%,25.0%,25.0%,0.33,0.0%,75.0%,25.0%,-0.2,-0.1%,-2.7,,,,lylesjo01
Germán Márquez,21,8,.000,-240,.000,.000,0.0%,37.5%,0.0%,60.3,0.0%,0.0%,20.0%,20.0%,1.00,40.0%,20.0%,40.0%,-0.2,0.0%,-2.4,,,0%,marquge01
Justin Miller,29,1,.000,-155,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,milleju02
Tom Murphy,25,49,.425,149,.350,.386,10.2%,38.8%,8.2%,97.1,66.7%,40.0%,28.0%,16.0%,0.39,40.0%,40.0%,20.0%,0.2,0.0%,2.6,25%,100%,33%,murphto04
Gerardo Parra,29,381,.293,57,.297,.147,1.8%,19.2%,2.4%,87.5,36.7%,27.2%,54.0%,14.1%,1.24,32.4%,53.0%,14.5%,-2.7,-0.9%,-20.2,39%,60%,55%,parrage01
Jordan Patterson,24,19,.408,159,.471,.056,0.0%,5.3%,5.3%,82.2,18.8%,41.2%,41.2%,11.8%,0.70,35.3%,58.8%,5.9%,0.6,0.0%,0.7,11%,0%,50%,pattejo03
Ben Paulsen,28,97,.251,25,.297,.087,1.0%,27.8%,5.2%,86.6,30.5%,20.0%,53.8%,20.0%,1.17,35.4%,52.3%,12.3%,-0.4,-0.1%,-2.4,29%,,0%,paulsbe01
Ryan Raburn,35,256,.313,71,.292,.184,3.5%,31.3%,10.9%,91.4,50.4%,25.3%,46.6%,19.2%,0.87,24.5%,50.3%,25.2%,0.2,0.2%,-7.4,30%,,53%,raburry01
Mark Reynolds,32,441,.360,106,.361,.168,3.2%,25.4%,9.5%,88.1,39.6%,29.3%,42.8%,19.8%,0.75,24.6%,51.6%,23.8%,1.1,0.3%,16.0,33%,33%,36%,reynoma01
Chris Rusin,29,30,.206,-10,.217,.069,0.0%,20.0%,0.0%,74.7,15.0%,25.0%,29.2%,4.2%,0.64,25.0%,66.7%,8.3%,-0.4,-0.2%,-3.4,40%,,25%,rusinch01
Trevor Story,23,415,.380,121,.343,.296,6.5%,31.3%,8.4%,91.7,48.9%,34.3%,30.6%,26.1%,0.45,24.2%,51.3%,24.6%,0.9,0.1%,12.1,35%,62%,58%,storytr01
Raimel Tapia,22,41,.267,25,.357,.000,0.0%,26.8%,4.9%,81.1,8.0%,35.7%,39.3%,14.3%,0.69,39.3%,32.1%,28.6%,0.0,0.0%,-1.9,33%,100%,75%,tapiara01
Pat Valaika,23,19,.309,68,.400,.211,5.3%,42.1%,0.0%,95.0,57.1%,9.1%,54.5%,18.2%,1.20,18.2%,63.6%,18.2%,-0.2,0.0%,-1.9,33%,,0%,valaipa01
Tony Wolters,24,230,.335,85,.336,.137,1.3%,23.0%,9.1%,84.9,22.7%,31.4%,44.2%,14.7%,0.91,34.4%,47.0%,18.5%,0.5,0.2%,8.6,34%,80%,53%,wolteto01
Rafael Ynoa,28,5,.000,-155,.000,.000,0.0%,40.0%,0.0%,82.6,0.0%,33.3%,33.3%,0.0%,0.50,33.3%,0.0%,66.7%,-0.1,-0.1%,-1.2,,,,ynoara01
League Average,,,.326,94,.301,.158,2.9%,21.5%,8.3%,88.6,38.5%,26.4%,45.0%,20.2%,0.85,27.9%,52.2%,19.9%,,,,30%,71%,40%,-9999
Team Total,,6236,.347,95,.326,.182,3.3%,21.3%,7.9%,88.7,40.3%,29.3%,43.6%,18.3%,0.81,27.1%,52.7%,20.2%,5.4,1.0%,81.9,34%,63%,44%,-9999
