--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Justin Morneau,34,182,.367,113,.350,.149,1.7%,13.7%,7.1%,89.4,45.9%,30.1%,47.6%,16.8%,0.92,24.5%,61.5%,14.0%,0.5,0.0%,7.0,25%,,38%,morneju01
Tom Murphy,24,39,.389,130,.273,.286,7.7%,25.6%,10.3%,90.0,40.9%,28.0%,32.0%,24.0%,0.50,28.0%,56.0%,16.0%,-0.1,0.0%,2.4,20%,,0%,murphto04
Kyle Parker,25,112,.238,17,.242,.132,2.7%,33.0%,5.4%,88.4,43.6%,24.6%,46.4%,20.3%,0.86,13.0%,60.9%,26.1%,-0.5,0.0%,-8.5,32%,100%,43%,parkeky01
Ben Paulsen,27,354,.347,100,.351,.185,3.1%,26.0%,6.5%,88.7,40.1%,36.3%,44.3%,11.8%,0.81,32.5%,53.6%,13.9%,1.1,0.0%,7.3,29%,33%,56%,paulsbe01
José Reyes,32,208,.291,57,.281,.109,1.4%,11.5%,4.3%,84.8,18.9%,22.9%,46.3%,16.6%,0.94,28.6%,54.3%,17.1%,-0.6,0.0%,-3.7,32%,67%,50%,reyesjo01
Wilin Rosario,26,242,.308,69,.329,.147,2.5%,23.1%,3.3%,88.6,40.0%,24.3%,55.4%,14.1%,1.26,21.5%,56.5%,22.0%,-0.8,-0.1%,-7.0,25%,67%,36%,rosarwi01
Chris Rusin,28,50,.213,-9,.237,.065,2.0%,14.0%,0.0%,83.9,29.4%,14.0%,55.8%,9.3%,2.18,27.9%,58.1%,14.0%,-0.2,0.0%,-4.5,44%,,40%,rusinch01
Drew Stubbs,30,114,.312,72,.362,.216,4.4%,43.9%,7.9%,88.7,41.0%,22.2%,33.3%,29.6%,0.55,16.7%,50.0%,33.3%,-0.7,-0.3%,-3.8,32%,67%,67%,stubbdr01
Troy Tulowitzki,30,351,.360,108,.351,.170,3.4%,20.5%,6.8%,91.1,47.0%,30.3%,40.9%,20.9%,0.69,30.7%,52.4%,16.9%,0.4,0.2%,5.5,31%,,42%,tulowtr01
Rafael Ynoa,27,131,.275,44,.333,.079,0.0%,21.4%,2.3%,83.0,19.8%,27.0%,51.0%,13.0%,1.06,19.0%,59.0%,22.0%,-0.3,-0.2%,-3.4,39%,100%,56%,ynoara01
League Average,,,.320,93,.301,.144,2.5%,20.9%,7.6%,88.4,37.8%,27.3%,45.8%,18.7%,0.88,26.4%,53.6%,19.9%,,,,29%,71%,40%,-9999
Team Total,,6071,.332,86,.313,.167,3.1%,21.1%,6.4%,88.7,39.5%,29.4%,44.2%,17.3%,0.82,25.4%,55.3%,19.3%,2.3,0.0%,18.5,32%,69%,46%,-9999
