--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Eliezer Alfonzo,32,79,.284,50,.311,.053,1.3%,16.5%,3.8%,25.8%,43.5%,24.2%,0.77,29.0%,54.8%,16.1%,0.0,0.0%,-3.2,4%,,0%,alfonel01
Alfredo Amezaga,33,38,.285,49,.296,.030,0.0%,18.4%,7.9%,14.3%,50.0%,28.6%,1.17,25.0%,67.9%,7.1%,-0.1,0.0%,-0.6,46%,,20%,amezaal01
Matt Belisle,31,3,.637,418,.500,.500,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,0.00,33.3%,33.3%,33.3%,0.0,0.0%,0.0,0%,,,belisma01
Charlie Blackmon,24,102,.288,46,.270,.041,1.0%,7.8%,2.9%,16.5%,45.1%,27.5%,0.89,29.7%,51.6%,18.7%,-0.6,-0.3%,-6.1,30%,83%,44%,blackch02
Rex Brothers,23,1,.000,-161,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.8,,,,brothre01
Jhoulys Chacín,23,68,.171,-44,.204,.016,0.0%,17.7%,1.5%,9.3%,57.4%,11.1%,1.82,9.3%,81.5%,9.3%,-0.7,-0.5%,-8.1,23%,,50%,chacijh01
Aaron Cook,32,35,.161,-46,.217,.000,0.0%,31.4%,0.0%,16.7%,58.3%,8.3%,1.75,20.8%,58.3%,20.8%,-0.5,-0.1%,-4.9,11%,,0%,cookaa01
Jorge De La Rosa,30,23,.217,-9,.455,.000,0.0%,43.5%,0.0%,38.5%,46.2%,0.0%,1.20,15.4%,53.8%,30.8%,-0.2,-0.2%,-1.4,20%,,25%,rosajo01
Mark Ellis,34,286,.319,75,.307,.118,2.1%,15.0%,4.9%,16.8%,44.7%,26.1%,0.86,27.9%,56.6%,15.5%,-1.6,-0.1%,-9.8,34%,70%,68%,ellisma01
Edgmer Escalona,24,3,.000,-161,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,0.0%,-0.8,,,,escaled01
Thomas Field,24,51,.271,40,.382,.000,0.0%,27.5%,5.9%,17.6%,44.1%,29.4%,0.79,29.4%,47.1%,23.5%,0.0,0.0%,-2.3,25%,,67%,fieldth01
Dexter Fowler,25,563,.361,110,.354,.166,0.9%,23.1%,12.1%,17.5%,42.6%,30.4%,0.79,26.5%,51.8%,21.7%,1.9,0.6%,17.6,40%,57%,74%,fowlede01
Cole Garner,26,10,.241,19,.667,.000,0.0%,60.0%,10.0%,33.3%,33.3%,33.3%,0.50,0.0%,66.7%,33.3%,-0.1,0.0%,1.2,33%,,0%,garneco01
Jason Giambi,40,152,.418,149,.284,.344,8.6%,29.6%,11.2%,24.1%,31.0%,37.9%,0.45,37.9%,55.2%,6.9%,0.8,0.3%,14.6,17%,,18%,giambja01
Héctor Gómez,23,7,.303,58,.500,.000,0.0%,28.6%,14.3%,75.0%,25.0%,0.0%,0.33,0.0%,75.0%,25.0%,-0.1,0.0%,-0.6,33%,,0%,gomezhe01
Carlos González,25,542,.395,129,.326,.231,4.8%,19.4%,8.9%,20.2%,46.1%,23.6%,0.91,28.3%,57.3%,14.4%,2.4,0.8%,34.8,39%,80%,49%,gonzaca01
Jason Hammel,28,61,.203,-43,.200,.087,1.6%,24.6%,1.6%,11.1%,37.8%,8.9%,1.42,11.1%,73.3%,15.6%,-0.4,-0.1%,-6.5,29%,,,hammeja01
Todd Helton,37,491,.373,117,.328,.164,2.9%,14.5%,12.0%,26.0%,36.3%,32.4%,0.57,22.6%,52.8%,24.6%,2.1,0.9%,18.4,26%,0%,33%,heltoto01
Jonathan Herrera,26,320,.303,65,.273,.057,0.9%,12.5%,8.8%,20.3%,45.4%,22.3%,0.96,16.7%,63.7%,19.5%,-0.7,-0.4%,-10.9,26%,50%,47%,herrejo03
Chris Iannetta,28,426,.359,106,.276,.177,3.3%,20.9%,16.4%,17.9%,36.3%,33.6%,0.58,22.5%,57.6%,19.8%,0.4,0.4%,16.2,26%,67%,49%,iannech01
Ubaldo Jiménez,27,42,.161,-60,.235,.000,0.0%,42.9%,4.8%,18.2%,45.5%,9.1%,1.67,0.0%,77.3%,22.7%,-0.5,-0.3%,-6.4,0%,,50%,jimenub01
Alan Johnson,27,2,.000,-421,,.000,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.3,,,,johnsal02
Kevin Kouzmanoff,29,108,.332,85,.286,.143,2.8%,17.6%,3.7%,15.0%,53.8%,22.5%,1.16,32.5%,48.8%,18.8%,-0.2,0.0%,2.4,26%,,33%,kouzmke01
Jose Lopez,27,129,.263,32,.222,.080,1.6%,11.6%,2.3%,16.4%,50.9%,27.3%,1.06,24.5%,65.5%,10.0%,-1.1,-0.9%,-9.0,29%,100%,43%,lopezjo01
Kevin Millwood,36,23,.336,87,.111,.316,8.7%,34.8%,4.4%,7.1%,42.9%,21.4%,1.50,14.3%,71.4%,14.3%,-0.4,0.0%,-1.9,50%,,25%,millwke01
Jose Morales,28,71,.304,69,.320,.050,0.0%,16.9%,12.7%,20.0%,56.0%,22.0%,1.27,34.0%,52.0%,14.0%,-0.3,-0.1%,-1.9,24%,0%,11%,moraljo02
Clayton Mortensen,26,15,.046,-126,.000,.000,0.0%,60.0%,6.7%,0.0%,40.0%,0.0%,1.00,0.0%,40.0%,60.0%,-0.2,-0.2%,-2.9,100%,,0%,mortecl01
Chris Nelson,25,189,.290,53,.289,.133,2.1%,18.5%,3.7%,21.2%,47.3%,26.0%,0.90,24.0%,59.6%,16.4%,-1.4,-0.4%,-9.2,31%,75%,50%,nelsoch01
Juan Nicasio,24,23,.157,-51,.500,.091,0.0%,69.6%,0.0%,28.6%,42.9%,14.3%,1.00,14.3%,57.1%,28.6%,-0.2,0.0%,-4.7,0%,,0%,nicasju01
Jordan Pacheco,25,88,.322,78,.301,.083,2.3%,10.2%,3.4%,24.0%,50.7%,16.0%,1.06,30.7%,56.0%,13.3%,-0.2,0.0%,2.5,12%,,38%,pachejo01
Matt Pagnozzi,28,25,.295,54,.462,.000,0.0%,32.0%,4.0%,20.0%,20.0%,46.7%,0.30,6.7%,73.3%,20.0%,-0.2,-0.1%,-0.3,25%,,100%,pagnoma01
