--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Juan Nicasio,27,27,.073,-118,.167,.000,0.0%,48.2%,0.0%,28.6%,50.0%,0.0%,1.75,14.3%,64.3%,21.4%,-0.4,-0.3%,-5.0,0%,,,nicasju01
Jordan Pacheco,28,80,.288,60,.293,.111,0.0%,18.8%,7.5%,24.1%,53.4%,17.2%,1.15,32.8%,53.4%,13.8%,-0.6,-0.4%,-1.9,17%,,0%,pachejo01
Kyle Parker,24,26,.185,-17,.417,.038,0.0%,53.9%,0.0%,25.0%,50.0%,16.7%,1.00,25.0%,58.3%,16.7%,-0.1,-0.1%,-1.1,20%,,0%,parkeky01
Ben Paulsen,26,66,.396,141,.400,.254,6.1%,28.8%,3.0%,34.1%,45.5%,13.6%,0.83,29.5%,65.9%,4.5%,0.7,0.1%,6.8,21%,,43%,paulsbe01
Jason Pridie,30,4,.228,15,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.1,0.0%,-0.3,,,50%,pridija01
Wilin Rosario,25,410,.327,88,.293,.168,3.2%,17.1%,5.6%,23.3%,51.4%,17.7%,1.06,24.3%,61.5%,14.2%,-0.9,-0.2%,-4.0,30%,100%,34%,rosarwi01
Josh Rutledge,25,342,.322,87,.353,.136,1.2%,24.3%,5.9%,26.6%,45.1%,21.0%,0.86,24.5%,58.8%,16.7%,-1.1,-0.3%,4.4,38%,40%,44%,rutlejo01
Drew Stubbs,29,424,.373,117,.404,.193,3.5%,32.1%,7.1%,24.9%,45.1%,23.7%,0.85,26.8%,58.8%,14.4%,1.7,0.2%,10.6,40%,87%,44%,stubbdr01
Troy Tulowitzki,29,375,.443,177,.355,.263,5.6%,15.2%,13.3%,30.0%,38.4%,25.1%,0.63,31.9%,57.8%,10.3%,1.8,1.4%,33.9,36%,50%,25%,tulowtr01
Ryan Wheeler,25,64,.288,60,.244,.143,3.1%,18.8%,7.8%,36.2%,46.8%,10.6%,0.88,36.2%,55.3%,8.5%,0.0,0.0%,1.4,25%,,60%,wheelry01
Jackson Williams,28,16,.327,89,.222,.214,6.3%,25.0%,12.5%,10.0%,70.0%,10.0%,2.33,30.0%,40.0%,30.0%,0.3,0.0%,0.9,0%,,0%,willija01
Rafael Ynoa,26,71,.393,138,.397,.119,0.0%,12.7%,5.6%,27.6%,51.7%,10.3%,1.07,25.9%,58.6%,15.5%,0.2,0.0%,7.5,19%,,43%,ynoara01
League Average,,,.315,92,.299,.132,2.2%,20.9%,7.5%,25.4%,45.1%,20.7%,0.86,26.4%,55.9%,17.7%,,,,29%,71%,40%,-9999
Team Total,,6164,.343,101,.326,.169,3.0%,20.8%,6.4%,26.8%,45.3%,19.1%,0.86,24.8%,58.0%,17.2%,2.3,2.9%,70.2,31%,64%,38%,-9999
