--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Bud Norris,31,22,.331,100,.286,.167,0.0%,22.7%,13.6%,81.4,33.3%,15.4%,30.8%,0.0%,2.00,30.8%,38.5%,30.8%,-0.2,-0.1%,-1.6,17%,,0%,norribu01
Héctor Olivera,31,21,.260,48,.267,.053,0.0%,23.8%,4.8%,85.5,28.6%,6.7%,60.0%,20.0%,1.50,33.3%,40.0%,26.7%,-0.3,-0.2%,-1.3,40%,,100%,olivehe01
Williams Perez,25,19,.000,-167,.000,.000,0.0%,26.3%,0.0%,94.1,11.1%,7.1%,42.9%,14.3%,1.50,7.1%,64.3%,28.6%,-0.5,-0.1%,-6.4,,,,perezwi01
Jace Peterson,26,408,.326,99,.296,.111,1.7%,16.9%,12.8%,88.0,35.8%,23.1%,56.3%,17.1%,1.34,31.0%,50.9%,18.1%,-0.2,-0.2%,-2.7,28%,50%,44%,peterja01
A.J. Pierzynski,39,259,.245,37,.237,.085,0.8%,11.2%,2.3%,87.7,37.8%,26.7%,51.1%,16.7%,1.06,27.9%,55.8%,16.3%,-2.1,-0.3%,-18.6,21%,100%,36%,pierza.01
Anthony Recker,32,112,.375,131,.343,.156,1.8%,19.6%,14.3%,93.3,54.8%,30.6%,29.2%,26.4%,0.44,20.0%,50.0%,30.0%,0.5,0.0%,7.6,10%,100%,22%,reckean01
Rio Ruiz,22,7,.388,116,.400,.286,0.0%,28.6%,0.0%,97.1,50.0%,60.0%,20.0%,0.0%,0.25,40.0%,60.0%,0.0%,-0.2,0.0%,1.0,50%,100%,,ruizri01
Mallex Smith,23,215,.306,82,.302,.127,1.4%,22.3%,9.3%,86.3,30.3%,15.9%,52.4%,15.2%,1.62,32.2%,49.0%,18.9%,0.1,-0.1%,-1.0,37%,67%,67%,smithma05
Brandon Snyder,29,47,.372,129,.269,.413,8.5%,34.0%,2.1%,93.0,48.1%,33.3%,43.3%,20.0%,0.76,20.0%,46.7%,33.3%,-0.3,0.0%,-0.3,50%,,50%,snydebr03
Drew Stubbs,31,42,.309,68,.471,.079,2.4%,47.6%,9.5%,87.6,38.9%,22.2%,66.7%,0.0%,2.00,0.0%,77.8%,22.2%,-0.1,0.1%,-2.0,29%,100%,67%,stubbdr01
Dansby Swanson,22,145,.353,113,.383,.140,2.1%,23.5%,9.0%,89.1,40.2%,29.6%,46.9%,17.3%,0.90,18.6%,53.6%,27.8%,0.2,0.0%,2.5,35%,100%,39%,swansda01
Julio Teheran,25,61,.195,-20,.303,.020,0.0%,26.2%,1.6%,85.4,24.1%,22.7%,29.5%,9.1%,0.72,18.6%,55.8%,25.6%,-0.8,-0.1%,-7.8,9%,,0%,teherju01
Matt Tuiasosopo,30,3,.000,-139,.000,.000,0.0%,33.3%,0.0%,96.7,50.0%,50.0%,50.0%,0.0%,1.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,,,,tuiasma01
Ryan Weber,25,6,.000,-139,.000,.000,0.0%,50.0%,0.0%,67.6,0.0%,0.0%,100.0%,0.0%,,33.3%,33.3%,33.3%,-0.1,0.0%,-1.7,,,,weberry01
Rob Whalen,22,11,.180,-20,.286,.000,0.0%,27.3%,0.0%,80.6,33.3%,25.0%,62.5%,0.0%,2.50,0.0%,50.0%,50.0%,-0.4,0.0%,-2.9,0%,,0%,whalero01
Matt Wisler,23,53,.163,-34,.269,.000,0.0%,39.6%,1.9%,84.4,10.0%,9.7%,61.3%,6.5%,3.80,16.1%,48.4%,35.5%,-1.1,-0.2%,-11.1,20%,,50%,wislema01
League Average,,,.326,94,.301,.158,2.9%,21.5%,8.3%,88.6,38.5%,26.4%,45.0%,20.2%,0.85,27.9%,52.2%,19.9%,,,,30%,71%,40%,-9999
Team Total,,6192,.316,88,.305,.130,2.0%,20.0%,8.1%,88.6,36.4%,27.1%,46.7%,18.0%,0.92,25.7%,52.8%,21.5%,-9.6,-2.0%,-66.0,28%,69%,38%,-9999
