--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Joe Panik,28,388,.280,66,.254,.081,0.8%,9.8%,9.3%,86.9,28.2%,25.4%,42.8%,23.8%,0.76,26.4%,56.9%,16.7%,-0.9,-0.4%,-15.2,26%,67%,32%,panikjo01
Gerardo Parra,32,97,.267,56,.235,.070,1.0%,18.6%,8.3%,85.0,23.1%,24.6%,50.7%,17.4%,1.06,29.0%,47.8%,23.2%,-1.1,-0.5%,-6.0,27%,67%,33%,parrage01
Kevin Pillar,30,628,.318,92,.275,.178,3.3%,13.7%,2.9%,86.3,34.3%,23.5%,44.9%,21.2%,0.83,33.1%,50.1%,16.8%,-1.0,-0.6%,-1.9,37%,74%,67%,pillake01
Drew Pomeranz,30,18,.000,-149,.000,.000,0.0%,72.2%,0.0%,67.0,0.0%,0.0%,40.0%,0.0%,,0.0%,80.0%,20.0%,-0.5,-0.2%,-5.0,,,,pomerdr01
Buster Posey,32,445,.301,81,.296,.111,1.6%,16.0%,7.6%,88.7,38.5%,22.9%,49.7%,24.4%,0.99,22.4%,53.4%,24.2%,-1.4,-0.2%,-10.4,27%,,28%,poseybu01
Michael Reed,26,8,.000,-135,.000,.000,0.0%,75.0%,0.0%,73.7,50.0%,0.0%,0.0%,50.0%,0.00,50.0%,50.0%,0.0%,-0.2,-0.1%,-2.6,,,,reedmi02
Joey Rickard,28,54,.311,85,.406,.100,1.9%,31.5%,7.4%,87.2,32.3%,27.3%,42.4%,18.2%,0.74,33.3%,54.5%,12.1%,-0.2,0.0%,-2.7,16%,100%,57%,rickajo01
Dereck Rodriguez,27,29,.150,-28,.417,.000,0.0%,58.6%,0.0%,85.4,25.0%,25.0%,50.0%,16.7%,1.00,8.3%,50.0%,41.7%,-0.4,-0.1%,-4.1,20%,,0%,rodride01
Jeff Samardzija,34,56,.138,-53,.300,.040,0.0%,53.6%,0.0%,82.9,35.3%,15.4%,46.2%,3.8%,2.40,23.1%,61.5%,15.4%,-0.8,-0.2%,-9.9,17%,,25%,samarje01
Pablo Sandoval,32,296,.351,116,.304,.239,4.7%,22.6%,6.1%,90.2,48.9%,25.2%,46.2%,20.5%,0.87,22.9%,56.2%,21.0%,0.7,0.3%,3.1,36%,100%,36%,sandopa01
Chris Shaw,25,20,.114,-54,.100,.000,0.0%,40.0%,10.0%,93.4,40.0%,10.0%,60.0%,30.0%,1.50,60.0%,30.0%,10.0%,-0.1,0.0%,-2.0,0%,,,shawch01
Austin Slater,26,192,.334,104,.337,.179,2.6%,30.7%,11.5%,89.0,53.0%,28.4%,54.1%,14.7%,1.18,20.2%,54.1%,25.7%,0.2,0.3%,4.9,25%,100%,50%,slateau01
Will Smith,29,2,.887,904,1.000,.000,0.0%,0.0%,0.0%,65.2,50.0%,50.0%,0.0%,0.0%,0.00,0.0%,50.0%,50.0%,0.1,0.0%,1.4,0%,,0%,smithwi04
Donovan Solano,31,228,.358,124,.409,.126,1.8%,21.5%,4.4%,87.4,45.9%,37.5%,37.5%,19.0%,0.60,14.9%,61.9%,23.2%,1.2,0.1%,7.6,30%,0%,47%,solando01
Yangervis Solarte,31,78,.236,32,.250,.110,1.3%,20.5%,5.1%,83.0,26.0%,27.6%,51.7%,8.6%,1.11,37.5%,44.6%,17.9%,-0.5,-0.3%,-5.3,44%,,60%,solarya01
Andrew Suarez,26,3,.297,78,.000,.000,0.0%,33.3%,0.0%,55.1,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.1,0.0%,0.8,,,,suarean01
Nick Vincent,32,3,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.8,,,,vinceni01
Stephen Vogt,34,280,.340,108,.311,.227,3.6%,23.6%,7.1%,90.3,43.4%,30.1%,27.5%,35.2%,0.38,33.2%,51.3%,15.5%,-0.1,0.2%,5.8,26%,75%,35%,vogtst01
Logan Webb,22,11,.158,-34,.143,.000,0.0%,18.2%,9.1%,87.6,50.0%,25.0%,37.5%,0.0%,1.50,12.5%,25.0%,62.5%,-0.2,0.0%,-2.5,0%,,,webblo01
Mac Williamson,28,57,.199,2,.156,.078,1.8%,31.6%,8.8%,87.0,44.8%,18.2%,60.6%,9.1%,1.54,27.3%,48.5%,24.2%,-0.7,-0.2%,-4.7,17%,100%,33%,willima11
Mike Yastrzemski,28,411,.359,125,.325,.245,5.1%,26.0%,7.8%,90.4,48.9%,23.9%,34.3%,29.1%,0.54,34.3%,45.5%,20.1%,0.3,0.1%,7.6,37%,33%,51%,yastrmi01
League Average,,,.326,93,.298,.178,3.5%,23.0%,8.5%,88.7,39.4%,25.0%,43.0%,23.5%,0.78,28.3%,53.0%,18.8%,,,,31%,74%,42%,-9999
Team Total,,6170,.304,83,.290,.153,2.7%,23.3%,7.7%,87.9,38.8%,25.6%,42.5%,23.7%,0.76,28.7%,52.2%,19.2%,-11.0,-4.0%,-84.6,30%,63%,41%,-9999
