--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Tony Abreu,29,4,.000,-137,.000,.000,0.0%,0.0%,0.0%,0.0%,75.0%,25.0%,3.00,50.0%,50.0%,0.0%,0.0,0.0%,-1.7,,,,abreuto01
Ehire Adrianza,24,106,.270,66,.303,.062,0.0%,20.8%,4.7%,26.9%,35.9%,23.1%,0.58,35.9%,51.3%,12.8%,-0.5,-0.3%,-4.6,30%,50%,40%,adriaeh01
Joaquin Arias,29,204,.260,56,.285,.047,0.0%,11.3%,3.9%,20.8%,52.0%,20.2%,1.10,29.3%,56.9%,13.8%,-1.8,-1.2%,-9.0,31%,100%,44%,ariasjo01
Brandon Belt,26,235,.336,114,.288,.206,5.1%,27.2%,7.7%,22.5%,37.7%,28.5%,0.61,38.5%,45.3%,16.2%,0.9,0.4%,2.6,30%,75%,32%,beltbr01
Gregor Blanco,30,444,.329,107,.311,.115,1.1%,17.3%,9.2%,24.8%,40.2%,23.5%,0.73,26.5%,55.9%,17.6%,0.4,0.3%,12.4,31%,76%,39%,blancgr01
Gary Brown,25,7,.360,132,.429,.000,0.0%,0.0%,0.0%,0.0%,57.1%,28.6%,2.00,28.6%,71.4%,0.0%,0.1,0.0%,1.0,33%,,50%,brownga02
Madison Bumgarner,24,78,.344,123,.382,.212,5.1%,37.2%,2.6%,28.3%,28.3%,23.9%,0.52,34.1%,52.3%,13.6%,0.2,0.1%,0.8,38%,,0%,bumgama01
Matt Cain,29,30,.188,4,.286,.000,0.0%,43.3%,6.7%,28.6%,42.9%,0.0%,1.20,38.5%,30.8%,30.8%,-0.3,-0.2%,-3.0,14%,,50%,cainma01
Santiago Casilla,33,1,.000,-137,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,garcija01
Tyler Colvin,28,149,.286,76,.312,.158,1.3%,30.2%,5.4%,22.1%,46.3%,22.1%,0.88,30.5%,52.6%,16.8%,0.1,0.0%,-1.3,37%,100%,64%,colvity01
Brandon Crawford,27,564,.311,96,.307,.143,1.8%,22.9%,10.5%,26.2%,37.7%,27.3%,0.62,28.5%,55.2%,16.3%,0.7,0.1%,8.6,26%,63%,46%,crawfbr01
Chris Dominguez,27,18,.179,-9,.000,.176,5.6%,22.2%,5.6%,23.1%,69.2%,7.7%,2.25,15.4%,76.9%,7.7%,-0.2,0.0%,-2.5,0%,,50%,dominch01
Matt Duffy,23,64,.282,79,.348,.033,0.0%,21.9%,1.6%,36.2%,40.4%,12.8%,0.70,20.9%,67.4%,11.6%,0.0,-0.1%,-1.4,24%,0%,25%,duffyma01
Adam Duvall,25,77,.259,57,.220,.151,3.9%,26.0%,3.9%,22.6%,39.6%,28.3%,0.66,41.2%,39.2%,19.6%,-0.4,-0.5%,-4.3,33%,,22%,duvalad01
J.C. Gutierrez,30,1,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.2,,,,gutieju01
Chris Heston,26,1,.000,-137,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,0.0%,-0.8,,,,hestoch01
Brandon Hicks,28,242,.276,71,.208,.157,3.3%,31.8%,13.2%,23.7%,28.2%,37.4%,0.41,36.9%,49.2%,13.8%,-0.2,-0.1%,-8.7,32%,0%,65%,hicksbr01
Tim Hudson,38,62,.070,-104,.061,.000,0.0%,32.3%,3.2%,7.7%,56.4%,12.8%,2.44,23.1%,66.7%,10.3%,-1.2,-0.9%,-15.6,0%,,100%,hudsoti01
David Huff,29,3,.268,64,1.000,.000,0.0%,66.7%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.1,100%,,0%,huffda01
Travis Ishikawa,30,81,.320,103,.367,.123,2.5%,28.4%,7.4%,35.3%,21.6%,35.3%,0.28,27.7%,40.4%,31.9%,0.0,0.1%,1.9,19%,,44%,ishiktr01
George Kontos,29,2,.000,-373,.000,.000,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.5,,,,kontoge01
Tim Lincecum,30,53,.131,-53,.167,.000,0.0%,49.1%,7.6%,8.7%,56.5%,4.3%,4.33,4.3%,65.2%,30.4%,-1.0,-0.8%,-10.1,25%,,33%,linceti01
Jean Machi,32,2,.912,991,.000,.000,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,,0.0%,100.0%,0.0%,0.3,0.2%,1.2,,,,machije01
Mike Morse,32,482,.360,133,.348,.196,3.3%,25.1%,6.4%,27.1%,45.8%,22.4%,0.84,19.7%,57.1%,23.2%,2.6,2.0%,14.9,22%,,33%,morsemi01
Angel Pagan,32,413,.336,113,.339,.089,0.7%,12.8%,6.1%,29.0%,45.8%,17.7%,0.85,24.2%,57.2%,18.7%,0.8,0.4%,8.7,38%,73%,46%,paganan01
Joe Panik,23,287,.321,103,.343,.063,0.4%,11.5%,5.6%,26.1%,51.7%,14.3%,1.08,24.3%,59.1%,16.5%,0.1,0.0%,0.2,31%,,51%,panikjo01
Jake Peavy,33,24,.000,-147,.000,.000,0.0%,58.3%,0.0%,0.0%,60.0%,30.0%,2.00,10.0%,80.0%,10.0%,-0.4,-0.3%,-4.6,,,50%,peavyja01
Hunter Pence,31,708,.350,125,.318,.168,2.8%,18.4%,7.3%,21.0%,52.4%,18.2%,1.10,25.7%,57.6%,16.7%,3.9,3.2%,34.5,40%,68%,51%,pencehu01
Juan Perez,27,109,.220,30,.216,.100,0.9%,22.9%,4.6%,19.5%,41.6%,22.1%,0.74,28.2%,54.9%,16.9%,-1.1,-0.7%,-10.1,35%,0%,82%,perezju02
Yusmeiro Petit,29,27,.058,-101,.083,.000,0.0%,48.2%,3.7%,0.0%,84.6%,0.0%,11.00,23.1%,53.8%,23.1%,-0.4,-0.3%,-4.3,100%,,25%,petityu01
Buster Posey,27,605,.379,148,.319,.179,3.6%,11.4%,7.8%,29.2%,42.8%,24.7%,0.75,28.5%,56.8%,14.7%,4.9,4.3%,33.7,25%,0%,36%,poseybu01
Guillermo Quiroz,32,3,.000,-137,.000,.000,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,0.00,33.3%,33.3%,33.3%,0.0,0.0%,-0.6,,,,quirogu01
Hector Sanchez,24,177,.240,45,.266,.104,1.7%,31.1%,4.5%,25.9%,34.8%,30.4%,0.53,35.1%,55.0%,9.9%,-0.6,-0.4%,-4.6,13%,0%,30%,sanchhe01
Pablo Sandoval,27,638,.337,116,.300,.136,2.5%,13.3%,6.1%,25.9%,43.3%,22.4%,0.77,21.8%,58.0%,20.2%,-0.7,-0.2%,11.8,27%,,21%,sandopa01
Marco Scutaro,38,13,.133,-48,.125,.000,0.0%,23.1%,7.7%,22.2%,44.4%,11.1%,1.00,22.2%,66.7%,11.1%,-0.3,-0.2%,-1.5,50%,,100%,scutama01
Andrew Susac,24,95,.348,124,.368,.193,3.2%,29.5%,7.4%,35.0%,36.7%,18.3%,0.58,27.1%,57.6%,15.3%,0.9,0.7%,8.5,36%,,63%,susacan01
Dan Uggla,34,12,.058,-94,.000,.000,0.0%,50.0%,8.3%,0.0%,60.0%,40.0%,1.50,0.0%,100.0%,0.0%,-0.3,-0.4%,-2.0,100%,,100%,ugglada01
Ryan Vogelsong,36,66,.141,-36,.171,.033,0.0%,30.3%,3.0%,7.0%,67.4%,7.0%,2.90,22.5%,57.5%,20.0%,-0.9,-0.7%,-10.0,30%,,0%,vogelry01
League Average,,,.315,92,.299,.132,2.2%,20.9%,7.5%,25.4%,45.1%,20.7%,0.86,26.4%,55.9%,17.7%,,,,29%,71%,40%,-9999
Team Total,,6087,.316,99,.304,.133,2.2%,20.5%,7.0%,25.0%,44.0%,22.2%,0.81,26.7%,56.1%,17.2%,5.5,4.1%,39.2,30%,67%,41%,-9999
