--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Joey Bart,25,291,.296,85,.326,.149,3.8%,38.5%,8.9%,86.6,43.2%,21.5%,43.6%,24.2%,0.79,38.3%,45.0%,16.8%,-1.7,-0.7%,-8.8,30%,67%,29%,bartjo01
Brandon Belt,34,298,.306,92,.277,.138,2.7%,27.2%,12.4%,86.7,38.5%,22.4%,26.4%,37.9%,0.38,27.0%,51.7%,21.3%,-2.0,-1.0%,-12.0,19%,100%,44%,beltbr01
Lewis Brinson,28,39,.294,78,.158,.306,7.7%,35.9%,5.1%,83.8,34.8%,21.7%,39.1%,17.4%,0.75,43.5%,47.8%,8.7%,0.0,0.0%,-1.3,40%,100%,0%,brinsle01
Willie Calhoun,27,9,.177,-1,.167,.000,0.0%,22.2%,11.1%,87.1,50.0%,16.7%,33.3%,16.7%,0.50,66.7%,16.7%,16.7%,-0.2,0.0%,-2.0,0%,,50%,calhowi01
Curt Casali,33,126,.318,101,.300,.139,3.2%,28.6%,11.9%,87.1,40.5%,27.0%,29.7%,35.1%,0.42,36.5%,47.3%,16.2%,0.3,0.2%,-0.6,24%,,30%,casalcu01
Brandon Crawford,35,458,.294,84,.280,.113,2.0%,21.4%,8.5%,87.8,35.4%,21.7%,46.6%,23.6%,0.88,30.4%,52.4%,17.3%,-0.1,-0.5%,-9.2,31%,50%,40%,crawfbr01
J.D. Davis,29,158,.375,142,.384,.234,5.1%,35.4%,12.0%,91.0,53.1%,23.5%,40.7%,25.9%,0.69,23.5%,58.0%,18.5%,0.9,0.0%,2.5,24%,,28%,davisjd01
Austin Dean,28,9,.467,207,.375,.000,0.0%,0.0%,11.1%,83.6,25.0%,12.5%,87.5%,0.0%,7.00,25.0%,50.0%,25.0%,0.0,0.0%,0.3,25%,,,deanau01
Mauricio Dubón,27,49,.283,75,.214,.152,4.1%,8.2%,2.0%,83.9,38.6%,15.9%,34.1%,36.4%,0.54,15.9%,65.9%,18.2%,-0.1,0.0%,-2.3,67%,,60%,dubonma01
