--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jesús Aguilar,24,38,.190,0,.190,.000,0.0%,34.2%,10.5%,23.8%,47.6%,23.8%,0.91,33.3%,38.1%,28.6%,-0.3,-0.1%,-4.1,25%,,0%,aguilje01
Mike Aviles,33,374,.284,67,.271,.096,1.3%,13.1%,3.5%,23.2%,43.1%,19.3%,0.83,31.3%,47.7%,21.0%,-2.2,-1.5%,-20.2,34%,74%,53%,avilemi01
Trevor Bauer,23,2,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.4,,,,bauertr01
Michael Bourn,31,487,.306,87,.337,.104,0.6%,23.4%,7.2%,23.6%,49.3%,21.2%,1.05,24.6%,56.2%,19.1%,-0.6,-0.5%,-6.7,36%,63%,39%,bournmi01
Michael Brantley,27,676,.407,155,.333,.178,3.0%,8.3%,7.7%,30.5%,47.1%,19.3%,0.90,29.1%,55.8%,15.1%,4.3,2.2%,44.4,31%,96%,40%,brantmi02
Asdrúbal Cabrera,28,416,.316,92,.286,.140,2.2%,19.0%,6.5%,21.8%,38.6%,27.7%,0.66,35.9%,49.3%,14.8%,-1.6,-1.0%,-10.5,38%,78%,54%,cabreas01
Carlos Carrasco,27,2,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,carraca01
Lonnie Chisenhall,25,533,.342,112,.328,.146,2.4%,18.6%,7.3%,26.2%,39.1%,25.6%,0.66,28.6%,53.8%,17.6%,0.7,0.6%,14.5,29%,75%,39%,chiselo01
Chris Dickerson,32,112,.299,75,.345,.102,1.8%,33.9%,10.7%,22.6%,45.2%,27.4%,0.88,29.0%,54.8%,16.1%,-0.6,-0.2%,-4.9,30%,100%,63%,dickech01
Jason Giambi,43,70,.235,32,.130,.133,2.9%,17.1%,12.9%,20.8%,31.3%,31.3%,0.45,21.3%,55.3%,23.4%,-0.5,-0.3%,-7.0,6%,,50%,giambja01
Chris Gimenez,31,10,.069,-89,.000,.000,0.0%,30.0%,10.0%,33.3%,16.7%,16.7%,0.20,0.0%,50.0%,50.0%,-0.2,-0.2%,-2.0,0%,,,gimench01
Yan Gomes,26,518,.348,117,.326,.194,4.1%,23.2%,4.6%,28.0%,37.7%,27.5%,0.61,27.2%,53.8%,19.0%,0.4,-0.2%,7.4,28%,,27%,gomesya01
Tyler Holt,25,76,.262,58,.413,.028,0.0%,32.9%,4.0%,17.0%,46.8%,23.4%,1.00,14.9%,61.7%,23.4%,-0.4,-0.4%,-5.0,17%,50%,67%,holtty01
T.J. House,24,2,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.5,,,,housetj01
Elliot Johnson,30,20,.134,-48,.167,.105,0.0%,35.0%,0.0%,15.4%,38.5%,38.5%,0.71,15.4%,53.8%,30.8%,-0.2,-0.1%,-2.7,50%,,,johnsel02
Jason Kipnis,27,555,.306,81,.288,.090,1.1%,18.0%,9.0%,25.1%,45.9%,23.3%,0.87,26.1%,55.5%,18.3%,-1.0,-0.5%,-11.5,33%,88%,55%,kipnija01
Corey Kluber,28,6,.182,-27,.333,.000,0.0%,33.3%,0.0%,25.0%,50.0%,0.0%,2.00,25.0%,75.0%,0.0%,-0.1,0.0%,-0.5,0%,,,klubeco01
George Kottaras,31,27,.450,197,.375,.429,11.1%,40.7%,14.8%,16.7%,33.3%,33.3%,0.67,50.0%,41.7%,8.3%,0.2,0.1%,0.9,14%,,67%,kottage01
Justin Masterson,29,4,.000,-220,.000,.000,0.0%,25.0%,0.0%,0.0%,66.7%,0.0%,,66.7%,33.3%,0.0%,0.0,0.0%,-0.6,,,,masteju01
Zach McAllister,26,2,.454,196,.500,.000,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.00,0.0%,50.0%,50.0%,0.0,0.0%,-0.6,0%,,,mcallza01
Nyjer Morgan,33,52,.419,162,.371,.098,1.9%,11.5%,13.5%,23.1%,41.0%,15.4%,0.89,33.3%,47.2%,19.4%,0.4,0.2%,4.7,33%,100%,50%,morgany01
David Murphy,32,462,.318,97,.285,.123,1.7%,13.2%,7.8%,23.4%,46.8%,21.8%,0.89,28.8%,51.7%,19.6%,0.8,0.2%,13.0,23%,40%,44%,murphda07
Roberto Perez,25,95,.312,90,.379,.094,1.1%,27.4%,5.3%,23.4%,42.2%,17.2%,0.87,20.3%,62.5%,17.2%,0.1,0.1%,-3.7,33%,,10%,perezro02
Ryan Raburn,33,212,.244,40,.245,.097,1.9%,24.1%,6.1%,20.4%,44.9%,25.9%,0.83,28.0%,52.4%,19.6%,-1.2,-0.7%,-15.0,28%,,43%,raburry01
José Ramírez,21,266,.297,72,.297,.084,0.8%,13.2%,4.9%,24.0%,44.7%,20.3%,0.94,22.8%,61.9%,15.3%,-0.3,-0.6%,-6.7,34%,91%,42%,ramirjo01
Danny Salazar,24,3,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.4,,,,salazda01
Carlos Santana,28,660,.358,125,.249,.196,4.1%,18.8%,17.1%,22.1%,41.2%,22.6%,0.71,43.6%,43.8%,12.6%,2.5,1.6%,17.7,19%,71%,44%,santaca01
Justin Sellers,28,21,.270,77,.250,.000,0.0%,19.1%,14.3%,14.3%,42.9%,21.4%,1.00,14.3%,71.4%,14.3%,-0.1,0.0%,-0.4,14%,0%,50%,selleju01
JB Shuck,27,26,.070,-89,.080,.000,0.0%,3.9%,0.0%,12.0%,52.0%,24.0%,1.08,20.0%,60.0%,20.0%,-0.6,-0.2%,-6.3,33%,,50%,shuckja01
Nick Swisher,33,401,.285,71,.273,.122,2.0%,27.7%,9.0%,29.9%,37.8%,24.0%,0.62,26.2%,59.1%,14.7%,-0.4,-0.4%,-6.6,24%,,21%,swishni01
Zach Walters,24,94,.285,71,.163,.261,7.5%,34.0%,5.3%,21.4%,42.9%,26.8%,0.75,43.6%,43.6%,12.7%,0.1,-0.1%,-4.6,13%,,50%,walteza01
League Average,,,.320,98,.296,.137,2.3%,20.0%,7.7%,23.8%,44.2%,23.0%,0.82,28.8%,54.2%,17.0%,,,,29%,74%,41%,-9999
