--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Logan Allen,24,1,.000,-126,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.5,,,,allenlo01
Jake Bauers,25,113,.262,61,.239,.090,1.8%,23.9%,10.6%,89.1,42.5%,30.1%,35.6%,20.5%,0.57,28.8%,47.9%,23.3%,-0.4,-0.3%,-5.0,17%,0%,33%,bauerja01
Shane Bieber,26,6,.000,-126,.000,.000,0.0%,50.0%,0.0%,80.6,0.0%,0.0%,66.7%,33.3%,2.00,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.9,,,,biebesh01
Bobby Bradley,25,279,.316,97,.263,.237,5.7%,35.5%,9.0%,89.0,40.9%,22.8%,40.9%,30.2%,0.69,31.5%,54.4%,14.1%,-0.9,-0.1%,0.8,30%,,29%,bradlbo01
Yu Chang,25,251,.301,86,.281,.198,3.6%,27.5%,4.4%,87.1,33.9%,24.3%,35.5%,27.2%,0.55,25.4%,53.3%,21.3%,0.3,-0.6%,-0.6,38%,100%,63%,changyu01
Aaron Civale,26,2,.346,118,,.000,0.0%,50.0%,50.0%,,,,,,,,,,0.0,0.0%,0.0,0%,,,civalaa01
Ernie Clement,25,133,.278,72,.253,.107,2.3%,14.3%,5.3%,84.1,24.8%,26.7%,35.2%,28.6%,0.59,19.0%,57.1%,23.8%,-1.1,-0.6%,-7.4,37%,0%,40%,clemeer01
Ben Gamel,29,17,.195,11,.125,.071,0.0%,35.3%,17.7%,93.4,50.0%,25.0%,37.5%,25.0%,0.60,50.0%,50.0%,0.0%,-0.2,-0.2%,-1.9,25%,,,gamelbe01
Andrés Giménez,22,210,.287,67,.273,.133,2.4%,25.7%,5.2%,85.4,30.7%,14.5%,49.3%,29.0%,1.01,36.2%,45.7%,18.1%,-0.2,-0.3%,-3.0,32%,100%,54%,gimenan01
Austin Hedges,28,312,.233,36,.214,.129,3.2%,27.9%,4.8%,82.9,30.6%,20.6%,33.5%,28.7%,0.55,30.9%,53.1%,15.9%,-0.9,-0.8%,-22.4,39%,100%,31%,hedgeau01
Sam Hentges,24,1,.000,-126,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,hentgsa01
César Hernández,31,420,.324,103,.256,.199,4.3%,21.4%,9.1%,87.8,36.2%,24.7%,44.1%,25.3%,0.81,25.8%,58.5%,15.7%,0.2,0.0%,0.4,38%,,36%,hernace02
Daniel Johnson,25,81,.276,66,.283,.156,4.9%,33.3%,4.9%,89.3,44.0%,26.0%,28.0%,34.0%,0.39,36.0%,48.0%,16.0%,-0.2,-0.1%,-4.2,26%,100%,33%,johnsda07
Ryan Lavarnway,33,30,.274,66,.389,.107,0.0%,33.3%,3.3%,83.2,21.1%,26.3%,36.8%,15.8%,0.64,42.1%,42.1%,15.8%,-0.3,-0.1%,-1.9,25%,,25%,lavarry01
Jordan Luplow,27,121,.332,114,.167,.265,5.8%,25.6%,17.4%,87.3,34.3%,11.9%,31.3%,44.8%,0.47,28.4%,55.2%,16.4%,0.2,0.1%,5.4,15%,0%,36%,luplojo01
Phil Maton,28,1,.000,-126,.000,.000,0.0%,0.0%,0.0%,90.2,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,matonph01
Triston McKenzie,23,2,.446,188,.500,.000,0.0%,0.0%,0.0%,95.0,50.0%,50.0%,50.0%,0.0%,1.00,0.0%,50.0%,50.0%,-0.1,0.0%,-0.7,0%,,,mckentr01
J.C. Mejía,24,1,.000,-126,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,mejiaje02
Oscar Mercado,26,238,.316,94,.253,.145,2.5%,17.7%,8.8%,85.6,28.4%,19.7%,42.8%,23.7%,0.76,31.2%,50.3%,18.5%,-0.4,-0.2%,-0.7,31%,88%,36%,mercaos01
Owen Miller,24,202,.254,52,.261,.105,2.0%,26.7%,4.5%,86.3,33.1%,24.6%,55.8%,15.9%,1.26,23.9%,52.9%,23.2%,-1.1,-0.6%,-15.9,29%,100%,40%,milleow01
Eli Morgan,25,2,.000,-126,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,-0.1%,-0.6,,,,morgael01
Josh Naylor,24,250,.313,94,.287,.146,2.8%,18.0%,5.6%,89.8,42.6%,23.9%,50.5%,17.0%,1.02,28.3%,53.5%,18.2%,-0.8,-0.6%,-8.8,31%,100%,48%,naylojo01
Roberto Perez,32,161,.256,53,.179,.170,4.4%,34.8%,10.6%,87.9,41.4%,17.2%,49.4%,26.4%,1.08,24.1%,58.6%,17.2%,-1.2,-0.5%,-8.0,19%,100%,0%,perezro02
Cal Quantrill,26,2,.398,155,.500,.000,0.0%,0.0%,0.0%,87.5,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.0,0%,,,quantca01
Harold Ramírez,26,361,.320,99,.301,.130,1.9%,15.5%,3.9%,91.3,47.2%,22.0%,53.1%,18.5%,1.13,22.0%,58.0%,19.9%,0.2,0.4%,1.5,25%,75%,41%,ramirha02
José Ramírez,28,636,.378,137,.256,.272,5.7%,13.7%,11.3%,89.9,42.9%,24.0%,36.0%,27.0%,0.56,41.6%,48.8%,9.6%,3.8,1.8%,40.3,40%,87%,69%,ramirjo01
Wilson Ramos,33,35,.297,84,.217,.194,5.7%,20.0%,8.6%,88.2,40.0%,20.0%,60.0%,16.0%,1.50,24.0%,56.0%,20.0%,-0.1,0.0%,-1.8,13%,,33%,ramoswi01
Franmil Reyes,25,466,.355,124,.314,.268,6.4%,32.0%,9.2%,92.0,49.3%,21.7%,46.3%,25.0%,0.86,27.6%,57.4%,15.1%,-0.3,0.4%,11.2,22%,80%,24%,reyesfr01
René Rivera,37,63,.303,87,.379,.164,3.2%,38.1%,6.4%,84.9,44.1%,20.6%,38.2%,26.5%,0.72,23.5%,61.8%,14.7%,0.3,0.3%,0.3,25%,,20%,riverre01
Amed Rosario,25,588,.324,99,.340,.127,1.9%,20.4%,5.3%,88.8,43.9%,25.1%,51.4%,18.9%,1.06,19.1%,61.1%,19.8%,-0.2,0.0%,0.4,37%,100%,52%,rosaram01
Eddie Rosario,29,306,.303,85,.280,.134,2.3%,15.4%,5.6%,87.9,35.6%,25.3%,39.8%,26.1%,0.68,32.8%,51.0%,16.2%,-0.1,-0.1%,5.1,27%,82%,36%,rosared01
Myles Straw,26,268,.346,111,.353,.092,0.8%,18.7%,10.8%,87.2,28.6%,36.5%,37.0%,22.8%,0.59,19.0%,56.1%,24.9%,-0.8,-0.2%,-3.8,42%,93%,48%,strawmy01
Bradley Zimmer,28,348,.311,89,.347,.117,2.3%,35.1%,8.6%,87.7,42.8%,23.2%,46.4%,21.5%,0.97,33.7%,49.2%,17.1%,0.0,0.4%,-4.7,33%,83%,42%,zimmebr01
League Average,,,.320,99,.290,.168,3.3%,23.0%,8.5%,88.4,39.3%,23.8%,42.5%,25.8%,0.75,28.7%,53.6%,17.7%,,,,31%,77%,40%,-9999
Team Total,,5907,.314,94,.282,.169,3.4%,23.5%,7.7%,88.2,38.9%,23.6%,43.4%,24.2%,0.78,28.4%,54.2%,17.4%,-4.6,-2.2%,-28.7,32%,87%,43%,-9999
