--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Michael Brantley,24,496,.313,94,.303,.118,1.4%,15.3%,6.9%,21.7%,47.5%,24.5%,0.93,27.4%,57.4%,15.1%,0.6,0.2%,0.9,37%,72%,42%,brantmi02
Travis Buck,27,160,.282,74,.271,.114,1.3%,18.8%,5.0%,20.8%,46.7%,24.2%,0.88,25.0%,61.7%,13.3%,-0.2,-0.1%,-1.7,36%,50%,56%,bucktr01
Asdrúbal Cabrera,25,667,.349,120,.302,.187,3.8%,17.8%,6.6%,16.2%,44.0%,32.5%,0.81,30.2%,54.2%,15.6%,1.6,1.4%,21.4,32%,77%,44%,cabreas01
Orlando Cabrera,36,344,.269,62,.265,.077,1.2%,11.6%,3.8%,18.4%,46.9%,25.7%,0.91,26.7%,60.1%,13.2%,-1.1,-0.9%,-15.6,33%,75%,41%,cabreor01
Carlos Carrasco,24,7,.000,-225,.000,.000,0.0%,42.9%,0.0%,0.0%,50.0%,0.0%,,25.0%,75.0%,0.0%,-0.1,-0.1%,-2.0,,,,carraca01
Ezequiel Carrera,24,226,.281,72,.293,.069,0.0%,15.5%,7.1%,16.7%,48.9%,17.8%,1.21,17.8%,67.2%,14.9%,0.3,0.5%,-4.9,39%,67%,59%,carreez01
Lonnie Chisenhall,22,223,.315,96,.299,.160,3.1%,22.0%,3.6%,22.4%,37.6%,27.3%,0.61,29.7%,53.9%,16.4%,0.5,-0.2%,-4.1,35%,100%,65%,chiselo01
Shin-Soo Choo,28,358,.330,107,.317,.131,2.2%,21.8%,10.1%,22.3%,45.0%,27.7%,0.82,26.9%,61.3%,11.8%,-0.2,-0.1%,2.8,25%,71%,42%,choosh01
Trevor Crowe,27,32,.291,63,.316,.036,0.0%,28.1%,12.5%,31.6%,57.9%,10.5%,1.38,36.8%,42.1%,21.1%,-0.3,0.0%,-1.4,60%,100%,40%,crowetr01
Jason Donald,26,143,.349,123,.423,.083,0.7%,24.5%,4.9%,25.5%,52.0%,16.3%,1.09,23.5%,56.1%,20.4%,-0.3,-0.4%,-1.9,24%,60%,36%,donalja01
Shelley Duncan,31,247,.351,125,.297,.224,4.5%,22.7%,7.7%,17.8%,34.9%,34.9%,0.54,41.4%,48.5%,10.1%,0.7,-0.3%,12.6,26%,0%,31%,duncash01
Adam Everett,34,67,.241,39,.283,.017,0.0%,20.9%,7.5%,18.8%,25.0%,31.3%,0.35,33.3%,47.9%,18.8%,-0.4,-0.4%,-7.9,33%,100%,57%,everead01
Kosuke Fukudome,34,258,.286,79,.298,.122,1.9%,20.5%,5.8%,18.7%,47.6%,25.7%,0.92,25.7%,60.4%,13.9%,-0.7,0.0%,-9.2,29%,33%,35%,fukudko01
Travis Hafner,34,368,.358,128,.332,.169,3.5%,21.2%,9.8%,17.7%,44.4%,33.9%,0.80,28.6%,60.5%,10.9%,2.8,1.5%,16.1,23%,,26%,hafnetr01
Jack Hannahan,31,366,.325,104,.308,.138,2.2%,21.9%,10.4%,16.7%,50.8%,24.8%,1.08,24.4%,61.4%,14.2%,1.2,0.6%,8.4,27%,67%,36%,hannaja01
Jerad Head,28,25,.230,28,.158,.042,0.0%,20.0%,0.0%,10.5%,63.2%,15.8%,1.71,36.8%,36.8%,26.3%,-0.1,0.0%,-1.5,40%,100%,,headje01
Roberto Hernandez,30,3,.000,-132,.000,.000,0.0%,66.7%,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.4,,,,carmofa01
Frank Herrmann,27,1,.000,-132,.000,.000,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.4,,,,herrmfr01
Austin Kearns,31,174,.265,69,.280,.087,1.2%,27.6%,10.3%,24.0%,51.0%,19.2%,1.10,33.7%,56.7%,9.6%,-1.1,-0.9%,-9.2,30%,0%,43%,kearnau01
Jason Kipnis,24,150,.375,134,.313,.235,4.7%,22.7%,7.3%,20.4%,44.7%,26.2%,0.85,21.4%,63.1%,15.5%,-0.2,-0.3%,5.5,40%,100%,54%,kipnija01
Matt LaPorta,26,385,.323,102,.293,.165,2.9%,22.6%,6.0%,18.9%,34.1%,35.9%,0.52,28.5%,58.5%,13.0%,-0.8,-1.1%,10.1,22%,100%,35%,laporma01
Lou Marson,25,272,.278,70,.313,.066,0.4%,25.0%,8.8%,20.7%,54.2%,20.1%,1.21,16.2%,65.4%,18.4%,-1.5,-0.9%,-12.6,31%,67%,36%,marsolo01
