--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Justin Masterson,26,6,.151,-22,.250,.000,0.0%,33.3%,0.0%,50.0%,50.0%,0.0%,1.00,25.0%,75.0%,0.0%,0.0,0.0%,-0.6,0%,,,masteju01
Cord Phelps,24,80,.241,40,.189,.099,1.3%,21.3%,10.0%,18.2%,40.0%,36.4%,0.69,30.9%,60.0%,9.1%,-0.5,-0.3%,-3.9,31%,100%,36%,phelpco01
Carlos Santana,25,658,.350,123,.263,.217,4.1%,20.2%,14.7%,15.0%,44.8%,30.3%,0.82,33.3%,54.0%,12.7%,0.4,-0.3%,9.1,28%,63%,40%,santaca01
Grady Sizemore,28,295,.301,89,.284,.198,3.4%,28.8%,6.1%,18.3%,40.3%,29.0%,0.68,28.5%,60.8%,10.8%,-1.9,-1.3%,-7.2,32%,0%,39%,sizemgr01
Mitch Talbot,27,3,.000,-248,.000,.000,0.0%,33.3%,0.0%,0.0%,50.0%,0.0%,,0.0%,50.0%,50.0%,-0.1,-0.1%,-0.6,,,,talbomi01
Jim Thome,40,82,.377,142,.400,.183,3.7%,28.1%,13.4%,25.0%,47.9%,22.9%,0.92,20.8%,54.2%,25.0%,-0.1,-0.2%,1.8,28%,,33%,thomeji01
Josh Tomlin,26,2,.856,489,1.000,.000,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.2,0.2%,1.6,33%,,,tomlijo01
Luis Valbuena,25,44,.228,30,.242,.070,2.3%,20.5%,2.3%,8.8%,44.1%,35.3%,0.83,23.5%,52.9%,23.5%,-0.4,-0.6%,-4.2,25%,100%,50%,valbulu01
League Average,,,.328,100,.294,.150,2.6%,18.2%,8.1%,17.9%,43.7%,28.8%,0.80,28.2%,55.0%,16.7%,,,,30%,72%,41%,-9999
Team Total,,6142,.318,99,.297,.146,2.5%,20.7%,8.0%,18.8%,44.8%,27.7%,0.83,27.9%,58.0%,14.1%,-1.8,-4.2%,2.0,30%,68%,41%,-9999
