--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Gabriel Arias,22,57,.325,108,.267,.128,1.8%,28.1%,14.0%,85.1,34.4%,18.8%,65.6%,3.1%,2.33,25.0%,53.1%,21.9%,0.2,-0.1%,1.1,44%,100%,38%,ariasga01
Will Benson,24,61,.226,38,.278,.018,0.0%,31.2%,4.9%,83.1,27.0%,18.9%,45.9%,18.9%,0.89,37.8%,45.9%,16.2%,-0.2,-0.1%,-4.1,47%,,43%,bensowi01
Bobby Bradley,26,17,.106,-48,.250,.000,0.0%,52.9%,0.0%,87.5,50.0%,25.0%,62.5%,12.5%,1.67,37.5%,37.5%,25.0%,-0.3,-0.2%,-3.2,50%,,,bradlbo01
Will Brennan,24,45,.382,154,.378,.143,2.2%,8.9%,4.4%,89.8,43.2%,26.3%,52.6%,21.1%,1.11,36.8%,52.6%,10.5%,0.4,0.0%,6.0,29%,67%,60%,brennwi02
Alex Call,27,16,.278,77,.250,.000,0.0%,25.0%,25.0%,85.4,25.0%,25.0%,50.0%,25.0%,1.00,37.5%,62.5%,0.0%,0.0,0.0%,-0.1,29%,,67%,callal02
Yu Chang,26,10,.000,-125,.000,.000,0.0%,70.0%,0.0%,98.8,66.7%,0.0%,0.0%,100.0%,0.00,33.3%,66.7%,0.0%,-0.4,-0.2%,-3.4,,,,changyu01
Ernie Clement,26,161,.232,45,.238,.021,0.0%,14.9%,6.8%,83.9,27.4%,20.2%,46.0%,25.8%,0.90,23.4%,50.8%,25.8%,-1.1,-0.6%,-11.3,32%,0%,38%,clemeer01
Tyler Freeman,23,86,.288,82,.284,.039,0.0%,12.8%,4.7%,85.9,27.7%,19.4%,52.2%,17.9%,1.09,13.4%,56.7%,29.9%,-0.2,-0.1%,-3.3,32%,100%,42%,freemty01
Andrés Giménez,23,557,.373,142,.353,.169,3.1%,20.1%,6.1%,85.5,37.8%,24.4%,44.3%,19.4%,0.86,35.2%,48.4%,16.3%,4.3,2.4%,30.0,26%,87%,49%,gimenan01
Oscar Gonzalez,24,382,.347,128,.345,.166,2.9%,19.6%,3.9%,88.6,40.4%,26.6%,49.8%,18.3%,0.99,31.1%,53.3%,15.6%,0.8,0.6%,-0.4,25%,33%,35%,gonzaos01
Austin Hedges,29,338,.231,40,.193,.085,2.1%,23.1%,7.4%,81.4,22.4%,23.6%,35.8%,24.0%,0.61,31.4%,51.5%,17.0%,-1.8,-0.6%,-24.9,26%,100%,17%,hedgeau01
Nolan Jones,24,94,.298,91,.358,.128,2.1%,33.0%,8.5%,88.5,49.1%,32.7%,36.4%,25.5%,0.59,29.1%,58.2%,12.7%,-0.1,-0.1%,1.7,30%,,33%,jonesno01
Steven Kwan,24,638,.349,126,.323,.101,0.9%,9.4%,9.7%,84.7,20.9%,27.9%,41.8%,23.6%,0.73,26.7%,49.3%,24.0%,0.8,0.2%,14.3,36%,79%,46%,kwanst01
Bryan Lavastida,23,15,.197,18,.125,.000,0.0%,26.7%,20.0%,87.6,37.5%,0.0%,62.5%,37.5%,1.67,12.5%,50.0%,37.5%,-0.2,-0.1%,-1.9,0%,,,lavasbr01
Sandy Leon,33,21,.282,80,.182,.000,0.0%,19.1%,28.6%,91.9,63.6%,36.4%,18.2%,27.3%,0.22,27.3%,54.5%,18.2%,0.0,0.0%,-0.7,0%,,100%,leonsa01
Luke Maile,31,206,.291,86,.291,.105,1.5%,26.2%,9.2%,84.5,25.4%,20.8%,37.7%,32.3%,0.60,25.4%,58.5%,16.2%,-1.0,-0.7%,-5.5,27%,,27%,mailelu01
Oscar Mercado,27,127,.279,80,.236,.167,3.2%,22.1%,3.9%,86.3,29.0%,18.3%,32.3%,35.5%,0.48,29.0%,59.1%,11.8%,-0.5,-0.3%,-4.3,39%,50%,40%,mercaos01
Owen Miller,25,472,.292,86,.290,.108,1.3%,19.7%,6.8%,85.8,31.3%,26.8%,43.8%,22.9%,0.78,24.4%,56.8%,18.8%,-0.9,-0.6%,-5.2,33%,100%,37%,milleow01
Bo Naylor,22,8,.000,-125,.000,.000,0.0%,62.5%,0.0%,93.9,33.3%,33.3%,0.0%,66.7%,0.00,0.0%,66.7%,33.3%,-0.2,0.0%,-1.5,,,,naylobo01
Josh Naylor,25,498,.340,120,.268,.196,4.0%,16.1%,7.6%,89.4,43.0%,20.9%,49.5%,22.5%,0.98,36.4%,48.4%,15.2%,2.8,1.9%,14.6,19%,86%,22%,naylojo01
Richie Palacios,25,123,.261,61,.280,.054,0.0%,16.3%,7.3%,84.4,21.7%,24.7%,44.1%,17.2%,0.80,32.3%,49.5%,18.3%,-0.4,-0.2%,-6.5,19%,100%,25%,palacri01
José Ramírez,29,685,.365,140,.279,.235,4.2%,12.0%,10.1%,87.7,37.0%,24.6%,32.6%,28.6%,0.48,36.9%,50.2%,12.9%,3.1,1.5%,43.0,29%,74%,55%,ramirjo01
Franmil Reyes,26,280,.270,70,.309,.137,3.2%,37.1%,5.0%,92.2,47.5%,23.0%,46.0%,21.1%,0.85,31.1%,46.0%,23.0%,-0.8,-0.4%,-15.1,24%,100%,39%,reyesfr01
Amed Rosario,26,670,.319,104,.326,.121,1.6%,16.6%,3.7%,88.4,38.4%,25.7%,52.5%,16.8%,1.10,20.2%,57.2%,22.6%,0.1,0.1%,8.0,38%,82%,60%,rosaram01
Myles Straw,27,596,.269,65,.261,.052,0.0%,14.6%,9.1%,86.7,26.5%,26.2%,46.9%,22.5%,0.89,15.0%,57.7%,27.3%,-3.7,-2.3%,-27.8,41%,95%,52%,strawmy01
League Average,,,.312,99,.289,.148,2.8%,22.2%,8.0%,88.2,38.6%,23.9%,42.5%,25.5%,0.75,29.1%,52.3%,18.7%,,,,30%,75%,41%,-9999
Team Total,,6163,.313,100,.294,.129,2.1%,18.2%,7.3%,86.7,33.3%,24.7%,44.1%,22.6%,0.80,28.0%,52.6%,19.3%,0.8,0.3%,-0.4,31%,82%,43%,-9999
