--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Riley Adams,25,90,.403,157,.415,.197,2.2%,31.1%,14.4%,89.2,39.5%,25.6%,48.8%,25.6%,0.95,18.6%,60.5%,20.9%,1.5,0.0%,7.2,24%,,42%,adamsri03
Joan Adon,22,2,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.8,,,,adonjo01
Humberto Arteaga,27,4,.000,-128,.000,.000,0.0%,0.0%,0.0%,73.5,0.0%,25.0%,50.0%,25.0%,1.00,25.0%,75.0%,0.0%,0.0,0.0%,-0.6,,,,arteahu01
Alex Avila,34,111,.312,93,.314,.157,0.9%,33.3%,17.1%,87.3,43.4%,22.6%,41.5%,32.1%,0.73,35.8%,54.7%,9.4%,-0.6,-0.2%,-4.5,11%,,13%,avilaal01
Tres Barrera,26,107,.345,117,.328,.121,1.9%,20.6%,11.2%,82.0,24.6%,27.5%,47.8%,14.5%,0.92,21.7%,60.9%,17.4%,0.4,0.0%,2.3,16%,,33%,barretr01
Josh Bell,28,568,.370,134,.276,.215,4.8%,17.8%,11.4%,92.5,52.1%,22.0%,54.3%,21.5%,1.19,25.5%,59.0%,15.5%,0.7,-0.3%,11.2,28%,,39%,belljo02
Starlin Castro,31,346,.318,99,.339,.092,0.9%,17.9%,7.5%,88.4,40.2%,24.1%,49.8%,21.0%,0.99,26.5%,55.3%,18.3%,0.3,0.3%,-5.1,20%,0%,22%,castrst01
Sam Clay,28,2,.000,-128,.000,.000,0.0%,50.0%,0.0%,26.7,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.3,,,,claysa01
Patrick Corbin,31,63,.146,-40,.241,.000,0.0%,38.1%,4.8%,73.0,19.4%,11.1%,55.6%,8.3%,2.86,2.8%,69.4%,27.8%,-0.8,-0.3%,-10.1,10%,,0%,corbipa01
Alcides Escobar,34,349,.330,104,.337,.116,1.2%,16.1%,4.9%,80.4,21.0%,28.8%,42.3%,20.6%,0.77,27.0%,51.7%,21.3%,0.3,0.0%,7.9,43%,100%,43%,escobal02
Paolo Espino,34,33,.177,-13,.333,.000,0.0%,45.5%,0.0%,76.0,22.2%,27.8%,38.9%,11.1%,1.00,22.2%,72.2%,5.6%,-0.6,-0.1%,-6.4,40%,,0%,espinpa01
Erick Fedde,28,43,.018,-143,.000,.000,0.0%,32.6%,2.3%,67.5,14.3%,7.1%,50.0%,10.7%,2.33,7.1%,60.7%,32.1%,-0.7,-0.1%,-8.6,0%,,,feddeer01
Luis Garcia,21,247,.295,84,.273,.169,2.4%,17.4%,4.5%,86.8,30.7%,23.8%,57.0%,16.1%,1.33,34.2%,50.3%,15.5%,-1.9,-0.2%,-10.8,37%,0%,44%,garcilu04
Yan Gomes,33,235,.337,111,.309,.183,3.8%,20.0%,5.5%,89.3,39.2%,29.8%,44.4%,18.7%,0.80,28.1%,59.1%,12.9%,0.5,0.2%,2.6,31%,,42%,gomesya01
Josiah Gray,23,21,.080,-80,.100,.000,0.0%,42.9%,4.8%,70.8,36.4%,27.3%,45.5%,0.0%,1.67,0.0%,45.5%,54.5%,-0.5,0.0%,-5.4,0%,,,grayjo03
Javy Guerra,35,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,guerrja01
Ryne Harper,32,2,.000,-356,,.000,0.0%,50.0%,0.0%,37.8,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.3,,,,harpery01
Josh Harrison,33,359,.360,127,.332,.141,1.7%,13.9%,7.0%,87.3,32.8%,29.2%,37.3%,27.7%,0.60,26.2%,55.0%,18.8%,0.4,0.1%,10.2,26%,71%,50%,harrijo05
Yadiel Hernández,33,289,.341,112,.318,.140,3.1%,20.4%,7.6%,89.4,38.3%,22.2%,55.1%,21.7%,1.24,24.6%,53.1%,22.2%,0.0,0.0%,-0.9,28%,100%,26%,hernaya01
Carter Kieboom,23,249,.280,70,.258,.111,2.4%,24.9%,10.0%,85.3,36.3%,24.8%,49.0%,21.0%,0.96,24.2%,62.4%,13.4%,-3.1,-0.1%,-20.5,29%,,32%,kieboca01
Jon Lester,37,29,.200,11,.286,.107,3.5%,44.8%,0.0%,81.4,37.5%,25.0%,37.5%,18.8%,0.75,12.5%,68.8%,18.8%,-0.4,-0.2%,-3.0,50%,,0%,lestejo01
Jonathan Lucroy,35,14,.339,112,.417,.071,0.0%,14.3%,0.0%,92.8,50.0%,33.3%,41.7%,16.7%,0.71,50.0%,33.3%,16.7%,-0.2,-0.1%,0.1,0%,,,lucrojo01
Kyle McGowin,29,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,mcgowky01
Jordy Mercer,34,127,.303,87,.341,.110,1.6%,26.8%,7.1%,86.7,33.3%,33.3%,38.1%,20.2%,0.62,31.0%,47.6%,21.4%,-1.1,-0.2%,-4.1,29%,,25%,mercejo03
Patrick Murphy,26,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,murphpa02
Sean Nolin,31,6,.000,-173,.000,.000,0.0%,50.0%,0.0%,46.5,0.0%,0.0%,33.3%,0.0%,,0.0%,66.7%,33.3%,-0.1,0.0%,-1.6,,,,nolinse01
Gerardo Parra,34,107,.291,79,.318,.113,1.9%,28.0%,5.6%,86.9,29.0%,30.4%,33.3%,31.9%,0.51,17.4%,53.6%,29.0%,-1.3,-0.5%,-8.6,34%,50%,50%,parrage01
Hernan Perez,30,21,.109,-51,.111,.000,0.0%,47.6%,9.5%,86.3,33.3%,22.2%,55.6%,22.2%,1.25,22.2%,77.8%,0.0%,-0.2,-0.1%,-3.1,33%,,0%,perezhe01
Jakson Reetz,25,2,.622,313,.500,.500,0.0%,0.0%,0.0%,96.6,50.0%,50.0%,0.0%,50.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.2,100%,,0%,reetzja01
Rene Rivera,37,15,.228,34,.333,.000,0.0%,33.3%,0.0%,84.7,22.2%,11.1%,77.8%,11.1%,3.50,22.2%,66.7%,11.1%,-0.2,-0.1%,-3.3,50%,,100%,riverre01
Victor Robles,24,369,.276,69,.271,.092,0.5%,23.0%,8.9%,80.5,27.2%,23.4%,33.6%,23.0%,0.58,35.7%,48.9%,15.3%,-1.7,-0.6%,-15.4,32%,57%,24%,roblevi01
Jefry Rodriguez,27,2,.000,-128,.000,.000,0.0%,50.0%,0.0%,109.6,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,,,,rodrije01
Josh Rogers,26,14,.054,-105,.000,.000,0.0%,28.6%,7.1%,64.8,0.0%,11.1%,55.6%,11.1%,2.50,22.2%,55.6%,22.2%,-0.3,0.0%,-2.9,0%,,,rogerjo01
Joe Ross,28,39,.280,66,.444,.000,0.0%,35.9%,2.6%,68.9,13.0%,21.7%,43.5%,8.7%,1.43,8.7%,60.9%,30.4%,-0.3,-0.1%,-3.0,9%,,0%,rossjo01
