--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Matt Belisle,36,4,.000,-144,.000,.000,0.0%,50.0%,0.0%,,,0.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.5,,,,belisma01
A.J. Cole,24,8,.000,-179,.000,.000,0.0%,50.0%,0.0%,67.0,0.0%,25.0%,25.0%,0.0%,1.00,0.0%,75.0%,25.0%,-0.2,0.0%,-2.3,,,,coleaj01
Matt den Dekker,28,39,.291,61,.217,.118,2.6%,25.6%,10.3%,91.6,40.0%,12.5%,50.0%,25.0%,1.00,33.3%,45.8%,20.8%,0.1,0.1%,0.4,20%,100%,67%,dendema01
Wilmer Difo,24,66,.334,89,.333,.103,1.5%,18.2%,12.1%,89.8,45.7%,26.1%,58.7%,13.0%,1.42,26.2%,59.5%,14.3%,0.3,0.1%,3.2,50%,100%,71%,difowi01
Stephen Drew,33,165,.366,122,.278,.259,4.9%,18.8%,9.7%,90.4,36.7%,28.4%,33.6%,30.2%,0.51,36.3%,52.2%,11.5%,0.5,0.4%,4.0,33%,0%,30%,drewst01
Danny Espinosa,29,601,.299,70,.261,.169,4.0%,29.0%,9.0%,89.3,41.4%,24.1%,35.7%,24.4%,0.63,42.3%,46.6%,11.1%,-1.2,-0.2%,-4.8,26%,82%,40%,espinda01
Lucas Giolito,21,6,.225,-22,.333,.000,0.0%,16.7%,0.0%,85.4,33.3%,20.0%,40.0%,0.0%,2.00,0.0%,80.0%,20.0%,-0.1,0.0%,-0.7,100%,,0%,giolilu01
Gio Gonzalez,30,59,.160,-41,.241,.038,0.0%,40.7%,0.0%,79.4,13.6%,26.5%,35.3%,11.8%,0.86,23.5%,55.9%,20.6%,-1.0,-0.7%,-10.4,13%,,50%,gonzagi01
Brian Goodwin,25,44,.317,85,.429,.143,0.0%,31.8%,4.6%,93.3,59.1%,25.0%,57.1%,10.7%,1.45,57.7%,34.6%,7.7%,0.3,0.0%,0.3,7%,,0%,goodwbr01
