--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Juan Soto,20,659,.404,145,.312,.266,5.2%,20.0%,16.4%,92.0,51.3%,26.7%,41.6%,26.9%,0.73,32.4%,48.2%,19.4%,3.6,2.1%,38.7,33%,92%,41%,sotoju01
Andrew Stevenson,25,37,.404,157,.579,.100,0.0%,29.7%,16.2%,84.6,37.5%,21.1%,47.4%,15.8%,1.00,31.6%,52.6%,15.8%,0.0,0.0%,0.5,22%,0%,0%,stevean01
Stephen Strasburg,30,80,.199,-6,.239,.056,1.3%,31.3%,3.8%,88.3,35.7%,19.2%,59.6%,9.6%,2.07,13.5%,69.2%,17.3%,-1.0,-0.5%,-7.6,21%,,0%,strasst01
Wander Suero,27,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,suerowa01
Kurt Suzuki,35,309,.343,105,.248,.221,5.5%,11.7%,6.5%,86.5,35.6%,27.9%,33.6%,28.7%,0.51,37.2%,51.8%,10.9%,1.0,0.3%,10.6,24%,0%,33%,suzukku01
Michael A. Taylor,28,97,.303,64,.396,.114,1.0%,35.1%,7.2%,91.2,50.0%,25.0%,41.1%,19.6%,0.79,32.1%,62.5%,5.4%,-0.6,-0.4%,-5.4,24%,100%,0%,taylomi02
Trea Turner,26,569,.372,118,.348,.200,3.3%,19.9%,7.6%,90.9,45.1%,23.7%,47.3%,21.5%,0.90,30.7%,48.5%,20.7%,2.3,1.1%,14.3,42%,88%,40%,turnetr01
Austin Voth,27,10,.099,-91,.167,.000,0.0%,30.0%,0.0%,82.4,0.0%,14.3%,14.3%,42.9%,0.25,0.0%,57.1%,42.9%,-0.2,-0.1%,-1.6,0%,,,vothau01
Ryan Zimmerman,34,190,.319,87,.297,.158,3.2%,20.5%,9.0%,91.9,52.0%,24.6%,47.0%,21.6%,0.89,29.9%,50.0%,20.1%,-0.9,-0.6%,0.1,26%,,47%,zimmery01
League Average,,,.326,93,.298,.178,3.5%,23.0%,8.5%,88.7,39.4%,25.0%,43.0%,23.5%,0.78,28.3%,53.0%,18.8%,,,,31%,74%,42%,-9999
Team Total,,6267,.346,104,.306,.190,3.7%,20.9%,9.3%,88.7,41.0%,25.0%,40.4%,24.5%,0.71,29.6%,52.4%,18.0%,8.9,4.9%,113.5,34%,80%,41%,-9999
