--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Hanser Alberto,26,550,.336,106,.318,.116,2.2%,9.1%,2.9%,84.0,20.3%,23.3%,45.0%,22.9%,0.88,29.0%,55.4%,15.6%,-1.2,-0.3%,-3.3,29%,50%,37%,alberha01
Aaron Brooks,29,4,.000,-209,.000,.000,0.0%,25.0%,0.0%,88.3,0.0%,0.0%,66.7%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,,,,brookaa01
Keon Broxton,29,112,.264,51,.340,.146,3.6%,43.8%,7.1%,84.6,30.0%,18.2%,43.6%,23.6%,0.92,27.3%,52.7%,20.0%,-1.0,0.0%,-8.2,39%,80%,60%,broxtke01
Dylan Bundy,26,2,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,,bundydy01
Andrew Cashner,32,3,.000,-131,.000,.000,0.0%,0.0%,0.0%,71.6,0.0%,0.0%,66.7%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.0,,,0%,cashnan01
Chris Davis,33,352,.268,57,.270,.147,3.4%,39.5%,11.1%,89.2,40.4%,28.1%,39.2%,29.8%,0.64,31.6%,53.2%,15.2%,-0.7,-0.2%,-12.4,16%,,13%,davisch02
Thomas Eshelman,25,2,.000,-131,.000,.000,0.0%,0.0%,0.0%,83.0,0.0%,0.0%,0.0%,0.0%,0.00,50.0%,0.0%,50.0%,-0.1,0.0%,-0.6,,,,eshelto01
Austin Hays,23,75,.408,151,.333,.265,5.3%,17.3%,9.3%,89.9,44.2%,30.9%,40.0%,25.5%,0.69,25.5%,56.4%,18.2%,0.6,0.0%,7.7,33%,100%,43%,haysau01
David Hess,25,4,.000,-209,.000,.000,0.0%,25.0%,0.0%,102.5,100.0%,0.0%,33.3%,0.0%,1.00,0.0%,66.7%,33.3%,-0.1,0.0%,-1.1,,,,hessda01
Drew Jackson,25,4,.174,-9,.000,.000,0.0%,25.0%,25.0%,67.9,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.5,0%,,0%,jacksdr01
Trey Mancini,27,679,.379,135,.326,.244,5.2%,21.1%,9.3%,90.8,45.7%,28.2%,46.6%,20.7%,0.87,20.9%,60.8%,18.3%,1.8,0.0%,25.4,34%,100%,33%,mancitr01
Richie Martin,24,309,.266,51,.272,.113,1.9%,26.9%,4.5%,81.3,27.4%,21.8%,46.1%,16.0%,0.98,16.0%,61.2%,22.8%,-1.3,-0.4%,-23.5,29%,91%,29%,martiri01
John Means,26,3,.746,539,1.000,.000,0.0%,0.0%,33.3%,80.7,0.0%,0.0%,50.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.3,0%,,0%,meansjo01
Cedric Mullins,24,74,.176,-13,.118,.063,0.0%,18.9%,5.4%,83.3,20.9%,9.4%,50.9%,18.9%,1.13,39.6%,47.2%,13.2%,-1.0,-0.5%,-10.1,54%,100%,60%,mullice01
Renato Núñez,25,599,.326,98,.272,.216,5.2%,23.9%,7.4%,90.7,45.2%,25.6%,33.3%,27.9%,0.50,31.1%,50.2%,18.7%,-1.4,-0.3%,1.8,27%,50%,46%,nunezre01
Jace Peterson,29,108,.261,49,.267,.110,1.9%,22.2%,5.6%,88.9,28.2%,23.4%,44.2%,29.9%,0.79,31.2%,48.1%,20.8%,-0.3,0.0%,-3.3,44%,80%,36%,peterja01
Joey Rickard,28,135,.306,85,.265,.144,1.5%,24.4%,10.4%,84.1,18.8%,22.4%,40.0%,28.2%,0.67,30.6%,52.9%,16.5%,-0.3,-0.1%,-3.9,20%,60%,40%,rickajo01
José Rondon,25,1,.000,-131,.000,.000,0.0%,0.0%,0.0%,85.8,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.5,,,,rondojo02
Rio Ruiz,25,413,.299,79,.272,.143,2.9%,21.3%,9.7%,88.6,39.5%,27.4%,43.9%,18.9%,0.80,35.9%,50.7%,13.4%,1.4,0.1%,-0.1,20%,0%,42%,ruizri01
