--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Dariel Álvarez,27,4,.705,374,.333,.333,0.0%,0.0%,25.0%,84.3,33.3%,33.3%,33.3%,0.0%,0.50,66.7%,33.3%,0.0%,0.3,0.2%,1.6,0%,,0%,alvarda02
Pedro Álvarez,29,376,.350,114,.282,.255,5.9%,25.8%,9.8%,94.2,57.2%,24.0%,47.9%,16.9%,0.92,39.9%,43.7%,16.4%,0.4,0.6%,4.3,21%,100%,37%,alvarpe01
Julio Borbon,30,15,.222,41,.400,.000,0.0%,20.0%,0.0%,84.1,14.3%,25.0%,33.3%,8.3%,0.80,8.3%,50.0%,41.7%,-0.1,-0.1%,-1.5,25%,0%,50%,borboju01
Michael Bourn,33,55,.347,106,.306,.152,3.6%,16.4%,10.9%,82.6,24.2%,12.5%,47.5%,25.0%,1.12,32.5%,45.0%,22.5%,0.3,0.4%,3.7,15%,100%,60%,bournmi01
Dylan Bundy,23,3,.000,-141,.000,.000,0.0%,66.7%,0.0%,,,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.1,,,,bundydy01
Chris Davis,30,665,.345,111,.279,.239,5.7%,32.9%,13.2%,91.5,48.4%,21.7%,37.4%,34.6%,0.60,32.1%,53.9%,14.0%,1.5,0.6%,15.8,33%,100%,45%,davisch02
Oliver Drake,29,1,.000,-141,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,,drakeol01
Ryan Flaherty,29,176,.279,61,.290,.102,1.7%,27.3%,9.7%,89.2,39.8%,21.6%,55.9%,10.8%,1.32,38.5%,47.7%,13.8%,-0.8,-0.8%,-5.0,26%,100%,31%,flahery01
Yovani Gallardo,30,6,.495,245,.667,.000,0.0%,16.7%,16.7%,88.8,33.3%,50.0%,25.0%,0.0%,0.50,25.0%,50.0%,25.0%,0.0,0.0%,0.2,33%,,0%,gallayo01
Kevin Gausman,25,3,.231,28,,.000,0.0%,66.7%,33.3%,,,,,,,,,,0.0,0.0%,-0.4,0%,,,gausmke01
Mychal Givens,26,2,.000,-141,.000,.000,0.0%,50.0%,0.0%,76.3,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.4,,,,givenmy01
