--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Andrew Susac,28,26,.116,-47,.214,.038,0.0%,46.2%,0.0%,91.4,63.6%,28.6%,35.7%,7.1%,0.56,21.4%,64.3%,14.3%,-0.5,0.0%,-4.9,33%,,,susacan01
Mark Trumbo,32,358,.331,107,.303,.191,4.8%,24.3%,6.7%,93.7,52.9%,25.3%,44.5%,21.2%,0.80,17.1%,59.6%,23.3%,-1.0,0.0%,-3.1,25%,,38%,trumbma01
Danny Valencia,33,282,.321,101,.293,.145,3.2%,18.8%,7.8%,91.3,43.5%,30.0%,44.4%,19.8%,0.80,25.6%,59.9%,14.5%,-0.1,-0.1%,-0.1,24%,50%,26%,valenda01
Breyvic Valera,26,41,.296,77,.357,.057,0.0%,22.0%,7.3%,85.3,25.0%,31.0%,31.0%,31.0%,0.47,37.9%,41.4%,20.7%,-0.2,0.0%,-1.7,31%,100%,40%,valerbr01
Engelb Vielma,24,8,.199,12,.333,.000,0.0%,50.0%,12.5%,87.3,0.0%,33.3%,66.7%,0.0%,2.00,33.3%,66.7%,0.0%,-0.1,0.0%,-0.4,50%,,,vielmen01
Jonathan Villar,27,236,.338,102,.319,.134,3.4%,24.6%,9.3%,88.3,40.3%,24.8%,45.8%,19.6%,0.91,31.4%,47.1%,21.6%,-0.1,0.0%,2.9,28%,88%,47%,villajo01
Stevie Wilkerson,26,49,.214,20,.267,.065,0.0%,32.7%,6.1%,84.5,34.8%,20.0%,46.7%,23.3%,0.88,30.0%,36.7%,33.3%,-0.6,0.0%,-4.3,18%,100%,67%,wilkest01
Mike Wright Jr.,28,1,.000,-131,.000,.000,0.0%,0.0%,0.0%,73.8,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.4,,,,wrighmi01
Austin Wynns,27,118,.308,90,.296,.127,3.4%,21.2%,4.2%,84.5,29.3%,26.1%,48.9%,14.8%,1.02,23.9%,55.7%,20.5%,-0.7,0.0%,-3.2,40%,,33%,wynnsau01
League Average,,,.323,99,.294,.166,3.1%,21.9%,8.3%,88.8,39.2%,25.1%,42.4%,23.7%,0.75,29.0%,52.6%,18.4%,,,,30%,73%,41%,-9999
Team Total,,6034,.305,88,.286,.152,3.1%,23.4%,7.0%,88.7,38.9%,24.0%,44.2%,22.9%,0.81,27.4%,53.0%,19.7%,-19.2,-1.8%,-115.5,27%,79%,41%,-9999
