--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jose Altuve,32,604,.405,162,.315,.233,4.6%,14.4%,10.9%,84.8,29.9%,23.4%,39.9%,25.6%,0.69,36.5%,51.0%,12.5%,2.8,0.7%,35.8,36%,95%,37%,altuvjo01
Yordan Alvarez,25,561,.426,183,.320,.306,6.6%,18.9%,13.9%,95.2,60.0%,27.0%,39.9%,30.5%,0.66,31.5%,54.2%,14.3%,5.1,2.4%,42.7,30%,50%,46%,alvaryo01
Michael Brantley,35,277,.345,123,.311,.128,1.8%,10.8%,11.2%,89.7,45.8%,30.7%,43.7%,22.8%,0.78,31.2%,54.9%,14.0%,1.0,0.7%,13.6,24%,50%,24%,brantmi02
Alex Bregman,28,656,.358,133,.260,.195,3.5%,11.7%,13.3%,88.9,37.9%,24.5%,33.5%,32.6%,0.50,34.7%,51.1%,14.1%,1.0,0.2%,21.5,32%,33%,41%,bregmal01
Jason Castro,35,88,.187,6,.211,.064,1.1%,45.5%,9.1%,88.6,35.9%,17.9%,48.7%,33.3%,0.95,30.8%,51.3%,17.9%,-1.0,-0.7%,-11.5,29%,100%,50%,castrja01
Aledmys Díaz,31,327,.307,95,.256,.161,3.7%,16.2%,5.5%,86.4,36.8%,28.3%,39.8%,24.4%,0.66,35.4%,48.4%,16.1%,-0.1,-0.1%,-3.1,27%,50%,30%,diazal02
Yainer Diaz,23,9,.216,29,.167,.125,0.0%,22.2%,11.1%,93.8,50.0%,0.0%,50.0%,16.7%,1.00,0.0%,100.0%,0.0%,-0.1,0.0%,-0.7,0%,,,diazya02
Mauricio Dubón,27,216,.239,48,.222,.086,1.4%,12.0%,5.6%,83.6,27.7%,21.5%,38.4%,30.5%,0.64,21.5%,63.8%,14.7%,-1.2,-0.2%,-12.8,34%,40%,56%,dubonma01
Niko Goodrum,30,45,.170,-9,.250,.047,0.0%,51.1%,4.4%,81.9,35.0%,30.0%,50.0%,20.0%,1.00,25.0%,55.0%,20.0%,-0.4,-0.2%,-5.2,29%,100%,,goodrni01
Yuli Gurriel,38,584,.293,82,.266,.117,1.4%,12.5%,5.1%,88.2,35.8%,23.8%,41.7%,24.6%,0.71,24.4%,52.2%,23.4%,-1.7,-1.2%,-17.3,28%,100%,30%,gourryu01
David Hensley,26,34,.439,190,.409,.241,2.9%,17.7%,14.7%,90.3,39.1%,21.7%,52.2%,26.1%,1.09,26.1%,39.1%,34.8%,-0.2,0.0%,2.4,43%,,0%,henslda01
Taylor Jones,28,1,.000,-128,.000,.000,0.0%,0.0%,0.0%,97.8,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.1,,,,jonesta01
Korey Lee,23,26,.189,9,.250,.080,0.0%,34.6%,3.9%,83.7,25.0%,6.3%,56.3%,25.0%,1.29,31.3%,62.5%,6.3%,-0.1,0.0%,-0.8,17%,,,leeko01
Martín Maldonado,35,379,.268,66,.228,.166,4.0%,30.6%,5.8%,87.2,40.3%,20.9%,41.5%,29.5%,0.73,29.5%,52.1%,18.4%,-1.5,-0.6%,-15.8,32%,,9%,maldoma01
Trey Mancini,30,186,.274,71,.191,.188,4.3%,26.3%,9.7%,89.5,34.7%,17.8%,43.2%,31.4%,0.76,31.4%,55.9%,12.7%,-0.4,0.0%,-10.3,23%,,40%,mancitr01
J.J. Matijevic,26,71,.286,77,.300,.119,2.8%,35.2%,2.8%,88.8,42.9%,21.4%,57.1%,19.0%,1.33,33.3%,45.2%,21.4%,-0.3,-0.1%,-3.3,31%,100%,29%,matijjj01
Chas McCormick,27,407,.326,110,.308,.162,3.4%,26.0%,11.3%,86.9,39.0%,22.0%,41.7%,31.9%,0.75,19.3%,57.5%,23.2%,-0.2,-0.1%,3.2,27%,57%,41%,mccorch01
Jake Meyers,26,160,.268,67,.344,.087,0.6%,33.8%,4.4%,86.0,37.5%,25.8%,52.6%,16.5%,1.16,27.8%,57.7%,14.4%,-0.5,-0.1%,-4.4,28%,67%,22%,meyerja02
Jeremy Peña,24,558,.319,101,.298,.173,3.9%,24.2%,3.9%,87.2,36.9%,25.3%,46.2%,22.4%,0.88,29.1%,55.9%,15.1%,1.2,0.9%,3.8,36%,85%,43%,penaje02
Joe Perez,22,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,perezjo02
Jose Siri,26,147,.247,47,.247,.126,2.0%,32.7%,6.1%,88.3,39.8%,14.8%,44.3%,30.7%,0.81,28.4%,50.0%,21.6%,-0.5,-0.3%,-8.5,43%,86%,60%,sirijo01
Kyle Tucker,25,609,.356,126,.261,.221,4.9%,15.6%,9.7%,89.8,42.4%,22.0%,33.9%,37.7%,0.52,32.4%,52.1%,15.5%,3.1,1.2%,32.2,24%,86%,48%,tuckeky01
Christian Vázquez,31,108,.252,61,.294,.058,0.9%,16.7%,3.7%,87.8,38.4%,23.3%,44.2%,25.6%,0.79,20.9%,53.5%,25.6%,-0.9,-0.1%,-5.5,24%,0%,27%,vazquch01
League Average,,,.312,99,.289,.148,2.8%,22.2%,8.0%,88.2,38.6%,23.9%,42.5%,25.5%,0.75,29.1%,52.3%,18.7%,,,,30%,75%,41%,-9999
Team Total,,6054,.329,109,.278,.176,3.5%,19.5%,8.7%,88.2,39.2%,23.8%,40.6%,28.3%,0.69,30.0%,53.4%,16.7%,4.9,2.7%,55.8,30%,79%,37%,-9999
