--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jose Altuve,27,662,.415,163,.370,.202,3.6%,12.7%,8.8%,86.0,32.4%,25.2%,46.4%,21.3%,0.90,26.8%,53.2%,20.0%,3.5,0.9%,38.8,36%,84%,48%,altuvjo01
Nori Aoki,35,224,.306,88,.303,.099,0.9%,13.0%,6.7%,85.5,25.5%,22.5%,58.4%,13.5%,1.42,19.7%,56.2%,24.2%,-0.4,-0.4%,-9.0,37%,71%,52%,aokino01
Carlos Beltrán,40,509,.293,80,.263,.152,2.8%,20.0%,6.5%,87.8,36.7%,22.9%,43.9%,24.3%,0.78,34.8%,52.3%,12.9%,-1.1,-0.2%,-15.8,35%,,26%,beltrca01
Alex Bregman,23,626,.359,126,.311,.191,3.0%,15.5%,8.8%,87.9,38.4%,26.6%,39.0%,25.1%,0.64,29.6%,55.7%,14.8%,1.1,-0.6%,9.8,34%,77%,48%,bregmal01
Juan Centeno,27,57,.271,63,.263,.115,3.5%,21.1%,7.0%,84.2,25.6%,39.0%,36.6%,22.0%,0.60,29.3%,48.8%,22.0%,-0.3,0.1%,-5.7,21%,,14%,centeju01
Carlos Correa,22,481,.409,164,.352,.235,5.0%,19.1%,11.0%,90.6,47.9%,26.0%,47.9%,22.2%,0.92,20.4%,56.3%,23.4%,1.9,1.0%,37.3,35%,67%,45%,correca01
J.D. Davis,24,68,.322,103,.256,.258,5.9%,29.4%,5.9%,88.7,47.5%,18.6%,60.5%,20.9%,1.53,32.6%,53.5%,14.0%,-0.4,0.0%,-1.8,27%,50%,50%,davisjd01
Chris Devenski,26,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.8,,,,devench02
Michael Feliz,24,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,felizmi01
