--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Jose Altuve,21,234,.301,80,.309,.081,0.9%,12.4%,2.1%,18.2%,47.5%,21.7%,1.02,30.8%,55.6%,13.6%,-1.0,0.0%,-6.1,35%,70%,43%,altuvjo01
Clint Barmes,32,495,.318,93,.279,.141,2.4%,17.8%,7.7%,20.7%,30.4%,33.4%,0.45,37.0%,50.0%,13.0%,-0.9,-0.3%,-9.5,25%,75%,27%,barmecl01
Brian Bogusevic,27,182,.356,122,.355,.171,2.2%,22.0%,8.2%,16.7%,53.2%,25.4%,1.18,15.2%,61.6%,23.2%,0.0,0.1%,-0.8,28%,67%,30%,bogusbr01
Jason Bourgeois,29,252,.335,91,.324,.063,0.4%,9.5%,4.0%,18.3%,55.0%,16.1%,1.33,20.6%,59.6%,19.7%,-0.4,0.1%,-1.0,32%,84%,38%,bourgja01
Michael Bourn,28,473,.359,114,.381,.100,0.2%,19.0%,8.0%,26.6%,45.3%,20.5%,0.93,18.1%,61.4%,20.5%,1.7,0.1%,16.1,37%,85%,44%,bournmi01
Robinson Cancel,35,7,.000,-183,.000,.000,0.0%,57.1%,14.3%,0.0%,50.0%,0.0%,1.00,0.0%,100.0%,0.0%,-0.1,0.0%,-1.0,0%,,,cancero01
Carlos Corporán,27,173,.220,18,.271,.065,0.0%,28.3%,5.8%,16.4%,42.7%,25.5%,0.81,27.3%,60.0%,12.7%,-1.9,0.0%,-9.6,21%,,39%,corpoca01
Matt Downs,27,222,.396,152,.315,.241,4.5%,21.2%,7.7%,16.3%,35.9%,34.0%,0.56,40.8%,47.4%,11.8%,0.9,0.2%,17.4,28%,,39%,downsma01
Luis Durango,25,7,.229,28,.200,.000,0.0%,14.3%,14.3%,0.0%,80.0%,0.0%,,0.0%,60.0%,40.0%,0.0,0.0%,0.0,0%,,,duranlu01
Nelson Figueroa,37,10,.191,-12,.286,.000,0.0%,20.0%,0.0%,0.0%,87.5%,0.0%,,0.0%,57.1%,42.9%,-0.2,-0.1%,-1.4,0%,,,figuene01
Bill Hall,31,158,.268,58,.341,.116,1.3%,34.8%,5.1%,20.4%,39.8%,32.3%,0.66,30.0%,46.7%,23.3%,-0.5,-0.2%,-6.9,37%,50%,54%,hallbi03
J.A. Happ,28,53,.255,39,.240,.093,1.9%,32.1%,5.7%,6.1%,51.5%,15.2%,2.43,21.2%,63.6%,15.2%,-0.3,0.1%,-3.9,22%,,0%,happja01
Lucas Harrell,26,3,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,-0.1,0.0%,-0.9,,,,harrelu01
Joe Inglett,33,27,.212,15,.300,.037,0.0%,25.9%,0.0%,25.0%,35.0%,35.0%,0.54,36.8%,31.6%,31.6%,-0.3,-0.1%,-3.5,50%,,25%,inglejo01
Chris Johnson,26,405,.296,78,.317,.127,1.7%,24.0%,4.0%,24.2%,47.0%,26.0%,0.89,27.4%,53.7%,18.9%,-0.2,-0.1%,-2.6,22%,50%,25%,johnsch05
Jeff Keppinger,31,170,.334,108,.299,.129,2.4%,4.1%,2.4%,24.1%,43.0%,28.5%,0.76,26.6%,58.2%,15.2%,0.0,0.0%,-0.9,36%,0%,32%,keppije01
Carlos Lee,35,653,.358,124,.279,.171,2.8%,9.2%,9.0%,21.7%,35.4%,30.1%,0.55,33.0%,53.7%,13.3%,0.6,-0.2%,21.8,23%,57%,29%,leeca01
Jordan Lyles,20,29,.145,-45,.188,.000,0.0%,31.0%,6.9%,0.0%,61.1%,16.7%,2.20,16.7%,61.1%,22.2%,-0.5,0.0%,-4.6,40%,,0%,lylesjo01
Brandon Lyon,31,1,1.274,802,1.000,1.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,1.0,0%,,,lyonbr01
J.D. Martinez,23,226,.323,99,.325,.149,2.7%,21.2%,5.8%,25.2%,38.0%,31.9%,0.61,25.8%,62.6%,11.7%,-0.2,0.0%,4.4,35%,0%,46%,martijd02
Mark Melancon,26,1,.697,374,,,0.0%,0.0%,100.0%,,,,,,,,0.0,0.0%,0.3,0%,,,melanma01
Jason Michaels,35,169,.252,43,.236,.096,1.2%,18.3%,6.5%,14.3%,33.3%,37.3%,0.51,27.4%,54.8%,17.7%,-1.4,-0.1%,-14.4,19%,100%,33%,michaja01
Brett Myers,30,71,.181,-14,.244,.016,0.0%,31.0%,5.6%,11.1%,42.2%,20.0%,1.06,13.3%,53.3%,33.3%,-1.2,-0.1%,-12.6,21%,,0%,myersbr01
Bud Norris,26,66,.142,-65,.241,.038,0.0%,37.9%,1.5%,15.0%,40.0%,5.0%,1.45,30.0%,60.0%,10.0%,-0.7,0.0%,-6.8,38%,,13%,norribu01
Jimmy Paredes,22,179,.318,96,.383,.107,1.1%,26.3%,5.0%,17.9%,52.0%,22.8%,1.16,23.6%,62.6%,13.8%,0.1,0.0%,1.1,25%,56%,50%,paredji01
Hunter Pence,28,432,.380,137,.368,.163,2.6%,19.9%,6.9%,20.0%,49.8%,22.9%,1.00,26.7%,55.6%,17.7%,2.6,0.5%,24.5,27%,88%,50%,pencehu01
Humberto Quintero,31,272,.266,54,.292,.076,0.7%,19.5%,2.2%,19.8%,50.9%,22.6%,1.07,19.1%,62.7%,18.2%,-2.1,0.1%,-14.9,29%,100%,28%,quinthu01
Aneury Rodriguez,23,11,.000,-196,.000,.000,0.0%,45.5%,0.0%,0.0%,50.0%,0.0%,3.00,50.0%,50.0%,0.0%,-0.3,-0.1%,-3.1,,,,rodrian01
Fernando Rodriguez Jr.,27,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,rodrife02
Wandy Rodriguez,32,67,.197,-6,.224,.049,0.0%,17.9%,0.0%,14.5%,49.1%,20.0%,1.29,23.6%,67.3%,9.1%,-1.0,-0.1%,-8.1,9%,,0%,rodriwa01
Angel Sanchez,27,328,.276,59,.278,.045,0.3%,13.4%,8.2%,14.5%,50.4%,22.3%,1.18,21.3%,58.9%,19.8%,-0.1,0.0%,-2.5,35%,100%,30%,sanchan02
Jordan Schafer,24,118,.296,66,.321,.066,0.9%,23.7%,8.5%,24.1%,46.8%,17.7%,1.00,25.3%,55.7%,19.0%,0.1,0.0%,-2.7,35%,100%,25%,schafjo02
JB Shuck,24,92,.322,92,.297,.049,0.0%,7.6%,12.0%,20.3%,47.3%,25.7%,0.92,21.6%,58.1%,20.3%,-0.7,0.0%,-1.3,27%,100%,25%,shuckja01
Henry Sosa,25,18,.157,-34,.143,.067,0.0%,44.4%,11.1%,37.5%,37.5%,12.5%,0.75,25.0%,37.5%,37.5%,-0.3,0.0%,-2.9,100%,,0%,sosahe01
J.R. Towles,27,165,.280,64,.200,.109,1.8%,15.8%,7.9%,16.1%,50.0%,25.0%,1.05,40.2%,45.9%,13.9%,-0.4,0.0%,-7.9,20%,,46%,towlejr01
Brett Wallace,24,379,.315,91,.339,.110,1.3%,24.0%,9.5%,21.4%,52.8%,21.4%,1.13,24.1%,55.1%,20.8%,0.2,0.3%,-1.3,26%,50%,21%,wallabr01
Wesley Wright,26,1,.000,-142,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,wrighwe01
League Average,,,.323,94,.296,.138,2.3%,19.1%,8.1%,18.6%,44.1%,27.4%,0.83,27.5%,55.2%,17.3%,,,,29%,73%,41%,-9999
Team Total,,6150,.313,87,.308,.116,1.5%,18.9%,6.5%,20.0%,44.5%,25.3%,0.85,26.9%,56.2%,16.9%,-8.5,0.1%,-45.1,29%,78%,34%,-9999
