--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Bo Bichette,24,697,.355,131,.347,.179,3.4%,22.2%,5.9%,91.9,50.8%,24.6%,49.1%,22.0%,0.96,19.2%,50.7%,30.1%,2.3,1.7%,17.4,32%,62%,39%,bichebo01
Cavan Biggio,27,303,.306,94,.275,.148,2.0%,28.1%,12.5%,87.7,32.9%,19.5%,35.6%,37.4%,0.56,38.5%,49.4%,12.1%,-0.6,-0.1%,1.0,40%,100%,44%,biggica01
Jackie Bradley Jr.,32,80,.239,46,.226,.096,1.3%,23.8%,8.8%,87.4,35.2%,20.4%,53.7%,14.8%,1.16,46.3%,38.9%,14.8%,-0.3,-0.1%,-2.7,42%,,50%,bradlja02
Vinny Capra,25,7,.325,109,.250,.000,0.0%,14.3%,28.6%,87.4,50.0%,50.0%,50.0%,0.0%,1.00,100.0%,0.0%,0.0%,0.1,0.1%,0.0,40%,,100%,capravi01
Matt Chapman,29,621,.329,112,.277,.204,4.4%,27.4%,11.0%,92.2,51.3%,22.3%,34.6%,30.0%,0.53,31.1%,55.8%,13.1%,0.0,0.0%,-0.1,32%,50%,46%,chapmma01
Zack Collins,27,79,.298,89,.270,.222,5.1%,39.2%,7.6%,91.7,39.0%,24.4%,22.0%,46.3%,0.28,46.3%,41.5%,12.2%,-0.1,-0.1%,-1.3,18%,,67%,colliza01
Santiago Espinal,27,491,.303,95,.300,.102,1.4%,13.9%,7.3%,85.7,31.7%,26.8%,42.9%,19.2%,0.76,26.5%,54.5%,19.0%,-1.2,-0.6%,-6.0,29%,50%,42%,espinsa01
Vladimir Guerrero Jr.,23,706,.357,132,.289,.205,4.5%,16.4%,8.2%,92.8,50.9%,24.5%,52.3%,17.1%,1.10,28.1%,54.6%,17.3%,2.1,1.0%,20.0,28%,73%,41%,guerrvl02
Lourdes Gurriel Jr.,28,493,.329,114,.346,.108,1.0%,16.8%,6.3%,90.6,45.7%,26.3%,45.7%,22.0%,0.84,25.3%,51.3%,23.4%,0.3,0.1%,7.2,29%,43%,36%,gurrilo01
Tyler Heineman,31,16,.288,81,.364,.133,0.0%,25.0%,0.0%,72.1,8.3%,8.3%,50.0%,25.0%,1.50,50.0%,41.7%,8.3%,-0.1,-0.1%,-0.5,40%,,0%,heinety01
Teoscar Hernández,29,535,.359,133,.335,.224,4.7%,28.4%,6.4%,92.6,53.3%,24.8%,44.4%,25.6%,0.80,28.0%,51.0%,21.0%,0.8,0.4%,8.6,32%,67%,46%,hernate01
Danny Jansen,27,248,.367,139,.255,.256,6.1%,17.7%,10.1%,90.4,46.9%,18.8%,33.5%,32.4%,0.50,36.9%,52.3%,10.8%,0.5,0.2%,10.5,27%,100%,36%,janseda01
Gosuke Katoh,27,11,.332,115,.167,.143,0.0%,9.1%,27.3%,78.1,14.3%,0.0%,57.1%,14.3%,2.00,42.9%,42.9%,14.3%,0.0,0.0%,-1.0,29%,,50%,katohgo01
Alejandro Kirk,23,541,.359,134,.299,.130,2.6%,10.7%,11.7%,90.5,45.5%,24.5%,50.0%,20.4%,1.00,22.8%,54.3%,22.8%,1.0,0.8%,20.0,24%,,14%,kirkal01
Otto Lopez,23,10,.538,300,.750,.000,0.0%,10.0%,10.0%,85.5,37.5%,37.5%,50.0%,12.5%,1.00,25.0%,62.5%,12.5%,0.3,0.0%,2.5,0%,0%,100%,lopezot01
Whit Merrifield,33,130,.324,113,.312,.165,3.9%,18.5%,6.2%,86.0,32.7%,15.3%,48.0%,23.5%,0.96,24.5%,56.1%,19.4%,0.4,-0.1%,-0.7,33%,33%,33%,merriwh01
Gabriel Moreno,22,73,.324,108,.350,.058,1.4%,11.0%,5.5%,89.2,32.8%,24.6%,55.7%,14.8%,1.26,14.8%,52.5%,32.8%,0.0,-0.1%,0.7,35%,,27%,morenga01
George Springer,32,583,.361,132,.285,.205,4.3%,17.2%,9.3%,88.7,42.4%,21.8%,44.3%,24.4%,0.79,34.7%,49.0%,16.3%,2.2,1.5%,22.8,37%,88%,53%,springe01
Raimel Tapia,28,433,.297,87,.315,.114,1.6%,18.7%,3.7%,87.2,38.1%,24.3%,53.3%,18.0%,1.16,29.0%,50.6%,20.4%,-0.2,-0.1%,-0.7,33%,80%,61%,tapiara01
Bradley Zimmer,29,101,.200,19,.152,.112,2.0%,40.6%,5.0%,81.4,38.8%,16.3%,42.9%,24.5%,0.95,32.7%,55.1%,12.2%,-0.5,-0.4%,-9.6,34%,60%,55%,zimmebr01
League Average,,,.312,99,.289,.148,2.8%,22.2%,8.0%,88.2,38.6%,23.9%,42.5%,25.5%,0.75,29.1%,52.3%,18.7%,,,,30%,75%,41%,-9999
Team Total,,6158,.336,117,.305,.168,3.3%,20.2%,8.1%,90.0,44.5%,23.6%,45.6%,23.0%,0.85,28.2%,52.1%,19.6%,6.9,4.1%,88.2,31%,66%,41%,-9999
