--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Darwin Barney,30,306,.310,87,.310,.104,1.3%,15.7%,7.2%,85.9,27.1%,23.0%,48.1%,19.6%,0.95,21.8%,52.8%,25.3%,-1.3,-1.3%,-11.3,31%,50%,39%,barneda01
José Bautista,35,517,.354,119,.255,.217,4.3%,19.9%,16.8%,92.6,51.0%,25.0%,39.5%,22.2%,0.65,28.5%,56.4%,15.0%,1.1,1.2%,10.4,28%,50%,47%,bautijo02
Andy Burns,25,7,.103,-66,.000,.000,0.0%,28.6%,0.0%,81.3,0.0%,25.0%,25.0%,50.0%,0.33,0.0%,50.0%,50.0%,0.0,0.0%,-0.6,67%,,0%,burnsan01
Ezequiel Carrera,29,310,.312,87,.311,.107,1.9%,22.6%,8.7%,84.9,37.3%,16.7%,51.7%,13.9%,1.37,43.0%,41.1%,15.9%,-0.3,-0.6%,-4.5,40%,64%,39%,carreez01
Darrell Ceciliani,26,29,.165,-21,.231,.074,0.0%,48.3%,3.5%,91.9,36.4%,30.8%,30.8%,23.1%,0.44,44.4%,55.6%,0.0%,-0.1,-0.1%,-3.1,33%,,0%,cecilda01
Chris Colabello,32,32,.122,-52,.100,.000,0.0%,28.1%,6.3%,86.5,22.2%,15.0%,60.0%,20.0%,1.50,10.0%,55.0%,35.0%,-0.4,-0.3%,-5.4,0%,,0%,colabch01
R.A. Dickey,41,1,.000,-141,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.3,,,,dicker.01
Matt Dominguez,26,12,.058,-99,.000,.000,0.0%,25.0%,8.3%,97.1,66.7%,25.0%,37.5%,25.0%,0.60,14.3%,57.1%,28.6%,-0.2,-0.1%,-2.4,0%,,,dominma01
Josh Donaldson,30,700,.409,157,.300,.265,5.3%,17.0%,15.6%,93.0,54.8%,25.3%,39.1%,24.6%,0.65,27.9%,49.3%,22.8%,4.4,3.1%,48.4,35%,88%,41%,donaljo02
Edwin Encarnación,33,702,.377,134,.270,.266,6.0%,19.7%,12.4%,91.5,44.9%,26.1%,38.4%,26.1%,0.62,34.9%,48.1%,17.0%,1.3,1.1%,32.7,27%,100%,30%,encared01
Marco Estrada,32,5,.000,-141,.000,.000,0.0%,60.0%,0.0%,70.3,0.0%,50.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,-0.1,-0.1%,-1.2,,,,estrama01
Gavin Floyd,33,1,.000,-141,.000,.000,0.0%,0.0%,0.0%,61.2,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.1,,,,floydga01
Ryan Goins,28,196,.230,27,.235,.120,1.5%,24.5%,4.6%,88.2,36.7%,18.8%,52.2%,18.8%,1.18,30.7%,53.3%,16.1%,-1.5,-1.0%,-15.6,23%,50%,25%,goinsry01
J.A. Happ,33,10,.510,289,.500,.000,0.0%,30.0%,0.0%,74.2,0.0%,28.6%,0.0%,0.0%,0.00,0.0%,85.7%,14.3%,0.0,0.0%,0.6,100%,,0%,happja01
