--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Nick Ahmed,28,564,.310,82,.265,.176,2.8%,19.3%,7.1%,87.0,31.9%,27.4%,40.7%,24.5%,0.70,25.2%,56.2%,18.6%,-0.9,-0.8%,-5.3,30%,56%,47%,ahmedni01
Matt Andriese,28,1,.000,-146,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,andrima01
Alex Avila,31,234,.279,57,.253,.139,3.0%,38.5%,15.8%,90.1,49.0%,25.5%,50.9%,22.6%,1.04,39.6%,47.2%,13.2%,-2.1,-1.7%,-9.7,10%,,29%,avilaal01
Sócrates Brito,25,44,.224,26,.194,.075,2.3%,20.5%,6.8%,89.2,50.0%,25.0%,34.4%,37.5%,0.55,34.4%,50.0%,15.6%,-0.4,-0.4%,-2.7,22%,0%,100%,britoso01
Clay Buchholz,33,37,.089,-109,.143,.032,0.0%,46.0%,2.7%,82.4,18.2%,31.6%,31.6%,0.0%,1.00,15.8%,73.7%,10.5%,-0.4,-0.4%,-6.1,0%,,,buchhcl01
Patrick Corbin,28,67,.197,-8,.333,.016,0.0%,37.3%,3.0%,79.9,13.3%,20.0%,57.5%,0.0%,2.56,22.5%,62.5%,15.0%,-0.9,-1.0%,-8.6,7%,,0%,corbipa01
Jorge De La Rosa,37,2,.346,107,.000,.000,0.0%,0.0%,50.0%,62.7,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.1,0.0%,0.7,100%,,,rosajo01
Daniel Descalso,31,423,.346,108,.300,.198,3.1%,26.0%,15.1%,89.5,37.9%,28.9%,30.1%,32.5%,0.43,43.5%,41.5%,15.0%,3.0,3.1%,19.0,30%,0%,43%,descada01
Jarrod Dyson,33,237,.259,34,.216,.068,0.8%,14.4%,11.4%,84.4,23.4%,19.9%,43.2%,18.2%,0.90,33.0%,51.1%,15.9%,-1.0,-0.7%,-11.7,40%,84%,61%,dysonja01
