--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Xavier Paul,29,21,.091,-85,.167,.000,0.0%,38.1%,4.8%,16.7%,58.3%,16.7%,1.75,25.0%,58.3%,16.7%,-0.3,0.0%,-1.8,50%,,33%,paulxa01
Cliff Pennington,30,201,.337,104,.309,.096,1.0%,17.9%,10.0%,25.4%,41.5%,22.5%,0.74,22.5%,57.0%,20.4%,-0.1,0.1%,1.8,28%,86%,53%,pennicl01
David Peralta,26,348,.341,111,.328,.164,2.3%,17.2%,4.6%,27.7%,48.7%,15.9%,0.96,31.3%,59.0%,9.7%,0.0,0.0%,3.9,31%,67%,53%,peralda01
AJ Pollock,26,287,.397,148,.344,.196,2.4%,16.0%,6.6%,23.2%,52.3%,20.0%,1.11,26.7%,60.8%,12.4%,1.5,0.2%,13.7,35%,82%,33%,polloaj01
Martín Prado,30,436,.315,92,.301,.099,1.2%,13.1%,5.3%,27.1%,52.9%,15.7%,1.12,14.2%,62.6%,23.2%,-1.5,-0.6%,-4.3,29%,67%,53%,pradoma01
Nolan Reimold,30,18,.341,111,.571,.235,5.6%,55.6%,0.0%,25.0%,50.0%,25.0%,1.00,50.0%,37.5%,12.5%,-0.3,0.0%,-0.5,25%,,,reimono01
Cody Ross,33,219,.290,73,.312,.069,0.9%,20.1%,6.9%,23.3%,48.4%,22.0%,0.94,17.8%,63.1%,19.1%,-0.7,-0.2%,-5.3,20%,,40%,rossco01
Ryan Rowland-Smith,31,1,.000,-144,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.3,,,,rowlary01
Bo Schultz,28,1,.000,-144,.000,.000,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,schulbo02
Zeke Spruill,24,5,.256,48,.250,.200,0.0%,20.0%,0.0%,50.0%,50.0%,0.0%,1.00,75.0%,25.0%,0.0%,-0.1,0.0%,-0.6,0%,,,spruize01
Mark Trumbo,28,362,.312,92,.274,.180,3.9%,24.6%,7.7%,23.8%,44.7%,23.0%,0.81,18.5%,62.2%,19.3%,-1.5,-0.1%,8.3,25%,40%,21%,trumbma01
Bobby Wilson,31,4,.227,26,.250,.000,0.0%,0.0%,0.0%,75.0%,0.0%,0.0%,0.00,50.0%,50.0%,0.0%,0.0,0.0%,-0.4,0%,,,wilsobo02
Brad Ziegler,34,1,.000,-144,,.000,0.0%,100.0%,0.0%,,,,,,,,0.0,0.0%,-0.1,,,,zieglbr01
League Average,,,.315,92,.299,.132,2.2%,20.9%,7.5%,25.4%,45.1%,20.7%,0.86,26.4%,55.9%,17.7%,,,,29%,71%,40%,-9999
Team Total,,6089,.309,86,.293,.127,1.9%,19.1%,6.5%,26.5%,47.0%,18.8%,0.92,24.1%,58.0%,18.0%,-7.1,-0.6%,-37.3,29%,72%,42%,-9999
