--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Nick Ahmed,32,54,.306,101,.265,.212,5.6%,27.8%,3.7%,85.3,32.4%,13.5%,56.8%,27.0%,1.40,32.4%,48.6%,18.9%,-0.1,0.0%,-2.0,36%,0%,100%,ahmedni01
Sergio Alcántara,25,186,.308,95,.287,.165,3.2%,24.2%,5.4%,85.9,33.8%,20.0%,44.6%,29.2%,0.84,26.2%,54.6%,19.2%,1.2,0.0%,5.1,32%,100%,38%,alcanse01
Seth Beer,25,126,.239,46,.250,.054,0.8%,24.6%,8.7%,85.9,30.4%,29.6%,46.9%,19.8%,0.88,33.3%,44.4%,22.2%,-0.6,-0.1%,-5.0,9%,,11%,beerse01
Corbin Carroll,21,115,.362,135,.333,.240,3.5%,27.0%,7.0%,85.8,32.9%,27.4%,47.9%,19.2%,0.92,41.1%,37.0%,21.9%,-0.3,0.0%,1.4,27%,67%,86%,carroco02
Matt Davidson,31,13,.317,102,.000,.300,7.7%,23.1%,23.1%,84.7,28.6%,0.0%,42.9%,42.9%,0.75,42.9%,42.9%,14.3%,0.0,0.0%,-1.0,0%,,,davidma02
Wilmer Difo,30,6,.000,-126,.000,.000,0.0%,16.7%,0.0%,79.3,40.0%,0.0%,80.0%,0.0%,4.00,40.0%,40.0%,20.0%,-0.1,0.0%,-1.2,,,,difowi01
Drew Ellis,26,14,.203,20,.286,.077,0.0%,42.9%,7.1%,92.1,42.9%,42.9%,42.9%,14.3%,0.75,28.6%,71.4%,0.0%,-0.2,-0.1%,-0.8,67%,,,ellisdr01
Stone Garrett,26,84,.371,140,.370,.263,4.8%,32.1%,3.6%,92.9,52.0%,22.0%,34.0%,32.0%,0.52,26.0%,50.0%,24.0%,0.5,0.0%,3.1,41%,75%,40%,garrest01
Grayson Greiner,29,8,.286,79,.333,.000,0.0%,37.5%,25.0%,89.7,33.3%,0.0%,66.7%,33.3%,2.00,33.3%,33.3%,33.3%,0.0,0.0%,-0.9,0%,,,greingr01
Jake Hager,29,59,.289,81,.364,.040,0.0%,28.8%,13.6%,75.4,17.6%,11.8%,41.2%,29.4%,0.88,29.4%,55.9%,14.7%,-0.3,-0.1%,-0.5,18%,,67%,hagerja01
Yonny Hernandez,24,28,.169,-27,.100,.000,0.0%,14.3%,7.1%,75.3,13.6%,18.2%,63.6%,4.5%,2.80,36.4%,40.9%,22.7%,-0.7,-0.3%,-3.8,50%,100%,100%,hernayo02
Jose Herrera,25,124,.214,25,.273,.018,0.0%,27.4%,7.3%,80.8,11.1%,17.3%,59.3%,11.1%,1.78,42.0%,44.4%,13.6%,-0.9,-0.3%,-11.3,30%,,25%,herrejo04
Cooper Hummel,27,201,.268,65,.255,.131,1.5%,31.8%,11.4%,87.6,36.0%,20.4%,47.8%,24.8%,0.92,30.1%,54.0%,15.9%,-0.6,-0.3%,-6.9,33%,80%,30%,hummeco01
Carson Kelly,27,354,.275,71,.247,.123,2.0%,20.1%,8.2%,87.4,36.9%,22.8%,40.8%,28.4%,0.69,25.2%,61.6%,13.2%,-2.1,-0.6%,-12.2,36%,100%,29%,kellyca02
Buddy Kennedy,23,94,.280,75,.279,.108,1.1%,24.5%,8.5%,88.6,32.3%,25.8%,43.5%,25.8%,0.77,22.6%,48.4%,29.0%,-0.1,0.0%,1.2,33%,,63%,kennebu01
Jordan Luplow,28,234,.295,84,.185,.185,4.7%,25.6%,10.7%,87.2,33.1%,14.4%,41.1%,32.9%,0.70,37.7%,47.9%,14.4%,-0.3,0.1%,-7.0,28%,83%,28%,luplojo01
Ketel Marte,28,558,.319,103,.276,.167,2.2%,18.1%,9.9%,90.0,42.0%,24.5%,42.9%,25.3%,0.76,34.6%,49.7%,15.7%,-1.0,0.1%,-7.3,34%,83%,52%,marteke01
Jake McCarthy,24,354,.359,124,.349,.143,2.3%,21.5%,6.5%,85.5,33.7%,22.9%,47.8%,21.7%,1.00,32.1%,53.0%,14.9%,1.4,0.1%,20.0,39%,88%,56%,mccarja02
David Peralta,34,310,.328,112,.292,.212,3.9%,23.9%,8.7%,91.0,44.9%,27.1%,33.3%,31.9%,0.50,32.9%,55.1%,12.1%,0.5,0.1%,1.7,20%,33%,47%,peralda01
Geraldo Perdomo,22,500,.260,58,.243,.067,1.0%,20.6%,10.0%,81.5,25.4%,21.1%,43.6%,19.9%,0.89,31.6%,50.3%,18.1%,-1.4,-0.5%,-13.1,39%,82%,50%,perdoge01
Emmanuel Rivera,26,148,.319,107,.267,.197,4.1%,25.0%,8.1%,89.4,36.5%,15.6%,51.0%,27.1%,1.04,35.4%,42.7%,21.9%,0.3,0.0%,2.8,41%,33%,50%,riverem01
Josh Rojas,28,510,.337,111,.323,.122,1.8%,19.2%,10.8%,87.3,36.2%,26.2%,40.8%,26.2%,0.73,26.8%,51.0%,22.3%,2.0,0.2%,11.8,34%,88%,56%,rojasjo01
Pavin Smith,26,277,.298,87,.262,.147,3.3%,24.2%,10.1%,87.9,35.9%,17.7%,43.6%,29.8%,0.77,32.6%,51.9%,15.5%,0.6,0.2%,1.2,20%,100%,44%,smithpa04
Alek Thomas,22,411,.276,73,.263,.113,2.0%,18.0%,5.4%,87.4,35.1%,21.8%,57.7%,15.7%,1.36,29.5%,51.9%,18.6%,-1.2,0.0%,-10.0,35%,57%,61%,thomaal01
Daulton Varsho,25,592,.328,109,.269,.207,4.6%,24.5%,7.8%,86.1,36.1%,19.3%,39.4%,29.8%,0.69,48.9%,40.5%,10.7%,0.2,0.1%,8.4,34%,73%,51%,varshda01
Christian Walker,31,667,.351,127,.248,.235,5.4%,19.6%,10.3%,90.0,44.2%,21.4%,39.2%,30.9%,0.65,28.8%,52.5%,18.7%,1.2,0.2%,18.0,26%,50%,46%,walkech02
League Average,,,.318,100,.291,.155,2.9%,22.7%,8.5%,87.9,38.3%,23.4%,43.1%,25.8%,0.77,29.9%,51.8%,18.3%,,,,30%,75%,41%,-9999
Team Total,,6027,.309,95,.272,.155,2.9%,22.3%,8.8%,87.1,36.0%,21.8%,43.9%,25.7%,0.81,32.7%,50.4%,16.9%,-1.9,-1.1%,-8.4,32%,78%,49%,-9999
