--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Chris Owings,23,552,.268,47,.305,.095,0.7%,26.1%,4.7%,87.5,30.7%,29.1%,39.9%,20.2%,0.72,22.0%,52.2%,25.7%,-3.4,-1.5%,-24.5,39%,80%,50%,owingch01
Jordan Pacheco,29,78,.306,77,.269,.091,2.6%,18.0%,11.5%,84.0,25.0%,35.2%,48.1%,13.0%,0.93,18.5%,64.8%,16.7%,-0.9,-0.5%,-3.6,25%,100%,50%,pachejo01
Cliff Pennington,31,157,.272,48,.290,.044,0.6%,18.5%,10.2%,88.4,36.8%,24.1%,42.9%,17.9%,0.91,39.3%,47.3%,13.4%,-1.6,-0.7%,-8.9,28%,100%,31%,pennicl01
David Peralta,27,517,.391,141,.368,.210,3.3%,20.7%,8.5%,92.6,50.2%,30.9%,52.8%,13.0%,1.12,36.5%,51.4%,12.2%,3.4,1.3%,34.3,25%,69%,44%,peralda01
AJ Pollock,27,673,.389,133,.338,.182,3.0%,13.2%,7.9%,89.5,45.1%,29.5%,50.3%,13.6%,1.03,22.3%,56.3%,21.4%,3.3,0.8%,33.5,40%,85%,52%,polloaj01
Robbie Ray,23,36,.099,-101,.176,.032,0.0%,38.9%,0.0%,78.7,0.0%,9.1%,63.6%,4.5%,4.67,18.2%,59.1%,22.7%,-0.7,-0.2%,-8.8,0%,,,rayro02
Addison Reed,26,2,.000,-146,.000,.000,0.0%,0.0%,0.0%,82.9,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,-0.1,0.0%,-0.3,,,,reedad01
Jamie Romak,29,16,.364,122,.556,.133,0.0%,37.5%,6.3%,87.4,33.3%,44.4%,22.2%,22.2%,0.29,44.4%,22.2%,33.3%,0.0,0.0%,0.9,29%,,0%,romakja01
Jarrod Saltalamacchia,30,194,.351,112,.327,.222,4.1%,29.4%,9.8%,92.6,54.0%,37.1%,31.0%,25.0%,0.46,33.6%,54.3%,12.1%,0.4,0.2%,3.5,27%,,16%,saltaja01
Yasmany Tomás,24,426,.315,85,.354,.128,2.1%,25.8%,4.0%,90.3,45.2%,30.0%,56.6%,11.4%,1.30,19.5%,55.6%,24.9%,-1.9,-0.8%,-12.5,26%,71%,27%,tomasya01
Mark Trumbo,29,184,.360,119,.286,.247,4.9%,21.2%,5.4%,93.2,50.0%,32.6%,40.7%,19.3%,0.69,16.3%,61.5%,22.2%,-0.6,-0.3%,-0.2,30%,,18%,trumbma01
Allen Webster,25,11,.082,-86,.000,.000,0.0%,54.6%,0.0%,74.5,0.0%,20.0%,40.0%,0.0%,2.00,0.0%,80.0%,20.0%,-0.3,-0.2%,-3.7,,,100%,webstal01
League Average,,,.320,93,.301,.144,2.5%,20.9%,7.6%,88.4,37.8%,27.3%,45.8%,18.7%,0.88,26.4%,53.6%,19.9%,,,,29%,71%,40%,-9999
Team Total,,6276,.332,96,.316,.150,2.5%,20.9%,7.8%,89.0,39.2%,29.1%,47.1%,16.1%,0.94,24.9%,54.5%,20.6%,-2.0,-1.1%,24.2,30%,75%,40%,-9999
