--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Hanser Alberto,28,255,.298,80,.293,.133,0.8%,10.2%,1.6%,83.9,30.3%,24.9%,35.3%,24.9%,0.60,33.5%,52.5%,14.0%,0.3,-0.4%,-2.5,31%,75%,31%,alberha01
Andrew Benintendi,26,538,.329,107,.309,.166,3.2%,18.0%,6.7%,89.1,43.2%,21.8%,38.5%,34.5%,0.64,29.0%,54.3%,16.6%,0.8,0.2%,7.4,29%,47%,42%,beninan01
Jake Brentz,26,1,.693,360,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.3,0%,,,brentja01
Kris Bubic,23,5,.000,-129,.000,.000,0.0%,20.0%,0.0%,75.7,25.0%,0.0%,75.0%,0.0%,,0.0%,75.0%,25.0%,-0.1,0.0%,-1.2,,,,bubickr01
Hunter Dozier,29,543,.289,76,.276,.179,3.0%,28.4%,7.9%,89.9,42.2%,24.8%,38.3%,27.7%,0.62,27.7%,58.7%,13.6%,-2.5,-1.3%,-26.0,28%,56%,54%,doziehu01
Jarrod Dyson,36,132,.246,42,.284,.090,0.0%,21.2%,4.6%,77.9,28.6%,23.5%,51.0%,10.2%,1.32,26.5%,61.2%,12.2%,-0.6,-0.1%,-7.6,25%,73%,33%,dysonja01
Cam Gallagher,28,124,.292,76,.293,.080,0.8%,16.1%,6.5%,84.2,27.4%,32.6%,36.8%,20.0%,0.61,28.4%,50.5%,21.1%,-0.1,0.0%,-2.9,23%,,19%,gallaca01
Kelvin Gutiérrez,26,142,.242,44,.272,.081,0.7%,21.8%,4.2%,91.0,44.7%,19.2%,63.5%,10.6%,1.74,27.9%,55.8%,16.3%,-1.0,-0.4%,-11.2,23%,0%,55%,gutieke01
Carlos Hernández,24,4,.000,-129,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-2.1,,,,hernaca04
Kyle Isbel,24,83,.345,111,.385,.158,1.2%,27.7%,8.4%,85.4,30.2%,26.4%,34.0%,22.6%,0.55,32.1%,41.5%,26.4%,0.0,-0.1%,-0.3,54%,100%,50%,isbelky01
Jakob Junis,28,2,.000,-358,,.000,0.0%,50.0%,0.0%,46.4,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,,,,junisja01
Brad Keller,25,7,.000,-220,.000,.000,0.0%,42.9%,0.0%,53.1,0.0%,0.0%,25.0%,25.0%,1.00,0.0%,25.0%,75.0%,-0.2,0.0%,-1.9,,,,kellebr01
Nicky Lopez,26,565,.339,104,.347,.078,0.4%,13.1%,8.7%,84.3,27.0%,22.1%,53.2%,16.9%,1.27,22.9%,57.7%,19.5%,1.2,-0.3%,8.1,38%,96%,46%,lopezni01
Ryan McBroom,29,9,.265,58,1.000,.000,0.0%,66.7%,11.1%,83.6,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.7,33%,,50%,mcbrory01
Whit Merrifield,32,720,.321,90,.309,.117,1.4%,14.3%,5.6%,86.4,28.8%,26.7%,41.0%,25.8%,0.71,23.8%,53.5%,22.7%,0.7,0.4%,9.3,40%,91%,43%,merriwh01
Mike Minor,33,7,.000,-129,.000,.000,0.0%,57.1%,0.0%,85.4,66.7%,33.3%,33.3%,33.3%,0.50,33.3%,66.7%,0.0%,-0.1,0.0%,-1.2,,,,minormi01
Adalberto Mondesí,25,136,.328,86,.299,.222,4.4%,31.6%,4.4%,87.3,44.7%,16.3%,39.5%,25.6%,0.76,26.7%,61.6%,11.6%,0.0,0.1%,-2.1,42%,94%,44%,mondera02
Ryan O'Hearn,27,254,.284,71,.277,.144,3.5%,28.0%,5.1%,90.8,45.5%,22.0%,42.9%,30.4%,0.75,30.4%,51.2%,18.5%,-1.8,-0.3%,-15.8,24%,,19%,ohearry01
Edward Olivares,25,111,.300,86,.244,.168,4.5%,17.1%,4.5%,86.8,31.0%,21.4%,46.4%,25.0%,0.89,33.3%,54.8%,11.9%,-0.3,-0.1%,-6.7,29%,50%,46%,olivaed02
Salvador Perez,31,665,.365,129,.298,.271,7.2%,25.6%,4.2%,93.0,56.2%,23.6%,37.4%,33.0%,0.60,33.0%,52.4%,14.5%,3.2,0.5%,19.6,25%,100%,22%,perezsa02
Emmanuel Rivera,25,98,.303,81,.324,.078,1.0%,21.4%,8.2%,91.1,47.8%,29.0%,49.3%,17.4%,0.97,29.0%,58.0%,13.0%,-0.3,0.0%,-2.0,40%,100%,71%,riverem01
Sebastian Rivero,22,44,.221,27,.280,.050,0.0%,34.1%,6.8%,86.6,24.0%,16.0%,44.0%,32.0%,0.79,36.0%,44.0%,20.0%,0.2,0.1%,-4.0,9%,,33%,riverse01
Carlos Santana,35,659,.299,81,.227,.127,2.9%,15.5%,13.1%,89.9,42.0%,19.2%,45.3%,26.5%,0.83,35.7%,53.6%,10.7%,-0.8,0.7%,-12.3,25%,100%,30%,santaca01
Jorge Soler,29,360,.296,79,.229,.179,3.6%,26.9%,10.6%,92.3,51.2%,18.7%,39.7%,32.7%,0.66,37.9%,52.3%,9.8%,-0.8,-0.5%,-3.5,28%,,14%,solerjo01
Michael A. Taylor,30,528,.290,76,.319,.112,2.3%,27.3%,6.3%,88.5,40.2%,22.5%,45.1%,27.5%,0.84,24.3%,57.5%,18.2%,-2.0,-0.4%,-17.8,32%,67%,50%,taylomi02
Tyler Zuber,26,1,.000,-129,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,zuberty01
League Average,,,.320,99,.290,.168,3.3%,23.0%,8.5%,88.4,39.3%,23.8%,42.5%,25.8%,0.75,28.7%,53.6%,17.7%,,,,31%,77%,40%,-9999
Team Total,,5993,.310,88,.292,.147,2.7%,21.0%,7.0%,88.2,39.2%,22.9%,42.8%,26.3%,0.77,29.0%,54.7%,16.3%,-4.4,-1.8%,-77.8,31%,79%,39%,-9999
