--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Joe Blanton,34,1,.000,-143,.000,.000,0.0%,0.0%,0.0%,83.7,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,blantjo01
Drew Butera,31,99,.244,33,.262,.070,1.0%,24.2%,6.1%,85.2,22.6%,17.9%,32.8%,23.9%,0.56,23.9%,52.2%,23.9%,-0.3,-0.1%,-7.0,21%,,20%,buterdr01
Lorenzo Cain,29,604,.375,129,.347,.171,2.7%,16.2%,6.1%,90.9,44.6%,27.8%,46.2%,23.2%,0.86,18.6%,56.5%,24.9%,3.8,2.2%,19.4,42%,82%,68%,cainlo01
Orlando Calixte,23,3,.000,-143,.000,.000,0.0%,0.0%,0.0%,72.4,0.0%,0.0%,66.7%,33.3%,2.00,33.3%,33.3%,33.3%,0.0,0.0%,-0.2,100%,,,calixor01
Dusty Coleman,28,5,.000,-143,.000,.000,0.0%,60.0%,0.0%,82.0,0.0%,0.0%,0.0%,50.0%,0.00,0.0%,100.0%,0.0%,-0.3,-0.2%,-1.4,0%,,,colemdu01
Christian Colón,26,119,.314,90,.344,.047,0.0%,14.3%,9.2%,84.8,24.3%,25.3%,48.4%,17.6%,0.96,17.6%,57.1%,25.3%,-0.3,-0.4%,-5.8,18%,60%,18%,colonch01
Cheslor Cuthbert,22,50,.283,66,.250,.152,2.0%,18.0%,8.0%,88.4,33.3%,32.4%,45.9%,16.2%,0.85,32.4%,37.8%,29.7%,-0.3,0.0%,-0.7,33%,,38%,cuthbch01
Jarrod Dyson,30,225,.334,87,.296,.130,0.9%,16.4%,6.2%,81.9,25.0%,21.2%,50.0%,11.2%,1.23,32.4%,53.5%,14.1%,-0.4,-0.2%,-3.3,34%,90%,80%,dysonja01
Alcides Escobar,28,662,.281,62,.286,.064,0.5%,11.3%,3.9%,84.5,18.8%,24.6%,46.5%,20.3%,0.91,17.9%,55.5%,26.6%,-3.0,-0.7%,-28.1,39%,77%,57%,escobal02
