--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Oswaldo Arcia,24,65,.294,76,.333,.103,3.1%,23.1%,6.2%,87.1,28.2%,29.5%,36.4%,25.0%,0.57,31.8%,54.5%,13.6%,0.0,0.0%,-0.5,20%,,40%,arciaos01
Doug Bernier,35,6,.323,99,.500,.200,0.0%,50.0%,16.7%,94.1,50.0%,50.0%,0.0%,50.0%,0.00,0.0%,50.0%,50.0%,0.0,0.0%,1.3,50%,,,bernido01
Byron Buxton,21,138,.264,58,.301,.116,1.5%,31.9%,4.4%,86.9,28.8%,20.7%,37.9%,24.1%,0.72,26.4%,55.2%,18.4%,-1.1,-0.8%,-9.5,41%,50%,27%,buxtoby01
Brian Dozier,28,704,.326,100,.261,.209,4.0%,21.0%,8.7%,88.0,36.4%,26.2%,34.6%,26.6%,0.54,40.2%,48.0%,11.9%,0.4,0.1%,0.5,39%,75%,36%,doziebr01
Brian Duensing,32,1,.000,-139,.000,.000,0.0%,0.0%,0.0%,88.0,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.1,,,,duensbr01
Eduardo Escobar,26,446,.329,105,.301,.183,2.7%,19.3%,6.3%,86.7,26.0%,24.2%,41.5%,27.0%,0.72,29.4%,53.0%,17.6%,0.0,-0.1%,10.1,29%,40%,25%,escobed01
Eric Fryer,29,27,.316,94,.455,.091,0.0%,40.7%,18.5%,87.9,22.2%,27.3%,36.4%,27.3%,0.67,18.2%,63.6%,18.2%,0.0,0.0%,-0.4,20%,,50%,fryerer01
Kyle Gibson,27,5,.179,-7,.333,.000,0.0%,40.0%,0.0%,80.5,0.0%,33.3%,66.7%,0.0%,2.00,33.3%,33.3%,33.3%,0.0,0.0%,-0.8,0%,,,gibsoky01
Chris Herrmann,27,113,.232,32,.203,.126,1.8%,32.7%,6.2%,86.7,33.9%,19.4%,46.3%,22.4%,0.91,38.8%,40.3%,20.9%,-0.6,-0.4%,-4.3,48%,,50%,herrmch01
Aaron Hicks,25,390,.323,96,.285,.142,2.8%,16.9%,8.7%,89.5,38.9%,25.0%,41.7%,22.9%,0.75,28.1%,50.7%,21.2%,-0.7,-0.4%,-2.1,32%,81%,37%,hicksaa01
Phil Hughes,29,3,.000,-139,.000,.000,0.0%,0.0%,0.0%,90.1,33.3%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.7,,,,hugheph01
Torii Hunter,39,567,.305,88,.258,.169,3.9%,18.5%,6.2%,89.2,39.6%,20.9%,48.7%,22.6%,0.97,22.6%,56.3%,21.1%,1.0,0.5%,8.9,31%,29%,45%,hunteto01
Max Kepler,22,7,.128,-45,.250,.000,0.0%,42.9%,0.0%,91.2,25.0%,25.0%,50.0%,0.0%,1.00,50.0%,25.0%,25.0%,-0.1,0.0%,-2.1,0%,,0%,keplema01
Joe Mauer,32,666,.328,103,.309,.115,1.5%,16.8%,10.1%,89.6,42.7%,27.2%,56.6%,13.4%,1.33,23.5%,58.2%,18.3%,1.6,0.9%,12.0,27%,67%,34%,mauerjo01
Trevor May,25,3,.000,-139,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,-0.1%,-0.6,,,,maytr01
Tommy Milone,28,2,.000,-139,.000,.000,0.0%,50.0%,0.0%,57.6,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,-0.1,-0.1%,-0.6,,,,milonto01
Ricky Nolasco,32,3,.000,-139,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.9,,,,nolasri01
Eduardo Núñez,28,204,.323,99,.314,.149,2.0%,14.2%,5.9%,89.1,38.3%,21.0%,55.6%,13.0%,1.36,25.3%,50.0%,24.7%,0.4,0.1%,5.7,27%,67%,59%,nunezed02
Mike Pelfrey,31,3,.564,278,1.000,.000,0.0%,33.3%,0.0%,92.2,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,0.5,0%,,,pelfrmi01
Trevor Plouffe,29,632,.335,108,.274,.190,3.5%,19.6%,7.9%,90.5,43.8%,24.9%,40.5%,25.6%,0.69,23.8%,57.3%,18.9%,0.2,-0.2%,9.9,30%,67%,38%,plouftr01
Jorge Polanco,21,12,.359,111,.333,.000,0.0%,8.3%,16.7%,85.8,22.2%,22.2%,55.6%,22.2%,1.25,11.1%,77.8%,11.1%,0.1,0.1%,1.4,20%,100%,100%,polanjo01
