--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Scott Baker,29,5,.432,176,.500,.200,0.0%,20.0%,0.0%,25.0%,25.0%,25.0%,0.33,25.0%,75.0%,0.0%,0.0,0.0%,-0.2,0%,,0%,bakersc02
Joe Benson,23,74,.277,69,.340,.113,0.0%,28.4%,4.1%,16.0%,42.0%,30.0%,0.72,24.0%,58.0%,18.0%,-0.8,0.0%,-7.5,14%,50%,0%,bensojo01
Nick Blackburn,29,2,.000,-137,.000,.000,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,-0.3,,,,blackni01
Drew Butera,27,254,.205,9,.194,.073,0.8%,16.5%,4.3%,11.6%,38.7%,27.6%,0.68,30.7%,52.3%,17.1%,-1.9,-0.4%,-21.4,33%,,21%,buterdr01
Alexi Casilla,26,365,.316,88,.294,.108,0.6%,12.3%,7.7%,10.0%,51.2%,22.1%,1.32,34.9%,49.8%,15.2%,-0.1,-0.3%,-4.1,42%,79%,57%,casilal01
Michael Cuddyer,32,584,.371,129,.312,.176,3.4%,16.3%,8.2%,14.6%,49.0%,27.9%,0.96,28.1%,52.2%,19.7%,0.0,0.0%,6.9,28%,92%,56%,cuddymi01
Brian Dinkelman,27,78,.313,85,.373,.014,0.0%,18.0%,5.1%,15.3%,47.5%,22.0%,0.93,33.9%,49.2%,16.9%,-0.6,0.0%,-1.1,19%,100%,60%,dinkebr01
Brian Duensing,28,4,.000,-137,.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.8,0%,,0%,duensbr01
Steve Holm,31,18,.159,-22,.154,.059,0.0%,22.2%,5.6%,15.4%,46.2%,15.4%,0.86,38.5%,38.5%,23.1%,-0.1,-0.1%,-1.9,33%,,0%,holmst01
Luke Hughes,26,317,.283,69,.282,.115,2.2%,24.9%,7.6%,14.7%,39.8%,32.7%,0.72,36.5%,48.3%,15.2%,-1.8,-0.4%,-7.5,26%,60%,43%,hughelu01
Jason Kubel,29,401,.339,109,.326,.161,3.0%,21.5%,8.0%,18.4%,36.2%,39.7%,0.57,28.0%,57.4%,14.5%,-0.2,0.4%,7.6,21%,50%,29%,kubelja01
