--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Ehire Adrianza,27,186,.313,82,.291,.117,1.1%,13.4%,8.6%,84.5,26.0%,25.0%,39.6%,22.9%,0.69,34.0%,50.7%,15.3%,-0.1,0.1%,0.3,44%,89%,57%,adriaeh01
José Berríos,23,5,.357,119,.333,.000,0.0%,40.0%,0.0%,59.3,0.0%,33.3%,0.0%,33.3%,0.00,0.0%,33.3%,66.7%,0.0,0.0%,-0.2,0%,,,berrijo01
Byron Buxton,23,511,.329,90,.339,.160,3.1%,29.4%,7.4%,87.1,36.7%,25.7%,36.1%,22.3%,0.63,33.2%,52.0%,14.7%,0.7,0.7%,-3.9,36%,97%,71%,buxtoby01
Jason Castro,30,407,.321,93,.318,.146,2.5%,26.5%,11.1%,87.5,33.9%,27.6%,42.4%,24.4%,0.75,30.8%,46.8%,22.4%,-1.0,-1.0%,-3.0,31%,,32%,castrja01
Bartolo Colon,44,5,.000,-197,.000,.000,0.0%,40.0%,0.0%,77.4,0.0%,0.0%,66.7%,0.0%,,33.3%,33.3%,33.3%,-0.1,-0.1%,-1.1,,,,colonba01
Brian Dozier,30,705,.366,126,.300,.227,4.8%,20.0%,11.1%,88.1,38.6%,22.4%,38.3%,28.9%,0.63,35.4%,49.8%,14.9%,1.3,0.2%,20.2,33%,70%,44%,doziebr01
Dietrich Enns,26,2,.400,150,1.000,.000,0.0%,50.0%,0.0%,75.1,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,0%,,,ennsdi01
Eduardo Escobar,28,499,.327,96,.279,.195,4.2%,19.6%,6.6%,86.7,33.1%,26.7%,34.7%,29.2%,0.54,29.5%,51.0%,19.6%,-0.4,-0.4%,9.5,31%,83%,50%,escobed01
Mitch Garver,26,52,.294,74,.290,.152,0.0%,28.9%,11.5%,87.1,46.7%,16.1%,48.4%,22.6%,0.94,25.8%,54.8%,19.4%,-0.7,-0.4%,-3.3,33%,,0%,garvemi01
Chris Gimenez,34,225,.327,97,.286,.161,3.1%,26.7%,14.7%,85.9,34.5%,27.3%,35.2%,25.0%,0.58,40.6%,49.2%,10.2%,-0.5,-0.4%,-4.8,29%,100%,17%,gimench01
Niko Goodrum,25,18,.083,-78,.143,.000,0.0%,55.6%,5.6%,84.9,33.3%,0.0%,71.4%,14.3%,2.50,42.9%,42.9%,14.3%,-0.3,-0.1%,-2.6,25%,,100%,goodrni01
Zack Granite,24,107,.282,69,.250,.054,0.9%,8.4%,11.2%,84.3,24.1%,24.4%,52.3%,15.1%,1.15,22.1%,57.0%,20.9%,-0.6,-0.4%,-5.9,35%,50%,50%,graniza01
Robbie Grossman,27,456,.332,101,.287,.134,2.0%,17.3%,14.7%,86.8,30.3%,30.3%,40.1%,20.5%,0.69,30.3%,49.8%,19.9%,1.9,1.4%,9.6,34%,75%,40%,grossro01
Max Kepler,24,568,.324,94,.276,.182,3.4%,20.1%,8.3%,89.4,41.6%,24.9%,43.1%,20.4%,0.77,35.4%,49.1%,15.5%,0.8,0.8%,5.7,30%,86%,38%,keplema01
Joe Mauer,34,597,.361,123,.349,.112,1.2%,13.9%,11.1%,90.7,49.0%,31.0%,51.2%,14.8%,1.07,20.4%,52.4%,27.2%,3.0,2.4%,33.5,28%,67%,27%,mauerjo01
Jorge Polanco,23,544,.320,92,.278,.154,2.4%,14.3%,7.5%,85.2,29.2%,23.2%,38.1%,25.5%,0.65,34.3%,49.2%,16.5%,1.0,0.8%,2.0,30%,72%,34%,polanjo01
Eddie Rosario,25,589,.350,116,.312,.218,4.6%,18.0%,5.9%,86.9,34.5%,23.0%,41.7%,27.5%,0.74,31.9%,51.6%,16.5%,-0.1,-0.2%,-4.1,32%,53%,58%,rosared01
Miguel Sanó,24,483,.369,128,.375,.243,5.8%,35.8%,11.2%,93.4,53.2%,27.0%,40.1%,26.2%,0.67,32.5%,55.2%,12.3%,1.4,1.0%,15.7,33%,,43%,sanomi01
Danny Santana,26,26,.258,42,.250,.160,3.9%,30.8%,3.9%,90.0,50.0%,17.6%,58.8%,11.8%,1.67,35.3%,52.9%,11.8%,-0.4,-0.3%,-2.4,29%,100%,100%,santada01
Ervin Santana,34,10,.391,143,.286,.100,0.0%,30.0%,0.0%,77.1,0.0%,0.0%,42.9%,14.3%,3.00,14.3%,71.4%,14.3%,0.4,0.2%,3.5,150%,,33%,santaer01
Nik Turley,27,2,.000,-137,.000,.000,0.0%,0.0%,0.0%,73.0,0.0%,50.0%,50.0%,0.0%,1.00,50.0%,0.0%,50.0%,-0.1,-0.1%,-0.6,,,,turleni01
