--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Francisco Arcia,28,106,.277,67,.214,.223,5.7%,25.5%,0.9%,82.8,22.1%,23.7%,44.7%,18.4%,0.85,32.9%,56.6%,10.5%,-0.6,0.0%,-1.4,21%,100%,0%,arciafr01
Jaime Barria,21,5,.000,-131,.000,.000,0.0%,20.0%,0.0%,82.1,0.0%,0.0%,100.0%,0.0%,,25.0%,75.0%,0.0%,-0.2,0.0%,-2.7,,,,barrija01
Jabari Blash,28,45,.164,-13,.250,.026,0.0%,53.3%,11.1%,94.6,50.0%,25.0%,25.0%,50.0%,0.33,31.3%,50.0%,18.8%,-0.6,-0.3%,-5.0,31%,67%,50%,blashja01
José Briceño,25,128,.301,88,.299,.145,3.9%,27.3%,6.3%,86.8,38.2%,26.5%,43.4%,25.3%,0.78,27.7%,59.0%,13.3%,-0.1,-0.1%,-7.4,21%,0%,11%,bricejo01
Kole Calhoun,30,552,.285,73,.241,.161,3.4%,24.1%,9.6%,91.1,45.5%,23.6%,45.1%,28.8%,0.82,36.0%,48.9%,15.1%,-0.2,-1.0%,-9.6,38%,75%,42%,calhoko01
Kaleb Cowart,26,124,.205,15,.206,.107,0.8%,35.5%,8.1%,87.5,34.4%,27.5%,30.4%,27.5%,0.44,34.8%,47.8%,17.4%,-0.7,-0.1%,-9.4,21%,100%,67%,cowarka01
Zack Cozart,32,253,.295,81,.244,.143,2.0%,16.6%,7.5%,85.9,29.8%,27.6%,37.8%,22.7%,0.61,36.8%,51.4%,11.9%,0.2,0.1%,-8.3,34%,,63%,cozarza01
Odrisamer Despaigne,31,1,.000,-131,.000,.000,0.0%,0.0%,0.0%,75.9,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,,despaod01
Jose Miguel Fernandez,30,123,.326,102,.293,.121,1.6%,12.2%,4.9%,85.5,38.9%,26.7%,45.5%,21.8%,0.84,38.6%,44.6%,16.8%,0.5,0.1%,3.7,19%,100%,22%,fernajo03
