--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning,-additional
Name,Age,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
Bobby Abreu,37,585,.334,109,.310,.112,1.4%,19.3%,13.3%,16.0%,48.3%,30.3%,0.95,22.2%,60.5%,17.3%,3.4,2.4%,14.3,23%,81%,30%,abreubo01
Alexi Amarista,22,56,.202,15,.178,.096,0.0%,14.3%,3.6%,10.9%,41.3%,37.0%,0.76,17.4%,71.7%,10.9%,-0.3,-0.2%,-4.1,18%,,33%,amarial01
Erick Aybar,27,605,.339,111,.301,.142,1.7%,11.2%,5.1%,14.6%,43.4%,26.6%,0.92,33.7%,49.5%,16.8%,-0.4,-0.5%,4.6,33%,83%,61%,aybarer01
Peter Bourjos,24,552,.341,117,.338,.167,2.2%,22.5%,5.8%,10.6%,43.3%,25.9%,0.93,28.8%,56.6%,14.5%,-0.6,-0.7%,2.5,36%,71%,63%,bourjpe01
Russell Branyan,35,77,.314,94,.195,.215,5.2%,27.3%,14.3%,15.6%,28.9%,44.4%,0.41,26.7%,60.0%,13.3%,-0.6,-0.5%,1.4,16%,100%,13%,branyru01
Alberto Callaspo,28,536,.335,112,.310,.086,1.1%,9.0%,10.8%,19.6%,41.5%,32.6%,0.71,22.4%,58.4%,19.2%,0.1,-0.2%,3.6,25%,89%,56%,callaal01
Tyler Chatwood,21,5,.603,447,.667,.000,0.0%,0.0%,0.0%,20.0%,40.0%,0.0%,2.00,0.0%,60.0%,40.0%,0.0,0.0%,-0.1,50%,,,chatwty01
Hank Conger,23,197,.295,84,.231,.147,3.1%,18.8%,8.6%,15.5%,38.7%,31.0%,0.65,38.0%,51.4%,10.6%,-0.4,-0.3%,-1.6,16%,,44%,congeha01
Dan Haren,30,4,.302,86,.500,.000,0.0%,25.0%,0.0%,33.3%,33.3%,0.0%,1.00,0.0%,66.7%,33.3%,0.0,0.0%,0.2,0%,,,harenda01
Torii Hunter,35,649,.344,122,.297,.167,3.5%,19.3%,9.6%,18.3%,45.9%,27.1%,0.86,25.8%,59.8%,14.4%,0.9,0.3%,3.7,29%,42%,46%,hunteto01
Maicer Izturis,30,494,.322,105,.311,.111,1.0%,13.2%,6.7%,18.0%,40.2%,32.2%,0.68,23.5%,61.6%,14.9%,-0.5,-0.1%,-10.9,29%,60%,51%,izturma01
Howie Kendrick,27,583,.352,126,.338,.179,3.1%,20.4%,5.7%,18.5%,51.5%,26.6%,1.12,21.4%,60.0%,18.6%,0.0,0.3%,9.4,38%,70%,59%,kendrho01
Jeff Mathis,28,281,.227,33,.233,.085,1.1%,26.7%,5.3%,15.3%,34.9%,25.4%,0.63,30.2%,51.3%,18.5%,-2.0,-1.6%,-22.8,26%,33%,44%,mathije01
Jeremy Moore,24,8,.101,-56,.167,.000,0.0%,25.0%,0.0%,16.7%,33.3%,50.0%,0.50,0.0%,50.0%,50.0%,-0.1,0.0%,-1.0,75%,,100%,mooreje02
Efren Navarro,25,12,.260,55,.222,.100,0.0%,8.3%,8.3%,10.0%,40.0%,40.0%,0.80,10.0%,50.0%,40.0%,0.0,0.0%,-1.1,33%,,,navaref01
Joel Pineiro,32,6,.000,-175,.000,.000,0.0%,66.7%,0.0%,0.0%,50.0%,0.0%,,0.0%,100.0%,0.0%,-0.3,-0.2%,-2.7,,,,pineijo01
Andrew Romine,25,18,.216,12,.200,.000,0.0%,33.3%,5.6%,0.0%,54.5%,36.4%,1.50,18.2%,72.7%,9.1%,-0.1,-0.2%,-1.7,67%,100%,50%,rominan01
Ervin Santana,28,2,.404,163,1.000,.000,0.0%,50.0%,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.1,0%,,,santaer01
